swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,caller,turn_index,subutterance_index,text,pos,trees
K/KD/KDK.xml,KDKRE006,016604,0,,A,1,1,I think they're gonna change with the erm,,
K/KD/KDK.xml,KDKRE006,016604,1,,B,2,1,You  (()) with er early  (()),,
K/KD/KDK.xml,KDKRE006,016604,2,,A,3,1,Yeah .,,
K/KD/KDK.xml,KDKRE006,016604,3,,B,4,1,(()) ,,
K/KD/KDK.xml,KDKRE006,016604,4,,A,5,1,"So we've been starting on the, but this is a bit of a shame though because, what I like, when we, when we, when we have our three days off, it's nice to know on your, on your last day off that still have a late night because your not back to work until the afternoon you know .",,
K/KD/KDK.xml,KDKRE006,016604,5,,B,6,1,Yeah .,,
K/KD/KDK.xml,KDKRE006,016604,6,,A,7,1,Where's you might find on your last  (()) on the earliest at five,,
K/KD/KDK.xml,KDKRE006,016604,7,,B,8,1,"Yeah,(())",,
K/KD/KDK.xml,KDKRE006,016604,8,,A,9,1,"Oh yeah I suppose it will be much too early  Left home at er  (()) today  (()) come in, I thought I  (()) so I'd only gone about half a mile down the road  (()) filled up my car, paid the money  (()) the car wouldn't start  <laugh> I kept turning  (()) nothing was happening  (()) and then all of a sudden after a couple of minutes it erm   (()) like the way I've button up my coat?<laugh>",,
K/KD/KDK.xml,KDKRE006,016604,9,,B,10,1,<laugh> .,,
K/KD/KDK.xml,KDKRE006,016604,10,,A,11,1,"Alright  <laugh> I thought I was, I was walking  (())",,
K/KD/KDK.xml,KDKRE006,016604,11,,B,12,1,(()) .,,
K/KD/KDK.xml,KDKRE006,016604,12,,A,13,1,I was walking along talking to you and I was thinking this feels really strange you know  <laugh> .,,
K/KD/KDK.xml,KDKRE006,016604,13,,B,14,1,,,
K/KD/KDK.xml,KDKRE006,016604,14,,B,14,2,<laugh> ,,
K/KD/KDK.xml,KDKRE006,016604,15,,B,14,3,,,
K/KD/KDK.xml,KDKRE006,016604,16,,B,14,4,,,
K/KD/KDK.xml,KDKRE006,016604,17,,A,15,1,You know if I'd gone on the  (()) I said hello look here's a mad man,,
K/KD/KDK.xml,KDKRE006,016604,18,,B,16,1,<laugh> .,,
K/KD/KDK.xml,KDKRE006,016604,19,,A,17,1,<laugh> .,,
K/KD/KDK.xml,KDKRE006,016604,20,,B,18,1,You must of been (()) .,,
K/KD/KDK.xml,KDKRE006,016604,21,,A,19,1,"Oh it started in the end, I think it was the er starter motor, but I went home again and took Mandy's car instead, because I thought I don't want it to play up tonight, you know, in the car park so I'll have to check it out tomorrow afternoon.",,
K/KD/KDK.xml,KDKRE006,016604,22,,A,19,2,"It was so embarrassing,(()) sitting there, you know you couldn't, it must be ok, I've just driven here.",,
