conversation_no,talk_day,length,topic_description,prompt,from_caller_sex,from_caller_education,from_caller_birth_year,from_caller_dialect_area,to_caller_sex,to_caller_education,to_caller_birth_year,to_caller_dialect_area,from_caller_id,to_caller_id
137401,010101,82,Unspecified,,FEMALE,9,1789,UNK,UNKNOWN,9,1789,UNK,PS4Y2,KNUPSUNK
063902,920201,60,  going to get change for till  ,,MALE,9,1962,Irish,MALE,9,1952,Central Northern England,PS03Y,PS03W
063903,920201,62,  going to get change for till  ,,MALE,9,1952,Central Northern England,MALE,9,1962,Irish,PS03W,PS03Y
064001,920203,192,  watching television  ,,MALE,9,1952,Central Northern England,MALE,9,1982,Lancashire,PS03W,PS045
064002,920203,122,  watching television  ,,MALE,9,1952,Central Northern England,MALE,9,1982,Lancashire,PS03W,PS045
064003,920203,72,Unspecified,,MALE,9,1982,Lancashire,MALE,9,1952,Central Northern England,PS045,PS03W
064101,920204,2779,  business meeting  ,,UNKNOWN,9,1789,UNK,MALE,9,1952,Central Northern England,KBDPSUNK,PS03W
064102,920204,670,  business meeting  ,,UNKNOWN,9,1789,UNK,MALE,9,1952,Central Northern England,KBDPSUNK,PS03W
064201,920205,20,  at work  ,,MALE,9,1952,Central Northern England,FEMALE,9,1952,Home Counties,PS03W,PS03X
064204,920205,676,  going to work  ,,MALE,9,1952,Central Northern England,FEMALE,9,1952,Home Counties,PS03W,PS03X
064205,920205,1265,  at work  ,,MALE,9,1952,Central Northern England,MALE,9,1962,Irish,PS03W,PS03Y
064206,920205,204,  at work  ,,MALE,9,1952,Central Northern England,MALE,9,1962,Irish,PS03W,PS03Y
064207,920205,265,  at work  ,,MALE,9,1952,Central Northern England,MALE,9,1962,Irish,PS03W,PS03Y
064303,920206,188,  at work  ,,MALE,9,1952,Central Northern England,MALE,9,1962,Irish,PS03W,PS03Y
064304,920206,120,  at work  ,,MALE,9,1952,Central Northern England,MALE,9,1962,Irish,PS03W,PS03Y
064305,920206,910,  at work  ,,MALE,9,1952,Central Northern England,MALE,9,1962,Irish,PS03W,PS03Y
018201,911128,322,Unspecified,,FEMALE,9,1939,North-east England,MALE,9,1961,East Anglian,PS02G,PS02H
018202,911128,253,Unspecified,,FEMALE,9,1939,North-east England,MALE,9,1961,East Anglian,PS02G,PS02H
018203,911128,1097,Unspecified,,FEMALE,9,1939,North-east England,MALE,9,1961,East Anglian,PS02G,PS02H
018205,911129,38,Unspecified,,FEMALE,9,1939,North-east England,MALE,9,1961,East Anglian,PS02G,PS02H
018207,911129,630,Unspecified,,FEMALE,9,1939,North-east England,MALE,9,1961,East Anglian,PS02G,PS02H
018507,911129,660,"  drinking, chatting, playing 9 card brag  ",,FEMALE,9,1939,North-east England,MALE,9,1961,East Anglian,PS02G,PS02H
018901,911203,76,Unspecified,,MALE,9,1961,East Anglian,FEMALE,9,1939,North-east England,PS02H,PS02G
018902,911203,124,Unspecified,,FEMALE,9,1939,North-east England,MALE,9,1961,East Anglian,PS02G,PS02H
018904,911203,63,Unspecified,,FEMALE,9,1939,North-east England,MALE,9,1961,East Anglian,PS02G,PS02H
018905,911203,440,Unspecified,,FEMALE,9,1939,North-east England,MALE,9,1961,East Anglian,PS02G,PS02H
018906,911203,26,Unspecified,,MALE,9,1961,East Anglian,FEMALE,9,1939,North-east England,PS02H,PS02G
018907,911203,477,Unspecified,,FEMALE,9,1939,North-east England,MALE,9,1961,East Anglian,PS02G,PS02H
018908,911203,18,Unspecified,,FEMALE,9,1939,North-east England,MALE,9,1961,East Anglian,PS02G,PS02H
018909,911203,371,  going to work  ,,FEMALE,9,1939,North-east England,MALE,9,1961,East Anglian,PS02G,PS02H
018910,911203,15,  going to work  ,,FEMALE,9,1939,North-east England,MALE,9,1961,East Anglian,PS02G,PS02H
