swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,caller,turn_index,subutterance_index,text,pos,trees
K/KB/KBF.xml,KBFRE011,015206,0,,A,1,1,"What's your regional accent, Jean  --","what/DTQ be/VBZ you/DPS regional/AJ0 accent/NN1 ,/PUN jean/NP0 ",
K/KB/KBF.xml,KBFRE011,015206,1,,A,1,2,--London?,london/NP0 ?/PUN ,
K/KB/KBF.xml,KBFRE011,015206,2,,B,2,1,No erm  --,no/ITJ erm/UNC ,
K/KB/KBF.xml,KBFRE011,015206,3,,B,2,2,--su- er no  --,su/UNC er/UNC no/ITJ ,
K/KB/KBF.xml,KBFRE011,015206,4,,B,2,3,"--hang on, hang on  --","hang/VVB on/AVP ,/PUN hang/VVB on/AVP ",
K/KB/KBF.xml,KBFRE011,015206,5,,B,2,4,"--my regional, they want my regional accent  --","i/DPS regional/AJ0 ,/PUN they/PNP want/VVB i/DPS regional/AJ0 accent/NN1 ",
K/KB/KBF.xml,KBFRE011,015206,6,,B,2,5,--er  --,er/UNC ,
K/KB/KBF.xml,KBFRE011,015206,7,,B,2,6,--well I would have said it's standard received northern.,well/AV0 i/PNP would/VM0 have/VHI say/VVN it/PNP be/VBZ standard/AJ0-NN1 received/AJ0-VVN northern/AJ0 ./PUN ,
K/KB/KBF.xml,KBFRE011,015206,8,,A,3,1,Northern?,northern/AJ0 ?/PUN ,
K/KB/KBF.xml,KBFRE011,015206,9,,B,4,1,Mm  --,mm/ITJ ,
K/KB/KBF.xml,KBFRE011,015206,10,,B,4,2,"--standard received, S R.","standard/NN1 receive/VVD-VVN ,/PUN s/ZZ0 r./ZZ0 ",
K/KB/KBF.xml,KBFRE011,015206,11,,A,5,1,"How do you spell friend, F R I","how/AVQ do/VDB you/PNP spell/VVI friend/NN1 ,/PUN f/ZZ0 r/ZZ0 i/ZZ0 ",
K/KB/KBF.xml,KBFRE011,015206,12,,B,6,1,"That's right, I before E except after C.","that/DT0 be/VBZ right/AJ0 ,/PUN i/PNP before/AV0 e/ZZ0 except/CJS after/PRP c./ZZ0 ",
K/KB/KBF.xml,KBFRE011,015206,13,,A,7,1,(()) forgets don't you?,forget/VVZ do/VDB not/XX0 you/PNP ?/PUN ,
