[0],"(ROOT (S (INTJ (UH Okay)) (, ,) (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP we)) (VP (VBP 're) (PP (RB on)))))) (. .)))"
[1],(ROOT (INTJ (UH Yeah) (. .)))
[3],(ROOT (S (NP (PRP I)) (VP (VBD was) (RB n't) (PP (IN in) (NP (NNP Central) (NNP America))))))
[4],"(ROOT (S (CC but) (SBAR (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (VP (VBG talking) (PP (IN about))) (NP (NP (NNP Latin)) (NP (NNP America))))) (, ,) (NP (NP (NP (PRP I)) (ADVP (RB kind) (RB of))) (, ,) (NP (PRP I))) (VP (VBP consider) (S (NP (NNP Latin) (NNP America)) (VP (TO to) (VP (VB include) (NP (NP (NNP Central)) (CC and) (NP (NNP South) (NNP America)))))))))"
[2],"(ROOT (S (NP (NNP Central) (NNP America)) (, ,) (VP (VBP have) (S (NP (PRP you)) (ADVP (RB ever)) (VP (VBD lived) (PP (IN in) (NP (NNP Central) (NNP America)))))) (. .)))"
[5],"(ROOT (S (CC and) (NP (PRP I)) (VP (VBD did) (VP (VB live) (PP (IN in) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (NP (NNP San) (NNP Polo) (NNP Brazil)) (PP (IN for) (NP (CD four) (NNS years))))))) (. .)))"
[7],"(ROOT (FRAG (INTJ (UH Uh)) (, ,) (ADVP (RB realistically)) (, ,) (NP (PRP I)) (, ,)))"
[8],"(ROOT (INTJ (UH yes) (, ,)))"
[9],"(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB see) (NP (NP (DT the)) (, ,) (NP (NP (DT the) (NNP Panama) (NNP Canal)) (SBAR (WHNP (WDT that)) (S (VP (VBZ has) (RB n't) (VP (VBN had) (NP (NP (DT a) (JJ whole) (NN lot)) (PP (IN of) (NP (NP (NN usefulness)) (PP (TO to) (NP (PRP us)))))) (SBAR (ADVP (RB recently)) (IN since) (S (NP (PRP it)) (VP (BES 's) (RB not) (, ,) (PP (RB not) (ADJP (RB really) (JJ big) (RB enough)))))))))))) (PP (TO to)) (, ,) (S (INTJ (UH uh)) (, ,) (VP (VB accommodate) (NP (NP (DT the)) (, ,) (NP (NP (DT the) (NN shipping)) (SBAR (WHNP (WDT that)) (S (NP (PRP it)) (ADVP (RB once)) (VP (VBD did))))))))))))"
[6],"(ROOT (S (S (VP (VBP Do) (NP (PRP you)))) (, ,) (VP (VBP do) (S (NP (PRP you)) (VP (VB think) (ADVP (IN that)))) (, ,) (SBAR (IN that) (S (NP (PRP we)) (VP (MD should) (VP (VB have) (VP (VBN given) (PRT (RP up)) (NP (DT the) (NNP Panama) (NNP Canal)))))))) (. ?)))"
[11],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (EX there)) (VP (VBP are) (NP (DT those)) (ADVP (IN that)) (, ,) (SBAR (IN that) (, ,) (S (SBAR (WHNP (IN that)) (S (VP (VBP think) (ADVP (IN that)) (, ,) (ADVP (IN that))))) (, ,) (X (IN that)) (NP (DT the) (NNP Panama) (NNP Canal)) (VP (VBZ has) (NP (NP (DT some) (JJ considerable) (JJ strategic) (NN importance)) (, ,) (RRC (ADVP (RB particularly)) (PP (IN for) (NP (DT the) (NN military))))))))) (. .)))"
[12],"(ROOT (S (S (ADVP (RB Interestingly)) (S (ADVP (RB enough)) (NP (PRP$ my) (NN father)) (VP (VP (VBD was)) (, ,) (NP (SBAR (WHNP (WP who)) (S (VP (VBD was) (PP (IN in) (NP (NNP World) (NNP War) (CD One)))))) (, ,) (CC and) (SBAR (IN as) (S (VP (PRN (, ,) (INTJ (UH uh)) (, ,)) (PP (IN as) (NP (DT a) (JJ civil) (NN engineer) (PRP they))))))))) (, ,) (S (S (NP (PRP they))) (, ,) (NP (PRP they)) (VP (VBD offered) (NP (PRP him)) (NP (NP (DT a) (NN commission)) (PP (IN as) (NP (NP (DT a) (NN captain)) (SBAR (IN if) (S (NP (PRP he)) (VP (MD would) (PRN (, ,) (INTJ (UH uh)) (, ,)) (VP (VB go) (ADVP (RB in)) (ADVP (CC and)))))))))) (, ,))) (CC and) (, ,) (S (INTJ (UH uh)) (, ,) (VP (VB help) (PP (IN with) (NP (NP (DT the) (NNS defenses)) (PP (IN of) (NP (DT the) (NNP Panama) (NNP Canal))))))) (. .)))"
[10],"(ROOT (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP (RB maybe) (PRP it)) (VP (MD would) (VP (VB be) (ADJP (ADJP (JJR better)) (SBAR (IN that) (S (NP (PRP we)) (VP (VBP let) (S (NP (DT the) (NNPS Panamanians)) (VP (VB run) (S (S (NP (PRP it)) (ADVP (RB however)) (, ,) (NP (PRP I)) (VP (VBP think))) (, ,) (S (NP (PRP we)) (VP (VBP 're) (ADVP (RB certainly)) (VP (VBN justified) (PP (IN in))))) (, ,) (INTJ (UH uh)) (, ,) (S (NP (PRP$ our) (NNS actions)) (VP (VBG dealing) (PP (IN with) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (NP (NNP Noriega)) (PP (IN in) (NP (DT this)))))))))))))))) (: ...)))"
[13],"(ROOT (S (NP (PRP He)) (VP (VBD had) (VP (VBN worked) (PP (IN for) (NP (NNP United) (NNP Fruit) (NNP Company))) (ADVP (RB there)))) (, ,)))"
[15],"(ROOT (S (CC and) (NP (PRP they)) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP they)) (, ,) (PP (IN in) (NP (NN fact))) (, ,) (ADVP (PRP they)) (VP (VBD had)) (, ,)))"
[16],"(ROOT (S (NP (DT this)) (VP (VBD was) (PP (IN in) (NP (NP (DT the)) (, ,) (NP (DT the) (JJ late) (NNS twenties)))))))"
[17],(ROOT (PRN (CC and) (S (NP (PRP they)) (VP (ADVP (IN in) (NN fact)) (VBD used) (NP (NP (DT some)) (PP (IN of) (NP (NP (DT the) (NN equipment)) (SBAR (WHNP (WDT that)) (S (VP (VBD had) (VP (VBN been) (VP (VBN left) (PRT (RP over))))))))))))))
[18],"(ROOT (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP he)) (VP (VBD turned) (NP (PRP them)) (PRT (RP down))) (. .)))"
[19],"(ROOT (S (NP (PRP It)) (, ,) (NP (PRP it)) (VP (BES 's) (ADJP (JJ interesting) (IN that)) (, ,) (SBAR (IN that) (S (NP (RBS most) (NNS people)) (VP (VBP do) (RB n't) (VP (VB realize) (SBAR (WHADVP (WRB how)) (S (ADJP (JJ small) (NP (DT the) (NN canal) (NNS is)))))))))) (. .)))"
[14],(ROOT (INTJ (UH Uh-huh) (. .)))
[21],"(ROOT (INTJ (UH No) (, ,)))"
