[1],"(ROOT (FRAG (S (ADJP (ADJP (RB All) (JJ right)) (PRN (, ,) (INTJ (UH uh)) (, ,))))))"
[2],(ROOT (FRAG (NP (NNS feelings)) (PP (IN on) (SBAR (WHNP (WP what)) (S (VP (VBD caused) (NP (DT the) (NNP S) (CC and) (NNP L) (NN crisis))))))))
[3],(ROOT (S (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB have) (NP (NP (DT a) (ADJP (RB real) (JJ technical)) (NN knowledge)) (PP (IN for) (SBAR (WHNP (WP what)) (S (VP (VBD happened)))))))))))))
[4],(ROOT (S (NP (PRP I)) (VP (VBP gather) (SBAR (IN that) (S (NP (EX there)) (VP (^VBD where) (NP (NP (JJ large) (NNS numbers)) (PP (IN of) (NP (NNS situations)))) (SBAR (WHADVP (WRB where)) (S (NP (NNS loans)) (VP (VBD were) (VP (VBN made) (SBAR (WHNP (WDT that)) (S (VP (VBD appeared) (S (VP (TO to) (VP (VB be) (NP (DT a) (JJ good) (NN loan)) (PP (CC but) (PP (IN in) (NP (DT a) (JJ speculative)))))))))))))))))) (^NN since)))
[5],"(ROOT (FRAG (CC and) (NP (NP (IN with)) (SBAR (S (VP (VBP have) (NP (NP (JJ little) (NN regulation)) (VP (VBG going) (PRT (RP on)) (PP (IN because) (IN of) (NP (NP (NN deregulation)) (PP (PP (IN during) (NP (DT the) (NNP Reagan) (CD eight) (NNS years))) (PRN (, ,) (INTJ (UH uh)) (, ,))))) (S (ADJP (JJR more) (CC and) (JJR more)) (SBAR (S (NP (NNP S) (CC and) (NNP L)) (ADVP (RB simply)) (VP (VBD began) (S (VP (TO to) (VP (VB take) (NP (ADJP (JJR riskier) (CC and) (JJR riskier)) (NNS loans)))))))))))))))))"
[0],(ROOT (INTJ (UH Okay) (. .)))
[7],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[6],"(ROOT (FRAG (CC and) (ADVP (ADVP (RB then)) (SBAR (WHADVP (WRB when)) (S (NP (PRP they)) (VP (VBD began) (S (VP (TO to) (VP (VB collapse) (NP (CD one)) (SBAR (IN after) (S (NP (NP (DT the) (JJ other)) (SBAR (S (NP (PRP I)) (VP (VBP think) (ADVP (RB almost)) (PP (IN like) (NP (NP (DT an) (NN avalanche)) (PP (IN of)) (, ,) (PP (IN of) (NP (NN property) (NNS values))))))))) (VP (VBD devalued)))))))))) (. .))))"
[9],(ROOT (INTJ (UH Right) (. .)))
[8],(ROOT (FRAG (ADVP (ADVP (RB kind) (RB of)) (PP (IN like) (NP (NP (DT a) (NN domino) (POS 's)) (NN effect)))) (. .)))
"[10, 12]","(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB have) (NP (NP (DT a)) (, ,) (UCP (NP (NP (DT a) (^NN field)) (PP (IN for) (NP (IN whether)))) (CC or) (S (NP (RB not) (DT this)) (VP (VBZ is) (NP (NP (DT the) (NN equivalent)) (PP (IN of) (SBAR (WHNP (WP what)) (S (VP (VBD was) (VP (VBN called) (NP (DT the) (NN teapot) (NN dome)))))))))) (. .))) (NP (UH Uh)) (, ,) (NP (NN scandal)))) (, ,)))"
[11],"(ROOT (FRAG (INTJ (UH Oh)) (, ,) (ADVP (XX MUMBLEx)) (. .)))"
[14],(ROOT (INTJ (UH No) (. .)))
"[13, 15]","(ROOT (S (VP (VBP are) (NP (NP (NP (PRP you)) (ADJP (JJ familiar) (PP (IN with) (NP (NP (DT that)) (, ,) (PP (IN from) (NP (PRP$ your) (NNS histories))) (NP (NNS lessons)))))) (CC or) (SBAR (WHNP (WP whatever))))) (. .)))"
[17],"(ROOT (S (INTJ (UH Uh)) (, ,) (NP (PRP I)) (ADVP (RB vaguely)) (VP (VBP recall))))"
[18],(ROOT (S (CC but) (NP (PRP I)) (VP (VBP 've) (ADVP (RB never)) (VP (VBN gone) (CC and) (VBN done) (NP (NP (DT any) (NN study)) (PP (IN on) (NP (PRP it)))) (PP (IN since) (NP (NP (DT the) (NNP S)) (CC and) (NP (NNP L) (NN thing))))))))
