[0],"(ROOT (S (S (INTJ (INTJ (UH So)) (, ,) (INTJ (UH um) (, ,) (UH well))) (, ,) (NP (PRP I)) (VP (MD 'll) (VP (VB tell) (NP (PRP you))))) (, ,) (NP (PRP$ my) (NN situation)) (VP (VBZ is) (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP I)) (VP (VBP have) (NP (NP (DT an) (JJ elderly) (NN grandmother)) (SBAR (WHNP (WDT that)) (S (NP (PRP we)) (VP (VBD did) (ADVP (RB just) (RB recently)) (VP (VB put) (PP (IN in) (NP (DT a) (NN nursing) (NN home))))))))))) (. .)))"
[1],"(ROOT (S (CC And) (, ,) (INTJ (UH um)) (, ,) (NP (PRP$ her) (NN son)) (, ,) (SBAR (WHNP (WDT which)) (S (VP (VBZ is)))) (NP (PRP$ my)) (ADVP (NN father)) (VP (VBZ is) (ADVP (RB also)) (ADJP (JJ elderly))) (, ,)))"
[2],"(ROOT (S (S (CC and) (NP (DT this)) (VP (VBZ is) (NP (NP (CD one)) (PP (IN of) (NP (NP (DT the) (NNS reasons)) (SBAR (WHADVP (WRB why)) (S (NP (PRP she)) (VP (VBD had) (S (VP (TO to) (VP (VB go) (PP (IN to) (NP (DT the) (NN nursing) (NN home)))))))))))))) (, ,) (VP (VBZ is) (SBAR (IN that) (S (NP (PRP she)) (VP (VBD was) (ADVP (RB literally)) (VP (VBG driving) (NP (PRP him))))))) (NP (NP (JJ nuts)) (PP (IN in) (NP (PRP$ his) (JJ later) (NNS years)))) (. .)))"
[3],(ROOT (S (S (INTJ (UH Now)) (NP (PRP$ my) (NN father)) (VP (BES 's) (NP (QP (RB almost) (CD eighty))))) (. .)))
[4],(ROOT (NP (NP (PRP$ My) (NN grandmother)) (BES 's) (NP (QP (RB almost) (CD ninety-seven))) (. .)))
[6],"(ROOT (SINV (S (ADVP (RB So)) (, ,) (INTJ (UH um)) (, ,) (NP (PRP it)) (VP (BES 's) (ADJP (JJ strange)) (, ,) (PP (IN because) (NP (PRP it))))) (, ,) (ADVP (PRP it) (RB so)) (, ,) (VP (VBD hit) (ADVP (RB so) (RB close)) (PP (IN to) (NP (NP (NN home)) (SBAR (IN that) (FRAG (INTJ (UH um)))))) (, ,)) (NP (NP (PRP$ my) (NN father)) (BES 's) (NP (DT an) (JJ only) (NN child)) (, ,))))"
[7],(ROOT (S (CC and) (ADVP (RB really)) (NP (NP (PRP me)) (CC and) (NP (PRP$ my) (NN sister))) (VP (VBP are) (NP (NP (DT the) (JJ only) (NNS ones)) (SBAR (WHNP (WDT that)) (S (VP (MD will) (VP (VB deal) (PP (IN with) (NP (PRP$ my) (NN grandmother))))))))) (. .)))
[8],"(ROOT (S (NP (PRP She)) (VP (VBD had) (NP (JJ many) (NNS sisters))) (, ,)))"
[9],(ROOT (S (NP (NP (QP (CC and) (DT a) (NN couple))) (PP (IN of) (NP (PRP them)))) (VP (VBD took) (NP (NP (NN care)) (PP (IN of) (NP (PRP$ her))))) (. .)))
[10],"(ROOT (PRN (S (NP (CC And) (NP (NP (RB then) (CD one)) (, ,) (NP (PRP$ her) (JJ last) (NN sister)))) (VP (VBD died))) (, ,)))"
[11],"(ROOT (S (S (CC and) (NP (PRP it)) (VP (VBD was) (ADVP (RB probably)) (NP (NP (CD seven) (CC or) (CD eight) (NNS months)) (PP (IN after) (SBAR (WHNP (DT that)) (S (NP (PRP she)) (VP (VBD had) (S (VP (TO to) (VP (VB go) (SBAR (PP (IN in) (NP (DT a) (NN nursing) (NN home)) (. .)) (IN Because) (S (NP (PRP I)) (VP (VBD was) (ADJP (RB pretty) (JJ much)))))))) (S (VP (VBG giving) (PRT (RP up)) (NP (PRP$ my) (NN life))))))))))) (PRN (, ,) (S (NP (PRP$ my) (NN sister)) (VP (VBD was))) (, ,)) (CC and) (ADVP (CC plus)) (S (NP (PRP she)) (VP (VBD was) (VP (VBG driving) (S (NP (PRP$ my) (NN father)) (ADJP (JJ crazy)))))) (. .)))"
[12],"(ROOT (S (NP (PRP She)) (VP (VBD went) (PP (IN through) (NP (NP (CD three) (NNS housekeepers)) (, ,) (NP (JJ live-in) (NNS housekeepers))))) (. .)))"
[13],"(ROOT (S (ADVP (RB So)) (, ,) (NP (PRP she)) (VP (BES 's) (ADVP (RB kind) (RB of)) (ADJP (JJ cranky) (S (VP (TO to) (VP (VB get) (PRT (RP along)) (PP (IN with))))))) (. .)))"
[14],"(ROOT (S (NP (EX There)) (VP (BES 's) (ADVP (NN nothing)) (ADJP (RB physically) (JJ wrong) (PP (IN with) (NP (PRP$ her)))) (, ,) (SBAR (IN except) (S (NP (PRP she)) (VP (BES 's) (ADJP (RB very) (, ,) (RB very) (JJ old)))))) (, ,)))"
[15],"(ROOT (S (CC but) (NP (PRP$ her) (NN personality)) (VP (VBZ is) (, ,) (SQ (VBZ is) (ADJP (JJ very) (JJ grating)))) (. .)))"
[16],"(ROOT (S (S (NP (PRP I)) (VP (VBP mean))) (, ,) (NP (PRP I)) (VP (VBP hope) (SBAR (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB get) (PP (IN like) (NP (NP (DT that)) (SBAR (WHADVP (WRB when)) (S (NP (PRP I)) (VP (VBP get) (ADJP (JJ old)))))))))))) (. .)))"
[5],(ROOT (INTJ (UH Jeez) (. .)))
[18],(ROOT (INTJ (UH Yeah) (. .)))
[19],"(ROOT (S (S (NP (PRP I)) (VP (VBP 'm))) (, ,) (S (NP (PRP I)) (VP (VBP 'm))) (, ,) (S (NP (PRP I)) (VP (VBP have) (NP (NP (DT some) (JJ great) (NNS concerns)) (PP (IN about) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (PRP$ my) (NNS parents)))))) (CC and) (S (NP (PRP$ my) (NNS relatives)) (VP (VBG reaching) (NP (DT that) (NN age)))) (. .)))"
[20],"(ROOT (S (INTJ (UH Um)) (, ,) (NP (NP (IN around)) (ADVP (RB here))) (, ,) (SBAR (WHADVP (WRB where)) (S (NP (PRP I)) (VP (VBP live) (PP (IN in) (NP (NNP Maryland))) (PP (IN in) (NP (DT the) (NNP Washington) (NN area)))))) (, ,) (NP (EX there)) (VP (BES 's) (PRN (, ,) (S (NP (EX there)) (VP (BES 's))) (, ,)))))"
[21],"(ROOT (S (CC and) (SBAR (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (NP (PRP I)) (VP (VBD used) (S (VP (TO to) (VP (VB live) (ADVP (RB down)) (PP (IN in) (NP (NNP Dallas))))))))) (, ,) (NP (EX there)) (VP (VBD was) (ADVP (RB just) (RB so)) (NP (NP (JJ many) (NNS stories)) (PP (IN about) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (NN rest) (NNS homes)))) (SBAR (WHADVP (WRB where)) (S (NP (DT the) (NNS people)) (VP (VBP are) (VP (VBG being) (VP (JJ abused) (, ,) (SBAR (WHADVP (WRB where)) (S (NP (DT the) (NNS people)) (VP (VBP are) (VP (VBG being) (VP (VBN kept) (PP (IN in) (NP (JJ filthy) (NNS conditions)))))))))))))) (. .)))"
[22],"(ROOT (S (PP (IN In) (NP (NN fact))) (, ,) (ADVP (RB here)) (PP (IN in) (NP (NNP Baltimore))) (NP (PRP they)) (VP (VBP 've) (ADVP (RB actually)) (VP (VP (VBN shut) (NP (NP (DT a) (NN couple)) (PP (IN of) (NP (PRP them)))) (ADVP (RP down))) (CC and) (VP (VBN taken) (NP (PDT all) (DT the) (NNS people)) (ADVP (IN out) (PP (IN of) (NP (PRP them)))) (SBAR (IN because) (S (NP (PRP they)) (VP (VBD were) (ADVP (ADVP (RB so)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (ADJP (ADJP (NN bug) (JJ infested)) (CC and) (ADJP (NN rat) (JJ infested))))))))) (. .)))"
[23],"(ROOT (NP (NP (CC And)) (PRN (, ,) (FRAG (INTJ (UH uh)) (, ,) (NP (PRP I))) (, ,))))"
[24],"(ROOT (S (NP (PRP it)) (ADVP (RB really)) (VP (VBZ concerns) (NP (PRP me)) (, ,) (SBAR (IN that) (, ,) (S (INTJ (UH um)) (, ,) (NP (NP (JJ first)) (PP (IN of) (NP (NP (DT all)) (, ,) (NP (DT that) (NN anyone))))) (VP (MD could) (VP (VB let) (S (NP (NN someone)) (VP (VB live) (PP (IN like) (NP (DT that)))))))))) (, ,)))"
[25],"(ROOT (S (CC but) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP have) (S (VP (TO to)))))) (, ,) (NP (PRP you)) (VP (VBP know) (PRN (, ,) (SBAR (WHADVP (WRB how)) (S (VP (VBP do) (S (NP (PRP you)) (VP (VB make) (ADJP (JJ sure))))))) (, ,)))))"
[26],"(ROOT (S (NP (PRP I)) (VP (VBP mean) (SBAR (S (, ,) (S (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ sure) (SBAR (WHADVP (WRB when)) (S (NP (PRP you)) (VP (VP (VBP make) (NP (PRP$ your) (NN appointment))) (CC and) (VP (VBP go) (PP (IN by))))))))) (, ,) (NP (NN everybody)) (VP (VBZ puts) (PP (IN on) (NP (DT a) (JJ happy) (NN face))) (PRN (, ,) (INTJ (UH um)) (, ,))))))))"
[27],"(ROOT (S (NP (PRP you)) (VP (VBP know) (, ,) (SBARQ (WHADVP (WRB how)) (SQ (VBP are) (NP (PRP you)) (ADJP (JJ sure)) (SBAR (IN that) (S (NP (DT the) (NN home)) (VP (VBZ is) (ADVP (RB really)) (ADJP (RB as) (JJ good)) (SBAR (IN as) (S (NP (PRP it)) (VP (VBZ is) (, ,) (SBAR (IN because) (S (SBAR (RB once) (S (NP (PRP you)) (VP (VBP put) (NP (NN someone)) (PP (IN into) (NP (RB there)))))) (, ,) (NP (PRP you)) (VP (VBP know)))) (PRN (, ,) (S (NP (PRP they)) (VP (MD may) (RB not) (VP (VB like) (NP (DT the) (NN fact)) (SBAR (IN that) (S (NP (PRP they)) (VP (VBP 've) (VP (VBN been) (VP (VB put) (PP (IN in) (NP (RB there))))))))))) (, ,)))))))))))))"
[28],"(ROOT (PRN (CC and) (S (NP (PRP they)) (VP (MD might) (VP (VB complain) (PP (IN about) (NP (DT the) (NN place))) (NP (PDT all) (DT the) (NN time)) (SBAR (RB even) (IN though) (S (NP (PRP it)) (VP (BES 's) (NP (NP (DT the) (JJS best) (NN place)) (PP (IN in) (NP (NP (DT the) (JJ whole) (NN world)) (SBAR (S (NP (PRP they)) (VP (MD could) (VP (VB be))))) (PRN (, ,) (ADVP (RB just)) (SBAR (IN because) (S (NP (PRP they)) (VP (VBP want) (S (VP (TO to) (VP (VB make) (S (NP (PRP you)) (VP (VB feel) (ADJP (JJ guilty) (PP (IN for) (S (VP (VBG putting) (NP (PRP them)) (PP (IN in) (NP (RB there))))))))))))))) (, ,)))))))))))))"
[17],(ROOT (FRAG (ADVP (RB So)) (. .)))
[30],"(ROOT (INTJ (UH Yeah) (, ,)))"
[29],"(ROOT (S (CC and) (, ,) (NP (PRP you)) (VP (VBP know)) (. .)))"
[31],(ROOT (S (NP (PRP you)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (IN if) (S (NP (PRP$ their) (NNS complaints)) (VP (VBP are) (ADJP (JJ legitimate))))))) (. .)))
[33],"(ROOT (S (INTJ (UH Um)) (, ,) (NP (PRP we)) (VP (VBP do) (RB n't) (VP (VB have) (NP (DT that) (NN problem)) (ADVP (IN up) (RB here)))) (. .)))"
[34],"(ROOT (S (NP (PRP We)) (VP (MD might) (VP (ADVP (RB maybe)) (PP (PP (IN in) (NP (DT a) (JJ rural))) (PRN (, ,) (INTJ (UH uh)) (, ,)))))))"
[35],"(ROOT (PRN (S (ADVP (RB maybe)) (NP (EX there)) (VP (BES 's) (NP (DT a) (JJ bad)) (, ,) (INTJ (UH uh)) (, ,) (S (NP (NP (DT a) (JJ bad) (NN home)) (PP (IN in) (NP (DT a) (JJ rural) (NN area))))))) (, ,)))"
[36],(ROOT (S (CC but) (NP (PRP it)) (VP (MD would) (VP (VB be) (NP (DT a) (ADJP (RB very) (JJ small)) (NP (CD one))))) (. .)))
[37],"(ROOT (S (INTJ (UH Um)) (, ,) (NP (NP (DT the) (CD one)) (SBAR (S (NP (PRP$ my) (NN grandmother)) (VP (BES 's) (PP (IN in)))))) (VP (VBZ is) (RB very) (PRN (, ,) (INTJ (UH um)) (, ,)) (NP (NP (NN hospital)) (PP (IN like)))) (. .)))"
