[0],(ROOT (INTJ (UH Hello)))
[1],(ROOT (INTJ (UH Hi)))
[2],"(ROOT (FRAG (PP (UH Hi)) (, ,)))"
[4],"(ROOT (FRAG (PP (UH Hi) (NP (NNP Ken))) (, ,)))"
[3],"(ROOT (NP (NP (PRP$ My) (NN name)) (PRN (BES 's) (NP (NNP Ken)) (, ,))))"
[6],"(ROOT (S (CC And) (, ,) (ADVP (UH um)) (, ,) (NP (PRP you)) (VP (VBP 're) (PP (IN in) (NP (NNP Texas)) (, ,)))))"
[5],(ROOT (S (NP (PRP$ my) (NN name)) (VP (BES 's) (NP (NNP Diane))) (. .)))
[8],"(ROOT (INTJ (UH Yes) (, ,)))"
[7],(ROOT (INTJ (JJ right) (. ?)))
[10],(ROOT (S (NP (NN Everybody)) (VP (BES 's) (PP (IN in) (NP (NNP Texas)))) (. .)))
[9],(ROOT (S (NP (PRP I)) (VP (VBP 'm) (PP (IN in) (NP (NNP San) (NNP Antonio)))) (. .)))
[11],"(ROOT (FRAG (PP (NNP God)) (, ,)))"
[13],"(ROOT (S (NP (PRP I)) (VP (VBP 'm) (PP (IN in) (NP (NP (NNP Rochester)) (, ,) (NP (NNP New) (NNP York))))) (. .)))"
[12],X
[14],(ROOT (S (NP (NP (NN Everybody) (RB else)) (PP (CC but) (NP (CD one)))) (VP (VBZ has) (VP (VBN been) (PP (IN in) (NP (NNP Texas))))) (. .)))
[16],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[15],(ROOT (INTJ (UH Oh) (. .)))
[17],(ROOT (S (S (INTJ (UH well)) (NP (PRP I)) (VP (VBP guess))) (NP (PRP we)) (VP (MD should) (VP (VB get) (PRT (RP on)) (PP (IN with) (NP (DT this))))) (. .)))
[19],"(ROOT (VP (UH Um) (PRN (, ,) (SINV (VBD did) (NP (PRP you)) (VP (VB get) (NP (DT the) (NN message)) (PP (IN about) (SBAR (WHNP (WP what)) (S (NP (PRP it)) (VP (VBD was))))))) (, ,))))"
[18],(ROOT (INTJ (UH Okay) (. .)))
[20],(ROOT (INTJ (UH right) (. .)))
[22],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[23],"(ROOT (PRN (VB go) (ADVP (RB ahead)) (, ,)))"
[24],(ROOT (S (NP (PRP I)) (VP (VBP 'm) (VP (VBG going) (S (VP (TO to) (VP (VB hit) (NP (DT the) (NN button))))))) (. .)))
[25],"(ROOT (INTJ (INTJ (UH Okay)) (, ,) (INTJ (UH um) (, ,))))"
[21],(ROOT (INTJ (UH Yes) (. .)))
[27],"(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP they)) (VP (MD 'll) (ADVP (RB always)) (VP (VP (VB represent) (NP (DT a) (NN threat)) (PP (IN wheth-)) (, ,) (SBAR (IN whether) (CC or) (RB not) (S (NP (EX there)) (VP (BES 's) (UCP (NP (DT an) (JJ active) (JJ cold) (NN war)) (CC or) (ADVP (RB not) (. .))))))) (NP (UH Uh))))))) (, ,)))"
[28],"(ROOT (S (NP (PRP it)) (VP (BES 's) (PRN (, ,) (S (NP (PRP it)) (VP (BES 's) (NP (NP (DT a) (ADJP (RB totally) (JJ different)) (NN economy)) (VP (VBN based) (PP (IN on) (NP (JJ different) (NNS beliefs))) (, ,) (ADVP (CC and)))) (, ,) (ADVP (CC and)) (, ,) (FRAG (INTJ (UH uh)) (, ,) (NP (JJ different) (NNS priorities))))) (, ,)))))"
[26],(ROOT (SQ (VBP do) (NP (PRP you)) (VP (VB think) (SBAR (IN that) (S (NP (DT the) (NNP Soviet) (NNP Union)) (VP (VBZ represents) (NP (NP (DT a) (NN threat)) (PP (IN to) (NP (PRP us)))))))) (. ?)))
[30],(ROOT (S (NP (DT That)) (VP (BES 's) (ADJP (JJ interesting))) (. .)))
[31],"(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't)) (, ,)))"
