[0],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (DT this)) (VP (VBZ is) (ADVP (RB kind) (RB of)) (ADJP (JJ ironic)) (SBAR (IN because) (S (NP (PRP I)) (VP (VBP work) (PP (IN in) (NP (NP (NNP T) (NNP I) (POS -s)) (JJ legal) (NN department))))))) (. .)))"
[1],(ROOT (S (VP (VBP Do) (NP (PRP you))) (. ?)))
[2],"(ROOT (S (CC And) (SBAR (IN although) (S (NP (PRP we)) (VP (VBP do) (RB n't) (VP (VB have) (NP (DT any) (JJ criminal) (NNS actions)) (ADVP (RB here)))))) (, ,) (NP (PRP we)) (VP (VBP do) (VP (VB have) (NP (NP (ADJP (ADJP (JJ other)) (PRN (, ,) (INTJ (UH um)) (, ,))) (NNS lawsuits)) (SBAR (WHNP (WDT that)) (S (VP (VBP do) (VP (VB go) (PP (IN to) (NP (NN trial))) (PP (IN from) (NP (NP (NN time)) (PP (IN to) (NP (NN time)))))))))))) (. .)))"
[4],"(ROOT (S (VP (CC And) (PRN (, ,) (INTJ (UH uh)) (, ,)) (SBAR (WHADVP (WRB when)) (S (VP (VBD was) (NP (PRP it))) (, ,))))))"
[5],"(ROOT (NP (NP (NP (DT a) (NN couple) (NNS weeks)) (RB ago) (SBAR (S (NP (PRP I)) (VP (VBD was) (VP (VBN asked) (S (VP (TO to) (VP (VB go))))))))) (PP (IN to) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (NN jury) (NN duty)))))"
[6],"(ROOT (NP (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (VBD was) (RB n't) (VP (VBN selected))))))"
[3],(ROOT (INTJ (UH Uh-huh) (. .)))
[7],"(ROOT (S (CC but) (, ,) (INTJ (UH um)) (, ,) (PP (IN for) (NP (NP (DT some)) (PP (IN of) (NP (NP (PRP$ our) (NNS cases)) (PP (IN in) (NP (JJ particular))))))) (NP (PRP we)) (VP (VBP have) (, ,) (INTJ (UH um)) (, ,) (NP (NP (ADJP (RB very) (JJ technical)) (NNS cases)) (PP (IN from) (NP (NP (NN time)) (PP (IN to) (S (VP (VB time)))))) (SBAR (IN because) (FRAG (PP (IN of) (NP (UH like))) (NP (NP (PRP$ our) (NNS patents)) (CC and) (NP (JJ such))))))) (. .)))"
[8],(ROOT (INTJ (UH Sure) (. .)))
[9],"(ROOT (S (CC And) (NP (PRP it)) (VP (BES 's) (ADJP (RB very) (JJ difficult)) (SBAR (IN for) (S (VP (VBD lay) (NP (NNS people)) (PP (IN for) (NP (NP (NN somebody)) (SBAR (WHNP (WP who)) (S (VP (MD might) (ADVP (RB just))))))) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know) (VP (VB happen) (S (VP (TO to) (VP (VB be) (VP (VBN selected) (PP (IN in) (NP (PRP$ our) (NN jury)))))))))) (, ,)) (S (VP (TO to) (VP (VB understand) (SBAR (WHNP (WP what)) (S (NP (PRP we)) (VP (VBP 're) (VP (VBG talking) (IN about)))))))))))) (. .)))"
[10],"(ROOT (S (INTJ (UH Well)) (, ,) (ADVP (PRP I)) (VP (VBP do) (VP (VB think) (SBAR (IN that) (S (NP (NP (DT the) (NNS cases)) (PP (PP (IN like) (NP (DT the))) (PRN (, ,) (INTJ (UH uh) (, ,) (UH oh)) (, ,)))) (VP (VBP say) (NP (NN something)) (PP (IN like) (NP (NP (NNP Texaco)) (PP (IN versus) (NP (NNP Pennzoil)))))))))) (, ,)))"
