[1],"(ROOT (S (INTJ (UH Well) (, ,) (UH um)) (, ,) (ADVP (PRP we)) (VP (VBD lived)) (, ,)))"
[2],"(ROOT (S (NP (PRP I)) (VP (VBD grew) (PRT (RP up)) (PP (IN in) (NP (NNP San) (NNP Antonio)))) (, ,)))"
[3],"(ROOT (PRN (CC and) (S (NP (PRP I)) (VP (VBD was) (ADJP (JJ used) (PP (IN to) (NP (DT the) (NN heat))))) (, ,))))"
[4],"(ROOT (PRN (CC and) (S (NP (PRP I)) (VP (VBD was) (ADJP (JJ used) (PP (IN to) (SBAR (WHNP (WP what)) (S (VP (MD could) (RB n't) (VP (VB grow) (ADVP (IN down) (RB there))))))) (, ,))))))"
[0],(ROOT (FRAG (ADVP (RB All) (JJ right)) (. .)))
[5],"(ROOT (PRN (CC and) (S (NP (PRP we)) (VP (VBD had) (NP (DT a) (ADJP (ADJP (JJ small)) (PRN (, ,) (INTJ (UH um)) (, ,))) (NN farm) (NN house)) (PP (IN out) (IN in) (NP (NP (NNP Castroville)) (SBAR (WHNP (WDT which)) (S (VP (VBZ is) (ADVP (RB just)) (, ,) (FRAG (INTJ (UH uh)) (, ,) (PP (IN to) (NP (NP (DT the) (RB west)) (PP (IN of) (NP (NNP San) (NNP Antonio)))))))))))))))"
[7],"(ROOT (PRN (CC and) (S (NP (PRP we)) (VP (VBD did) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN gardening)))) (PP (IN out) (UCP (ADVP (RB there)) (, ,) (CC and) (PRN (, ,) (INTJ (UH uh)) (, ,)) (PP (RB mostly) (IN in) (NP (JJ raised) (NNS beds))))) (SBAR (IN so) (S (NP (PRP we)) (VP (MD could) (VP (VB keep) (S (NP (ADJP (DT the) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NN soil)) (ADJP (JJ nice))))))) (, ,) (SBAR (IN because) (S (PP (ADVP (RB basically)) (IN out) (NP (RB there))) (NP (PRP it)) (VP (VBD was) (ADVP (RB mostly)) (NP (NP (DT a) (NN clay) (NN soil)) (, ,) (ADJP (RB very) (JJ hard) (PP (TO to))) (, ,) (S (VP (TO to) (VP (VB grow) (PRN (, ,) (ADVP (RB very) (JJ hard) (S (VP (TO to) (VP (VB cultivate))))) (, ,)))))))))))))"
[8],"(ROOT (PRN (CC and) (SBAR (WHADVP (WRB when)) (S (S (NP (PRP we)) (VP (VBD came) (ADVP (IN up)) (, ,) (ADVP (ADVP (RB here)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (PP (IN to) (NP (NNP California))))) (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP we)) (VP (VBP 're) (PP (IN in) (NP (DT the) (NNP Monterrey) (NN area)))) (, ,))))))"
[9],"(ROOT (PRN (CC and) (S (NP (PRP it)) (VP (BES 's) (ADVP (RB very)) (, ,) (INTJ (UH uh)) (, ,) (S (NP (NP (JJ nice) (JJ sandy) (NN soil)) (, ,) (NP (JJ rich) (NN soil)) (, ,)))))))"
[6],(ROOT (INTJ (UH Uh-huh) (. .)))
"[10, 12]","(ROOT (FRAG (CC and) (NP (DT the) (NN weather) (SBAR (S (VP (VBZ is) (ADJP (JJ perfect) (PP (IN for) (S (VP (VBG growing) (ADVP (RB just)) (PP (IN about) (NP (NP (NN anything)) (SBAR (S (NP (PRP you)) (VP (VBP want) (S (VP (TO to) (VP (VB grow) (SBAR (IN so) (S (NP (PRP we)) (VP (VBP 've) (VP (VBN been) (PP (IN out) (NP (NP (RB here)) (PRN (, ,) (FRAG (INTJ (UH well)) (, ,) (PP (ADVP (RB really)) (IN in) (NP (NP (DT the) (NN house)) (PP (IN since) (NP (NNP December)))))) (, ,))))))))))))))))))))))))))"
