[0],(ROOT (INTJ (UH Okay) (. .)))
[2],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (NP (DT the) (NN one)) (SBAR (S (NP (PRP I)) (VP (VBP think) (SBAR (S (VP (VBZ is) (ADJP (JJ interesting))))))))) (VP (VBZ is) (NP (NP (DT the) (NNP California)) (, ,) (NP (NP (NNP Los) (NNP Angeles) (NN police) (NN chief)) (SBAR (WHNP (WP who)) (S (VP (VBZ says) (SBAR (S (NP (PRP he)) (VP (MD wo) (RB n't) (VP (VB resign))))))))))) (. .)))"
[1],"(ROOT (S (S (VP (VBP Do) (NP (PRP you)))) (, ,) (VP (VBP have) (S (NP (PRP you)) (VP (VBN noticed) (NP (NP (DT any) (ADJP (ADJP (JJ new)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NNS trends)) (PP (IN in) (NP (NNS politics))))))) (. ?)))"
[4],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH really) (. ?))))"
[5],"(ROOT (INTJ (UH No) (, ,)))"
[3],"(ROOT (SQ (CC And) (VBD did) (NP (PRP you)) (VP (VB hear) (NP (NN yesterday)) (SBAR (IN that) (S (NP (NNP Mayor) (NNP Bradley)) (VP (VBD said) (SBAR (WHNP (IN that)) (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (NP (PRP he)) (VP (MD should)))))))) (. ?)))"
[7],"(ROOT (S (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (BES 's)))))) (, ,) (NP (PRP I)) (VP (VBP think) (SBAR (WHNP (WP what)) (S (NP (BES 's) (JJ interesting)) (VP (VBZ is) (SBAR (IN that) (, ,) (S (INTJ (UH uh)) (, ,) (NP (NP (DT the) (JJ political) (NNS activists)) (, ,) (NP (NNP Jesse) (NNP Jackson)) (CC and) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (JJ other) (NNS people))))) (VP (VP (VBD went) (PP (IN out) (NP (RB there)))) (CC and) (VP (VBP are) (VP (VBG demonstrating)))))))))) (. .)))"
[8],"(ROOT (S (NP (PRP I)) (VP (VBP find) (S (NP (PRP it)) (ADJP (JJ interesting)) (SBAR (IN that) (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (NP (NNS outsiders)) (VP (MD would) (VP (VB bother) (S (VP (TO to) (VP (VB go) (ADVP (RB in))))))))))) (. .)))"
[6],(ROOT (S (NP (PRP I)) (VP (VBD did) (RB n't) (VP (VB hear) (NP (DT that)))) (. .)))
[10],"(ROOT (S (INTJ (UH Uh)) (, ,) (NP (PRP I)) (VP (VBP think) (S (ADVP (RB sometimes)) (NP (PRP it)) (VP (BES 's) (ADJP (JJ good) (PP (IN for) (NP (NNS people)))) (ADVP (RB outside))))) (. .)))"
[11],"(ROOT (S (NP (PRP They)) (VP (VBP get) (S (NP (NP (DT a) (JJ different) (NN persp-)) (, ,) (FRAG (INTJ (UH uh)) (, ,) (NP (NN perspective)))) (PP (IN on) (NP (DT an) (NN issue) (CC and) (NN stuff))))) (. .)))"
[12],"(ROOT (FRAG (S (ADJP (ADJP (RB So)) (PRN (, ,) (INTJ (UH yeah)) (, ,))))))"
[9],"(ROOT (SBARQ (SBAR (WHADVP (WRB How)) (S (VP (VBP do)))) (, ,) (WHADVP (WRB how)) (SQ (VBP do) (NP (PRP you)) (VP (VB feel) (PP (IN about) (NP (NP (NNS people)) (PP (IN like) (NP (NP (NNP Jesse) (NNP Jackson)) (VP (VBG getting) (S (ADJP (VBN involved)))))))))) (. ?)))"
[13],(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB see) (NP (DT any) (NN problem)) (PP (IN with) (NP (NP (NNS outsiders)) (VP (VP (VBG going) (ADVP (RB in))) (CC and) (VP (VBG getting) (NP (NP (DT a) (JJ little) (NN bit)) (VP (VBN involved))))))))) (. .)))
[15],"(ROOT (S (NP (PRP I)) (VP (VBP think) (, ,) (ADVP (RB though)) (, ,) (SBAR (IN that) (S (NP (PRP it)) (VP (MD should) (ADVP (RB still)) (VP (VB be) (, ,) (INTJ (UH uh)) (, ,) (ADVP (RB sort) (RB of) (IN up) (PP (IN to) (NP (NP (DT the) (NN majority)) (PP (IN in) (NP (DT the) (NN area))))))))))) (. .)))"
[16],"(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know))) (, ,)))"
[17],"(ROOT (S (PP (IN on) (NP (NP (NN something)) (PP (IN like) (NP (DT that))))) (, ,) (NP (PRP they)) (VP (MD would) (RB n't) (ADVP (RB really)) (VP (VB vote) (PP (IN on) (NP (NP (PRP it)) (CC or) (NP (NN anything)))) (, ,) (ADVP (RB though)))) (. .)))"
[19],"(ROOT (S (INTJ (UH Uh)) (, ,) (ADVP (RB probably) (RB so)) (, ,) (NP (NP (RB just)) (PP (IN because) (NP (PRP they)))) (VP (VBD were) (PP (IN under) (NP (PRP$ his) (NN authority))))))"
"[14, 18]","(ROOT (SINV (FRAG (INTJ (UH Well))) (, ,) (VP (VP (VBP do) (NP (PRP you))) (CC but) (VP (VBP do) (NP (PRP you)))) (S (VP (VB think) (SBAR (S (NP (NNP Gates)) (VP (MD should) (VP (VB resign))))))) (. ?)))"
[20],(ROOT (S (CC and) (NP (PRP he)) (ADVP (RB obviously)) (VP (VBD failed) (ADVP (RB somewhere)) (PP (IN along) (NP (DT the) (NN line)))) (. .)))
[21],"(ROOT (S (INTJ (UH Well) (, ,) (UH well)) (, ,) (NP (NP (NP (VBG speaking)) (PP (IN of) (NP (DT that)))) (PRN (ADVP (RB kind) (RB of)) (NP (NN issue)) (, ,))) (VP (VBP have) (S (NP (PRP you)) (VP (VBN kept) (PRT (IN up)) (PP (IN with) (NP (NNP John) (NNP Wiley) (NNP Price)))))) (. ?)))"
[22],(ROOT (INTJ (UH Yeah) (. .)))
[24],"(ROOT (S (INTJ (UH Oh) (, ,) (UH um)) (, ,) (ADVP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP he)) (VP (HVS 's) (VP (VBN got) (NP (JJ good) (NNS intentions))))))) (, ,)))"
[23],(ROOT (SBARQ (WHNP (WP What)) (SQ (VBP do) (NP (PRP you)) (VP (VB think) (PP (IN of) (NP (PRP him))))) (. ?)))
[26],(ROOT (S (NP (PRP He)) (VP (BES 's) (NP (DT an) (JJ interesting) (NN person))) (. .)))
[27],"(ROOT (S (NP (PRP I)) (VP (VBD was) (VP (VBG talking) (PP (IN to) (NP (NP (NN someone)) (SBAR (WHNP (WP who)) (S (VP (VBD said) (SBAR (IN that) (S (VP (PRN (, ,) (INTJ (UH uh)) (, ,)) (PP (PP (IN for) (NP (DT all) (PRP$ his) (JJ obvious) (NN attention))) (PP (IN to)))))) (, ,) (S (NP (NNS efforts)) (VP (TO to) (VP (VB get) (NP (NNS media) (NN attention)) (SBAR (IN that) (S (NP (PRP he)) (ADVP (RB actually)) (VP (VBZ is) (NP (DT a) (NN worker))))))))))))) (PP (IN on) (NP (DT the))) (PRN (, ,) (INTJ (UH uh)) (, ,))))))"
[25],(ROOT (S (CC but) (NP (PRP I)) (VP (VBP 'm) (RB not) (ADJP (JJ sure)) (SBAR (IN if) (S (NP (NP (DT the) (NN way)) (SBAR (S (NP (PRP he)) (VP (VBZ goes) (PP (IN about) (SBAR (WHNP (WP what)) (S (NP (PRP he)) (VP (VBZ does))))))))) (VP (VBZ is) (ADJP (RB really) (JJ right)))))) (. .)))
