[0],"(ROOT (INTJ (INTJ (UH Okay)) (, ,) (INTJ (UH um) (. .))))"
[1],(ROOT (S (VP (VB Let) (S (NP (PRP 's)) (VP (VB talk) (PP (IN about) (NP (DT the) (NNP Middle) (NNP East) (NN situation)))))) (. .)))
[2],"(ROOT (S (NP (NP (DT The) (NNP U) (NNP S) (NN involvement)) (PP (IN in) (NP (RB there)))) (, ,) (ADVP (RB then)) (NP (PRP I)) (VP (VBP guess) (ADVP (RB even)) (ADVP (RB though))) (. .)))"
[4],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP it)) (VP (VBZ is)) (RP over)))"
[5],"(ROOT (S (CC but) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB think) (SBAR (S (NP (PRP we)) (VP (VBP 're) (ADVP (IN out) (PP (IN of) (ADVP (RB there)))) (PP (IN by) (NP (DT any) (NNS means)))) (, ,)))))))"
[6],"(ROOT (S (S (CC and) (S (INTJ (UH uh)) (, ,) (NP (PRP I)) (VP (VBP wonder) (SBAR (S (VP (VBP are) (NP (NP (PRP we)) (VP (VBG going) (S (VP (TO to) (VP (VB set) (PRT (RP up)) (NP (PRP you))))))))))))) (VP (VBP know) (NP (NP (NN peace) (NN keeping) (NN type) (NNS forces)) (PP (IN for) (NP (JJ long) (NN term))))) (. .)))"
[7],"(ROOT (SQ (S (NP (PRP You)) (VP (VBP know))) (, ,) (SQ (VBZ is) (NP (NP (DT that) (NN something)) (SBAR (S (NP (PRP we)) (VP (VP (MD should) (VP (VB do))) (CC or) (VP (MD should) (RB n't) (VP (VB do)))))))) (. ?)))"
[3],"(ROOT (S (S (ADVP (RB Now)) (NP (DT that)) (VP (BES 's) (SBAR (S (NP (PRP it)) (VP (BES 's) (RB all) (ADJP (IN over) (PP (IN with)))))))) (, ,) (NP (PRP you)) (VP (VBP know)) (. .)))"
[9],(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know)))))
[10],(ROOT (S (NP (PRP I)) (VP (VBP understand) (SBAR (IN that) (S (NP (DT the) (NNP U) (NNP S)) (VP (VBZ is) (VP (VBG talking) (PP (IN about) (S (VP (VBG leaving) (NP (NP (JJR more)) (PP (IN of) (NP (PRP$ its) (NNS planes) (CC and) (NNS things)))) (PP (IN over) (NP (RB there))))))))))) (. .)))
[11],"(ROOT (S (INTJ (UH Uh)) (, ,) (NP (NP (PRP I)) (SBAR (S (VP (VBP guess))))) (, ,) (NP (NP (PRP they)) (, ,) (FRAG (INTJ (UH uh)) (, ,) (NP (PRP they)))) (VP (VBP 're) (PP (IN anti) (NP (NP (NNP U) (NNP S)) (PP (IN in) (NP (DT that) (NN region))))))))"
[12],"(ROOT (FRAG (CC and) (NP (NP (RB now)) (SBAR (S (NP (PRP they)) (VP (VBP 're) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,))))))))"
[13],"(ROOT (S (PP (IN like) (NP (NNP Syria) (CC and) (NNP Egypt))) (, ,) (NP (PRP you)) (VP (VBP know) (SBAR (S (VP (VBD had) (NP (NP (DT some) (NN pressure)) (PP (IN against) (NP (DT the) (NNP U) (NNP S) (, ,))))))))))"
[14],"(ROOT (S (CC but) (ADVP (RB now)) (NP (PRP they)) (, ,) (NP (NP (RB now)) (NP (PRP they))) (VP (MD would) (RB n't) (VP (VB allow) (S (NP (PRP us)) (VP (TO to) (VP (VB have) (NP (NP (DT a) (NN base)) (PP (IN in) (NP (DT that) (NN region)))))))))))"
[8],(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know))) (. .)))
[15],(ROOT (S (CC but) (ADVP (RB now)) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP they)) (VP (VBP are) (VP (VBG rethinking) (NP (DT that))))))) (. .)))
[16],(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (DT that)) (VP (BES 's) (ADJP (JJ true)) (PP (IN because) (IN of) (NP (NP (PDT all) (DT the) (NN support)) (SBAR (WHNP (WDT that)) (S (VP (VBD came) (ADVP (RB through))))))))))) (. .)))
[18],"(ROOT (S (NP (NP (DT The) (JJ other) (NN thing)) (SBAR (WHNP (WDT that)) (S (NP (PRP I)) (VP (VBP think) (SBAR (S (VP (VBZ is) (ADJP (JJ good)) (SBAR (IN for) (S (INTJ (UH like)) (NP (JJ American) (NNS businesses)) (VP (VBP are) (S (VP (TO to) (VP (VB be) (VP (VBN involved))))))))))))))) (VP (VBZ is) (NP (NP (DT the)) (, ,) (NP (NP (DT the) (NNS reports)) (SBAR (WHNP (WDT that)) (S (NP (PRP I)) (VP (VBP hear) (ADVP (RB back))))))))))"
[17],(ROOT (S (NP (DT That)) (VP (BES 's) (ADJP (JJ right))) (. .)))
[19],(ROOT (S (CC and) (PP (IN of) (NP (NP (NN course)) (PP (IN on) (NP (NP (DT the) (NN news)) (SBAR (S (NP (PRP I)) (VP (VBP try) (S (VP (TO to) (VP (VP (VB listen)) (CC and) (ADVP (RB also)) (VP (VB read) (PP (IN between) (NP (DT the) (NNS lines)))))))))))))) (NP (PRP you)) (VP (VBP know)) (. .)))
[21],"(ROOT (S (CC But) (, ,) (NP (NP (PRP they)) (SBAR (S (VP (VBD said) (SBAR (IN that) (S (PP (IN because) (NP (DT the) (NNPS Americans))) (NP (PRP you)) (VP (VBP know)))))))) (VP (VBD took) (NP (PDT such) (DT a) (JJ proactive) (NN stance) (NN involvement)) (PP (IN in) (ADVP (NP (DT the) (NN war)) (IN that))))))"
[20],(ROOT (INTJ (UH Uh-huh) (. .)))
[22],(ROOT (SINV (PP (IN like) (NP (NP (NP (QP (RB so) (JJ much))) (PP (IN of) (NP (DT the) (NN business)))) (CC and) (NP (NP (NP (DT the) (NN rebuilding)) (PP (IN in) (NP (NNP Kuwait)))) (CC and) (NP (NP (NNS things)) (PP (IN like) (NP (DT that))))))) (VP (MD will) (VP (VB go) (PP (IN to) (NP (JJ American) (NNS businesses))) (SBAR (WHADVP (WRB where)) (FRAG (ADJP (IN as)))))) (SBAR (IN before) (S (NP (PRP they)) (VP (MD may) (VP (VB be) (VP (VBN dealt) (PP (IN with) (NP (NP (JJ Japanese) (NNS firms)) (CC or) (NP (JJ other) (NNS people))))))))) (. .)))
[24],"(ROOT (S (NP (PRP They)) (VP (VBD said) (SBAR (RB even) (IN though) (S (NP (DT the) (NN Japanese)) (VP (VBD were) (ADJP (JJ involved)) (ADVP (ADVP (RB monetarily)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NP (NP (PRP they)) (ADVP (RB still)))))))))"
[23],(ROOT (INTJ (UH Uh-huh) (. .)))
[26],"(ROOT (FRAG (PP (UH Right)) (, ,)))"
[25],"(ROOT (S (S (INTJ (UH like)) (NP (DT the) (JJ first) (, ,) (JJ first) (NN priority)) (VP (MD ought) (S (VP (TO to) (VP (VB go) (PP (IN to) (NP (NP (JJ American) (NNS businesses)) (, ,) (SBAR (WHNP (WDT which)) (S (NP (PRP I)) (VP (VBP guess) (SBAR (S (VP (MD will) (VP (VB be) (ADJP (JJ good)))))))))))))))) (NP (PRP you)) (VP (VBP know) (SBAR (WHNP (WDT which)) (S (VP (MD will) (VP (VB be) (ADJP (JJ good) (PP (IN for) (NP (PRP$ our) (NN economy))))))))) (. .)))"
[27],(ROOT (INTJ (UH right) (. .)))
[28],"(ROOT (S (CC But) (, ,) (NP (PRP I)) (, ,) (NP (PRP you)) (VP (VBP know)) (. .)))"
[30],"(ROOT (FRAG (PP (UH Boy)) (, ,)))"
[31],"(ROOT (FRAG (S (VP (VP (VBP do) (RB n't)) (PRN (S (NP (PRP you)) (VP (VB know))) (, ,))))))"
[29],(ROOT (S (NP (PRP They)) (VP (VBP get) (ADVP (RB so) (JJ much) (PP (IN of) (NP (PRP$ our) (NN money)))) (PP (IN from) (NP (NN oil))) (ADVP (RB anyway))) (. .)))
[33],"(ROOT (INTJ (UH No) (, ,)))"
[32],(ROOT (S (NP (PRP I)) (VP (VBP mean) (SBAR (S (NP (PRP we)) (VP (VBP do) (RB n't) (VP (VB seem) (S (VP (TO to) (VP (VB slow) (PRT (RP down)) (ADVP (RB even)) (SBAR (WHADVP (WRB when)) (S (NP (EX there)) (VP (VBZ is) (NP (DT a) (NN crisis))))))))))))) (. .)))
[34],(ROOT (INTJ (UH no) (. .)))
[36],"(ROOT (INTJ (UH Yeah) (, ,)))"
[37],"(ROOT (S (NP (PRP I)) (VP (VBP think) (NP (NP (DT that)) (PP (BES 's) (NP (DT a) (JJ nice) (NN gesture)))) (, ,) (PP (IN on) (NP (DT the) (JJ Kuwaiti) (NN government) (NN part) (S (VP (TO to) (VP (VB do) (NP (DT that)))))))) (, ,)))"
[35],(ROOT (S (VP (ADVP (CC But))) (. .)))
[39],(ROOT (S (NP (PRP I)) (VP (VBP imagine)) (. .)))
[38],(ROOT (S (CC and) (NP (NP (DT a) (JJ few) (NNS people)) (SBAR (S (NP (PRP I)) (VP (VBP guess))))) (VP (MD will) (VP (VB make) (NP (DT a) (JJ few) (NNS people)) (UCP (ADJP (RB pretty) (JJ wealthy) (PP (IN in) (NP (NN construction)))) (CC and) (ADVP (RB so) (RB forth))))) (. .)))
[41],(ROOT (INTJ (UH Right) (. .)))
"[40, 42]","(ROOT (S (NP (PRP$ Your) (NN oil) (NNS companies)) (, ,) (PRN (S (NP (PRP they)) (VP (MD may) (VP (VB see) (PRN (, ,) (ADVP (RB probably)) (NP (NP (DT the) (JJ first) (JJ big) (NN rise)) (PP (IN in) (NP (NN business))))))))) (NP (PRP they)) (VP (VBP have) (VP (VBN seen) (PP (IN in) (NP (NNS years))))) (. .)))"
[43],(ROOT (S (VP (VP (VB Go) (PP (IN over) (NP (RB there)))) (CC and) (VP (VB rebuild) (NP (PDT all) (DT those)))) (. .)))
[45],(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (BES 's) (NP (PDT such) (DT a) (NN shame)) (SBAR (IN that) (S (NP (DT the) (NNPS Iraqis)) (VP (VBD had) (S (VP (TO to) (ADVP (RB just)) (VP (VB go) (VP (VB destroy) (NP (NN everything))))))))))))) (. .)))
[44],(ROOT (INTJ (UH Uh-huh) (. .)))
[46],(ROOT (S (NP (PRP I)) (VP (ADVP (RB just))) (. .)))
[48],"(ROOT (SBARQ (S (NP (PRP I)) (VP (VBP mean))) (, ,) (WHNP (WP what)) (SQ (VP (BES 's) (, ,) (SBARQ (WHNP (WHNP (WP what)) (ADJP (JJ good))) (SQ (VBZ is) (NP (DT that))) (. ?))))))"
[49],"(ROOT (S (SBAR (IN If) (S (S (NP (PRP I)) (VP (MD ca) (RB n't) (VP (VB have) (NP (PRP it))))) (, ,) (S (NP (PRP you)) (VP (MD ca) (RB n't) (VP (VB have) (NP (PRP it))))))) (, ,) (NP (PRP you)) (VP (VBP know))))"
[47],(ROOT (S (NP (PRP I)) (VP (VBP do) (ADVP (RB too))) (. .)))
[51],"(ROOT (INTJ (UH Yeah) (, ,)))"
[52],"(ROOT (X (CC but) (S (VP (VB look) (PP (IN at) (NP (PRP$ their) (NN war)) (, ,))))))"
[53],(ROOT (S (NP (DT that)) (VP (VBD was) (NP (PRP$ his) (JJ whole) (NN war)))))
[54],"(ROOT (FRAG (S (VP (VP (VBZ is)) (, ,) (VP (VBZ is))))))"
[55],"(ROOT (S (NP (PRP I)) (VP (VBP 'm) (RB not) (ADJP (JJ satisfied) (PP (IN with) (SBAR (WHNP (WP what)) (S (NP (NNP Iraq)) (VP (VBZ has))))))) (, ,)))"
[50],(ROOT (S (S (NP (DT that)) (VP (VBZ sounds) (SBAR (S (PP (IN like) (NP (NN something))) (NP (DT a) (JJ little) (NN kid)) (VP (MD would) (VP (VB do)))))) (. .)) (NP (PRP You)) (VP (VBP know)) (. .)))
[56],(ROOT (S (NP (PRP I)) (VP (VBP want) (SBAR (WHNP (WP what)) (S (NP (NN everybody)) (VP (VBZ has))))) (. .)))
[58],"(ROOT (S (CC And) (, ,) (NP (CC and)) (ADVP (PRP you)) (VP (VBP 're) (ADJP (JJ right))) (, ,)))"
[57],(ROOT (S (NP (DT That)) (VP (BES 's) (ADJP (JJ right))) (. .)))
[60],(ROOT (INTJ (UH Uh-huh) (. .)))
[59],"(ROOT (S (S (NP (PRP it)) (VP (BES 's) (SBAR (IN like) (S (NP (PRP you)) (VP (VBP see) (NP (NP (CD two) (JJ little) (JJ pre-school) (NNS kids)) (VP (VBG fighting) (PP (IN over) (NP (DT a) (NN toy)))))))))) (, ,) (NP (PRP you)) (VP (VBP know)) (. .)))"
[62],"(ROOT (PRN (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP am) (ADJP (ADJP (NP (DT a) (RB little)) (JJ concerned)) (SBAR (IN about) (S (NP (PRP you)) (VP (VBP know))))))) (, ,)))"
[61],(ROOT (INTJ (UH Uh-huh) (. .)))
"[63, 65]","(ROOT (S (NP (PRP I)) (VP (VBP know) (SBAR (S (NP (PRP they)) (VP (VBP are) (VP (VBG putting) (NP (NNP President) (NNP Bush)) (ADVP (RB right) (RB now)) (PP (IN in) (NP (NP (DT an) (JJ awkward) (NN position)) (VP (VBG concerning) (NP (NP (DT the)) (, ,) (NP (NP (DT The) (NN treaty)) (PP (IN over) (NP (RB there))))) (ADVP (RB right) (RB now)))))))))) (. .)))"
[66],(ROOT (S (NP (PRP You)) (VP (VBP know) (SBAR (SBARQ (WHNP (WP what)) (SQ (VBP am) (NP (PRP I)) (VP (VBG trying) (S (VP (TO to) (VP (VB say)))))) (. ?))))))
[68],(ROOT (FRAG (INTJ (UH Well)) (VBG supporting) (NP (DT the) (NNPS Kurds))))
"[64, 67]","(ROOT (S (NP (NP (DT The)) (, ,) (NP (NP (DT The) (NN deal)) (PP (IN with) (NP (NP (DT the)) (FRAG (INTJ (UH uh))))))) (, ,) (VP (VBG supporting) (NP (DT the) (NNPS Kurds))) (. .)))"
[70],"(ROOT (FRAG (PP (UH Right)) (, ,)))"
[71],"(ROOT (FRAG (PP (UH right)) (, ,)))"
