[0],(ROOT (INTJ (UH Okay)))
[1],(ROOT (S (NP (PRP he)) (VP (VBD did) (ADVP (RB really)) (VP (VB decide) (S (VP (TO to) (VP (VB go)))))) (. ?)))
[3],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[4],(ROOT (INTJ (UH sure)))
[5],"(ROOT (S (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ familiar) (PP (IN with) (NP (PRP it))))) (, ,)))"
[9],"(ROOT (S (CC And) (SBAR (WHNP (NP (PRP he)) (PRN (, ,) (INTJ (UH well)) (, ,))) (S (NP (PRP he)) (VP (MD must) (VP (VB know))))) (, ,) (VP (VBZ is) (ADJP (NP (PRP he)) (VBN interested) (PP (IN in) (NP (NN law) (CC or) (NN medicine)))) (, ,))))"
[10],(ROOT (S (NP (PRP he)) (VP (MD must) (VP (VB have) (NP (NP (DT a) (JJ definite) (NN profession)) (PP (IN in) (NP (NN mind)))))) (. .)))
[13],"(ROOT (INTJ (INTJ (UH Oh)) (, ,) (INTJ (UH okay) (, ,))))"
[15],"(ROOT (FRAG (PP (JJ Medium) (NP (NN size))) (, ,)))"
[16],(ROOT (S (VP (VBP are) (RB n't) (NP (PRP they))) (. ?)))
[7],(ROOT (PRN (CC and) (S (NP (PRP it)) (VP (VBD was) (NP (DT a) (ADJP (RB very) (JJ difficult)) (NN choice))))))
[18],(ROOT (SQ (VBZ Is) (NP (PRP he)) (ADJP (JJ excited)) (. ?)))
[21],"(ROOT (FRAG (PP (UH Wow)) (, ,)))"
[22],"(ROOT (S (NP (PRP I)) (VP (MD can)) (, ,)))"
[23],"(ROOT (S (NP (PRP I)) (VP (, ,))))"
[25],(ROOT (INTJ (UH Uh-huh)))
[26],"(ROOT (S (SBAR (IN while) (S (NP (PRP they)) (VP (VBP 're) (NP (JJ east) (NN coast))))) (, ,) (NP (PRP I)) (VP (VBP mean) (PRN (, ,) (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (NP (NN anything)) (PP (IN about) (NP (PRP$ their) (NN football)))))) (, ,)))))"
[19],"(ROOT (FRAG (S (ADJP (ADJP (RB Very)) (PRN (PP (JJ excited)) (, ,))))))"
[27],(ROOT (S (CC but) (NP (EX there)) (NP (PRP you)) (VP (VBP go)) (. .)))
[29],"(ROOT (INTJ (UH Yeah) (, ,)))"
