[0],"(ROOT (S (S (NP (PRP I)) (ADVP (RB just)) (VP (VBD pressed) (NP (PRP$ my)))) (, ,) (FRAG (INTJ (UH uh))) (. .)))"
[2],"(ROOT (S (NP (PRP I)) (VP (VBD got) (NP (NP (CD one)) (ADJP (DT that) (ADJP (BES 's) (JJ interesting)) (, ,) (ADJP (RB not) (RB too)) (, ,) (ADJP (RB not) (RB too) (JJ controversial))))) (, ,)))"
[3],"(ROOT (S (NP (PRP I)) (VP (, ,))))"
[4],"(ROOT (S (NP (PRP you)) (VP (VBP know) (, ,) (PP (RB not))) (, ,)))"
[5],(ROOT (S (VP (VBZ does) (RB n't) (VP (VB matter) (SBAR (IN whether) (S (NP (PRP you)) (VP (VBP 're) (NP (NNP Democrat) (CC or) (NNP Republican))))))) (. .)))
[6],"(ROOT (PRN (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP do) (VP (VB get) (ADVP (RB somewhat) (PP (IN of) (ADVP (NP (DT a) (NN kick)) (IN out)))) (PP (IN of))))) (, ,)))"
[7],"(ROOT (S (PP (IN because) (NP (NP (NNP Schwartzkopf)) (, ,) (CC or) (NP (NP (DT the) (JJ other) (NNS generals)) (, ,) (SBAR (WHNP (WP who)) (S (NP (PRP I)) (VP (VBP admire))))) (, ,) (SBAR (WHADVP (WRB how)) (S (NP (NN everyone)) (VP (VBZ wants) (S (VP (TO to) (VP (VB make))))))))) (, ,) (VP (VB get) (NP (PRP them)) (PP (IN in) (NP (NNS politics)))) (. .)))"
[1],(ROOT (S (NP (PRP We)) (VP (VBP 're) (VP (VBN supposed) (S (VP (TO to) (VP (VB talk) (PP (IN about) (NP (JJ recent) (JJ political) (NNS developments)))))))) (. .)))
"[8, 10]","(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (DT that)) (VP (BES 's) (ADVP (RB kind) (RB of)) (NP (NP (DT an) (JJ interesting) (JJ recent) (NN thing)) (, ,) (SBAR (WHNP (WDT that)) (S (NP (PRP I)) (VP (MD could) (VP (VB think) (PP (IN of) (ADVP (RB recently))) (PP (IN that) (PRN (, ,) (INTJ (UH uh)) (, ,))))))))))))))"
[9],(ROOT (INTJ (UH Uh-huh) (. .)))
[12],(ROOT (INTJ (UH Yeah) (. .)))
