[0],"(ROOT (INTJ (UH Yeah) (, ,)))"
[1],"(ROOT (S (NP (PRP I)) (VP (VBP think) (S (SBAR (PRN (, ,) (INTJ (UH um)) (, ,)) (S (NP (DT this)) (VP (VBZ is) (NP (DT a) (JJ tough) (NN subject)) (PP (IN because) (PRN (, ,) (INTJ (UH uh)) (, ,))) (SBAR (WHADVP (WRB when)) (S (NP (PRP you)) (VP (VBP come) (PP (IN from) (NP (NP (CD two) (JJ different) (NNS parts)) (PP (IN of) (NP (DT the) (NN country))))))))))) (, ,) (INTJ (UH uh)) (, ,) (NP (DT the) (JJ political) (NNS views)) (VP (VBP are) (ADJP (RB really) (JJ different))))) (. .)))"
[2],"(ROOT (S (NP (PRP I)) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP I)) (, ,) (ADVP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP I)) (VP (VBP 've) (VP (VBN had) (S (VP (TO to) (VP (VB discuss) (NP (NP (DT a) (NN number)) (PP (IN of) (SBAR (WHNP (WP what)) (S (VP (MD might) (VP (VB be) (VP (VBN considered) (NP (JJ controversial) (NNS issues))))))))))))))))) (, ,)))"
[4],"(ROOT (S (NP (PRP I)) (VP (VBP guess) (SBAR (S (S (INTJ (UH like) (, ,) (UH like)) (NP (PRP they)) (VP (VBP 're) (NP (NN nothing)))) (, ,) (S (NP (PRP I)) (VP (VBP guess))) (, ,) (S (NP (NN nothing)) (VP (VBZ is) (ADJP (RB as) (JJ awful) (PP (IN as) (NP (NN abortion)))))))))))"
[5],"(ROOT (FRAG (CC but) (PP (NP (UH like)) (PP (NP (NP (NN gun) (NN control)) (CC and) (PRN (, ,) (FRAG (INTJ (UH uh)) (, ,) (NP (NN day) (NN care))) (^CC an)) (NP (NNS things))) (IN like) (NP (NP (DT that)) (, ,))))))"
[3],(ROOT (INTJ (UH Uh-huh) (. .)))
[7],"(ROOT (SINV (FRAG (INTJ (UH Well) (, ,) (UH now))) (VP (PRP you) (, ,) (S (NP (PRP you)) (VP (VBP say) (NP (NP (CD two) (JJ different) (NNS parts)) (PP (IN of)))))) (NP (DT the) (NN country))))"
[8],"(ROOT (SBAR (WHNP (WP what)) (PRN (, ,) (S (VP (VP (VBP are)) (, ,) (VP (VBP are)))) (, ,)) (S (VP (VBP are) (S (NP (PRP you)) (VP (VBG referring) (PP (IN to) (NP (PRP yourself)))))))))"
[6],"(ROOT (S (S (CC and) (NP (EX there)) (VP (VBP are) (NP (DT some) (ADJP (RB very) (JJ different)) (NNS views)) (, ,) (INTJ (UH uh)) (, ,) (PP (IN of) (NP (NP (DT the) (NNS people)) (VP (VBN connected) (PP (IN with) (NP (NP (DT the) (NN program)) (SBAR (WHNP (WDT which)) (S (NP (PRP I)) (VP (VBD thought) (SBAR (S (VP (VBD was) (ADJP (RB really) (JJ interesting))))))))))))))) (, ,) (NP (PRP you)) (VP (VBP know)) (. .)))"
[10],"(ROOT (INTJ (UH Yeah) (, ,)))"
[11],"(ROOT (PP (UH well) (S (VP (VBG being) (PP (IN in) (PRN (, ,) (PP (IN in) (NP (NP (NNP Baltimore)) (FRAG (INTJ (UH see))))) (, ,)))))))"
