[0],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[1],"(ROOT (S (INTJ (UH well)) (, ,) (NP (WP what)) (VP (BES 's) (NP (PRP$ your) (NN opinion)) (PP (IN about) (NP (NN capital) (NN punishment)))) (. ?)))"
[3],"(ROOT (FRAG (PP (UH Right)) (, ,)))"
[4],"(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP I)) (VP (MD would) (VP (VB agree) (PP (IN with) (NP (PRP you))) (PP (IN on) (NP (DT that))) (, ,) (ADVP (RB too))))))) (. .)))"
[5],"(ROOT (S (NP (PRP I)) (, ,) (PRN (S (NP (PRP I)) (VP (MD ca) (RB n't) (VP (VB see) (NP (DT any) (NN point)) (PP (IN in) (S (VP (VBG keeping) (NP (NP (NN someone)) (SBAR (WHNP (WP who)) (S (VP (BES 's) (PP (ADVP (RB obviously)) (IN beyond) (NP (NP (DT any) (NN kind)) (PP (IN of) (NP (NN rehabilitation))))) (, ,) (INTJ (UH uh)) (, ,) (S (VP (VBG keeping) (NP (PRP them))))))))))))))) (, ,) (NP (PRP you)) (VP (VBP know) (, ,) (S (VP (VBG paying) (SBAR (IN for) (S (NP (PRP them)) (VP (TO to) (VP (VB live) (PP (IN in) (NP (NP (NN prison)) (PP (IN for) (NP (NP (NNS years)) (CC and) (NP (NNS years) (CC and) (NNS years)))))) (SBAR (WHADVP (WRB when)) (S (NP (PRP you)) (VP (MD could) (ADVP (RB probably)) (VP (ADVP (RB just)) (VB eliminate) (NP (DT the) (NN problem))))))))))))) (. .)))"
[2],"(ROOT (S (FRAG (INTJ (UH Well)) (, ,) (NP (NNP Cathy))) (, ,) (NP (PRP I)) (VP (VBP think) (SBAR (WHNP (IN that)) (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (NP (NN capital) (NN punishment)) (ADVP (RB certainly)) (VP (VBZ has) (NP (NP (DT a) (NN place)) (PP (PP (IN in) (NP (PRP$ our) (NN society))) (PRN (, ,) (INTJ (UH um)) (, ,)))) (ADVP (RB maybe)) (PP (IN from) (NP (DT the) (NN sense))) (SBAR (IN that) (S (NP (EX there)) (VP (VBP are) (NP (NP (DT some) (NNS things)) (SBAR (WHNP (WDT that)) (S (NP (PRP we)) (ADVP (RB just)) (VP (MD ca) (RB n't) (VP (VB afford) (S (VP (TO to) (VP (VB have) (VP (VBN repeated) (, ,) (ADVP (RB even)))))) (PP (IN in) (NP (NP (DT the) (JJ remote) (NN chance)) (PP (IN of) (NP (NN repetition))))))))))))))))) (. .)))"
[7],"(ROOT (S (NP (DT That)) (VP (MD might) (VP (VB be) (ADJP (JJ true)))) (, ,)))"
[8],"(ROOT (S (INTJ (UH um)) (, ,) (ADVP (PRP I)) (VP (VBP 'm)) (, ,)))"
[6],(ROOT (S (ADVP (RB Maybe)) (VP (VB spend) (NP (NP (DT the) (NN money)) (PP (IN on) (NP (NN someone))) (SBAR (WHNP (WP who)) (S (VP (MD could) (ADVP (RB possibly)) (VP (VB be) (VP (VBN helped)))))))) (. .)))
[9],"(ROOT (S (NP (WP what)) (PRN (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know)))) (, ,)) (VP (VBZ is) (SBARQ (WHADVP (WRB where)) (SQ (VBP do) (NP (PRP we)) (VP (VB draw) (NP (DT the) (NN line)))))) (. .)))"
[11],"(ROOT (S (S (INTJ (UH Uh)) (, ,) (PRN (SINV (VBP do) (NP (PRP we)) (VP (VB say) (ADVP (IN that) (DT every)) (NP (NP (CD one)) (SBAR (WHNP (WP who)) (S (VP (VBZ commits) (NP (NP (NN murder)) (PP (IN in) (NP (DT the) (JJ first) (NN degree))))))))))) (VP (VBZ is) (ADJP (JJ liable) (PP (IN for) (NP (NN capital) (NN punishment)))) (PP (IN if) (NP (DT that))))) (BES 's) (S (SBAR (WHNP (WP what)) (S (NP (DT the) (NN jury)) (VP (VBZ decides)))) (VP (VBZ is) (NP (NP (NP (DT an) (JJ appropriate) (NN punishment)) (PP (IN for) (NP (PRP$ their) (NN crime)))) (, ,))))))"
