[0],(ROOT (INTJ (UH Hi)))
[2],(ROOT (FRAG (PP (IN Of) (NP (NN course))) (. .)))
[1],(ROOT (S (NP (PRP you)) (VP (VBP want) (S (VP (TO to) (VP (VB start) (ADVP (RB first)))))) (. ?)))
"[3, 5]","(ROOT (S (SBAR (SBAR (S (NP (PRP We)) (VP (VBP are) (VP (VBG talking) (PP (PP (IN about) (NP (DT the) (JJ elderly))) (CC and) (PRN (, ,) (INTJ (UH uh)) (, ,)) (PP (IN whether))))))) (CC or) (SBAR (RB not) (S (NP (PRP we)) (VP (MD wo))))) (, ,) (NP (PRP we)) (VP (VBP like) (NP (NN nursing) (NNS homes)))))"
[4],(ROOT (INTJ (UH Right) (. .)))
[7],(ROOT (INTJ (UH Uh-huh) (. .)))
"[6, 8]","(ROOT (S (CC and) (, ,) (PP (IN as) (NP (NP (DT a) (NN matter)) (PP (IN of) (NP (NN fact))))) (, ,) (NP (PRP I)) (VP (MD can) (VP (VB tell) (NP (PRP you)) (NP (NP (NN something)) (PP (IN about) (NP (DT that)))))) (. .)))"
[10],"(ROOT (INTJ (UH No) (, ,)))"
[11],"(ROOT (S (ADVP (RB actually)) (, ,) (NP (PRP$ my) (NN grandmother)) (VP (VP (VBD owned)) (CC and) (VP (VBD operated) (NP (DT a) (NN nursing) (NN home)) (PP (IN for) (NP (NNS years)))))))"
[9],"(ROOT (S (NP (PRP You)) (ADVP (RB apparently)) (VP (VBP have) (NP (NN somebody)) (ADVP (RB there)) (, ,) (PP (IN in) (NP (CD one)))) (. .)))"
[12],"(ROOT (FRAG (PP (CC and) (NP (PRP$ her) (NN mother))) (, ,)))"
[14],"(ROOT (INTJ (UH No) (, ,)))"
[13],"(ROOT (S (INTJ (UH Oh)) (, ,) (NP (PRP you)) (VP (VBP are) (VP (VBG kidding))) (. ?)))"
[15],(ROOT (S (NP (PRP she)) (VP (VBD did)) (. .)))
[16],(ROOT (INTJ (UH Oh) (. .)))
[18],(ROOT (INTJ (UH Uh-huh) (. .)))
[20],(ROOT (S (NP (PRP I)) (VP (MD will) (VP (VB be) (ADJP (JJ darned)))) (. .)))
"[17, 19, 21]","(ROOT (S (CC And) (ADVP (RB then)) (NP (PRP$ my) (NX (NX (NP (NN mother)) (VP (ADVP (RB also)) (VP (VBD owned)) (CC and) (VP (VBD operated) (NP (NP (DT a) (NN nursing)) (UCP (NP (NN home)) (, ,) (PP (IN for) (NP (NNS years)) (. .)) (CC And) (ADVP (RB then))))))) (PRN (, ,) (INTJ (UH uh)) (, ,)))) (VP (VP (VBD went) (PP (IN on) (ADVP (RB back))) (PP (IN to) (NP (NN school)))) (CC and) (VP (VBD became) (NP (NP (DT the) (NN director)) (PP (IN of) (NP (NNS nurses)))) (PP (IN at) (NP (DT a) (NN nursing) (NN home))))) (. .)))"
[22],(ROOT (INTJ (UH Uh-huh) (. .)))
[23],"(ROOT (S (CC And) (, ,) (S (INTJ (UH uh)) (, ,) (NP (NP (PRP$ my) (NN mother)) (CC and) (NP (NP (PRP$ my) (JJR older) (NN sister)) (NP (DT both)))) (VP (VBP are) (NP (JJ geriatric) (NNS nurses)))) (. .)))"
[24],"(ROOT (FRAG (INTJ (UH Oh)) (, ,) (PP (IN for) (NP (NP (NN heaven) (POS 's)) (NP (NN sake))) (. .))))"
[25],"(ROOT (S (ADVP (RB So)) (, ,) (NP (PRP I)) (VP (VBP do) (VP (VB know) (NP (NN something)) (PP (IN about) (NP (DT that))))) (. .)))"
[26],"(ROOT (S (NP (PRP You)) (VP (VBP are) (NP (NP (ADJP (RB very) (, ,) (RB very) (RB much) (JJ aware) (PP (IN of)))) (SBAR (WHNP (WP what)) (S (VP (VBZ goes) (PRT (RP on))))))) (. .)))"
[27],(ROOT (INTJ (UH Absolutely) (. .)))
[28],(ROOT (S (NP (DT That)) (VP (VBZ is) (ADJP (JJ great))) (. .)))
[30],(ROOT (INTJ (UH Uh-huh) (. .)))
[32],(ROOT (INTJ (UH Uh-huh) (. .)))
[34],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
"[29, 31, 33]","(ROOT (S (ADVP (RB Actually)) (, ,) (NP (NP (DT the) (NN motivation)) (PP (IN for) (NP (NP (NNP Grandmother)) (VP (VBG entering) (NP (DT the) (NN business))))) (, ,)) (VP (VBD was) (SBAR (IN that) (S (NP (PRP$ her) (NN mother)) (VP (VP (VBD was) (ADJP (RB very) (JJ old))) (, ,) (CC and) (VP (MD could) (RB n't) (VP (VB seem) (S (VP (TO to) (VP (VB find) (NP (NNS companions))))))))))) (. .)))"
[35],(ROOT (INTJ (UH uh-huh) (. .)))
[36],(ROOT (S (NP (PRP She)) (VP (VBD was) (ADJP (JJ lonely))) (. .)))
[37],(ROOT (INTJ (UH Right) (. .)))
"[38, 40]","(ROOT (S (CC And) (NP (PRP she)) (VP (VBD needed) (NP (NN company)) (, ,) (PP (IN for) (NP (PRP$ her) (NN mother))))))"
[39],(ROOT (INTJ (UH Right) (. .)))
[41],(ROOT (S (CC and) (ADVP (RB so)) (NP (PRP she)) (VP (VP (VBD opened) (NP (DT a) (NN nursing) (NN home))) (CC and) (VP (ADVP (RB initially)) (VBD started) (PP (IN with) (NP (CD eight) (NNS ladies))))) (. .)))
[42],(ROOT (S (NP (PRP I)) (VP (MD will) (VP (VB be) (ADJP (JJ darned)))) (. .)))
[44],"(ROOT (FRAG (PP (UH Uh-huh)) (, ,)))"
[45],"(ROOT (FRAG (PP (UH uh-huh)) (, ,)))"
"[43, 47]","(ROOT (S (CC And) (ADVP (RB then)) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP it)) (, ,) (NP (PRP it)) (VP (VBD grew) (PP (IN into) (NP (NP (DT a)) (, ,) (NP (ADJP (RB very) (JJ prosperous)) (NN business)))) (PP (IN from) (NP (DT that) (NN point)))) (. .)))"
[46],(ROOT (INTJ (UH uh-huh) (. .)))
[48],"(ROOT (NP (NP (UH Uh)) (PRN (, ,) (ADVP (RB then)) (NP (PRP they)) (, ,))))"
[49],"(ROOT (S (INTJ (RB Now)) (, ,) (VP (VB see) (SBAR (S (NP (DT that)) (VP (VBZ is) (NP (DT a) (JJ nice) (NN attitude) (S (VP (TO to) (VP (VB go) (PP (IN into)))))))))) (. .)))"
[50],(ROOT (INTJ (UH Uh-huh) (. .)))
[51],"(ROOT (S (ADVP (UH Uh)) (, ,) (NP (PRP it)) (VP (VBZ seems) (SBAR (IN like) (S (NP (PRP they)) (VP (MD must) (VP (VB be) (VP (VBG waiting) (SBAR (IN until) (S (NP (PRP it)) (VP (VBZ is) (NP (DT a) (NN necessity)))))))))))))"
[52],(ROOT (INTJ (UH Uh-huh) (. .)))
[54],"(ROOT (S (INTJ (UH Well)) (, ,) (ADVP (DT that)) (VP (VBZ is) (RB not) (ADJP (RB really) (JJ true)) (, ,) (ADVP (RB either)) (, ,) (NP (UH uh))) (, ,)))"
[53],"(ROOT (S (S (CC and) (NP (EX there)) (VP (VBZ is) (NP (NP (DT no) (NN chance)) (PP (IN of) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (JJ good) (NN companionship)))))) (CC or) (S (VP (VBG doing) (NP (NN anything)))) (. .)))"
"[55, 57]","(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (DT that)) (VP (VBZ is) (NP (NP (NP (DT a) (NX (NX (NN stigma)) (CC and))) (CC an) (NP (PRP I))) (, ,) (CC and) (NP (NP (DT an) (NN impression)) (SBAR (WHNP (WDT that)) (S (VP (VBZ has) (VP (VBN come) (PP (IN from) (NP (DT some) (JJ few) (JJ bad) (NNS experiences))))))))))))) (. .)))"
[56],(ROOT (INTJ (UH Uh-huh) (. .)))
[59],"(ROOT (S (VP (UH Uh) (PRN (, ,) (INTJ (UH right)) (, ,)))))"
[58],"(ROOT (S (S (NP (PRP You)) (VP (VBP see))) (, ,) (NP (NP (DT those)) (SBAR (WHNP (WP who)) (S (VP (VBD had) (NP (JJ bad) (NNS experiences)))))) (VP (VBP talk) (PP (IN about) (NP (PRP them)))) (. .)))"
[60],(ROOT (INTJ (UH right) (. .)))
[62],(ROOT (INTJ (UH Uh-huh) (. .)))
"[61, 63]","(ROOT (S (CC And) (NP (NP (DT those)) (SBAR (WHNP (WP who)) (S (VP (VBP do))))) (ADVP (RB not)) (VP (VP (MD may) (VP (VB write) (, ,) (NP (DT a) (NN letter)) (PP (IN to) (NP (DT the) (NN nursing) (NN home))))) (CC and) (VP (VBP say) (SBAR (S (NP (PRP you)) (VP (VBD did) (ADJP (RB good))))))) (, ,)))"
