[0],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[2],"(ROOT (INTJ (UH No) (, ,)))"
[1],"(ROOT (SINV (FRAG (INTJ (UH uh))) (, ,) (VP (VBP do) (NP (PRP you))) (S (VP (VB work) (PP (IN outside) (NP (DT the) (NN home))))) (. ?)))"
[4],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[3],(ROOT (S (NP (PRP I)) (VP (VBP do) (RB not)) (. .)))
[5],(ROOT (INTJ (UH wow) (. .)))
[6],(ROOT (S (VP (VBP Do) (NP (PRP you))) (. ?)))
[7],(ROOT (S (VP (VBP Have) (NP (PRP you))) (. ?)))
[9],"(ROOT (INTJ (UH Yes) (, ,)))"
[8],(ROOT (S (VP (VBP Have) (NP (PRP I))) (. ?)))
[11],"(ROOT (S (VP (UH Uh) (PRN (, ,) (INTJ (UH no)) (, ,)))))"
[10],(ROOT (INTJ (UH uh-huh) (. .)))
[13],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[12],(ROOT (FRAG (NP (RB not)) (ADVP (RB actually)) (. .)))
[14],"(ROOT (S (S (INTJ (UH well) (, ,) (UH yes)) (NP (PRP I)) (VP (VBP do))) (. .)))"
[16],"(ROOT (S (PP (IN In) (NP (NN fact))) (, ,) (NP (PRP I)) (VP (VBP am) (PP (IN at) (NP (NN work))) (ADVP (RB right) (RB now))) (. .)))"
[17],"(ROOT (S (INTJ (UH Uh)) (, ,) (NP (CC and)) (ADVP (RB so)) (VP (VB let) (NP (PRP me)) (VP (VB take) (NP (DT the) (NN lead)) (, ,) (FRAG (INTJ (UH uh)) (, ,) (NP (NNP Angela))))) (. .)))"
[18],"(ROOT (S (INTJ (UH Uh)) (, ,) (ADVP (PRP I)) (VP (VBP think) (SBAR (WHNP (WP what)) (S (VP (VBZ is) (ADJP (RB really) (JJ important)) (, ,) (INTJ (UH uh)))))) (, ,)))"
[19],"(ROOT (S (PP (IN of) (NP (NN course))) (, ,) (NP (NN salary)) (VP (VBZ is) (ADJP (RB very) (JJ important)) (, ,) (SBAR (IN because) (S (NP (DT that)) (VP (BES 's) (SBAR (WHADVP (WRB why)) (S (S (NP (PRP you)) (VP (VBP are) (VP (VBG working) (PP (IN for) (NP (PRP$ your))) (, ,) (PP (IN for) (NP (DT the) (NN money)))))) (, ,) (CC but) (, ,) (S (NP (NP (NN job) (NN satisfaction)) (PP (IN to) (NP (PRP me)))) (VP (VBZ is) (ADVP (ADVP (RB also)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (ADJP (RB very) (JJ important) (PP (IN in) (S (VP (VBG having) (NP (DT a) (NN job)))))))))))))) (. .)))"
[20],"(ROOT (S (CC And) (, ,) (S (INTJ (UH uh)) (, ,) (NP (NP (CD one)) (PP (IN of) (NP (DT the) (NNS things))) (SBAR (WHNP (WDT that)) (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP she)) (VP (VBD asked) (S (NP (PRP us)) (VP (TO to) (VP (VB discuss)))))))) (VP (VBD was) (NP (NNS benefits)))) (. .)))"
