[0],(ROOT (INTJ (UH Hello) (. .)))
[1],(ROOT (INTJ (UH Hello) (. .)))
[2],"(ROOT (INTJ (UH Hello) (, ,)))"
[4],(ROOT (INTJ (UH Hi) (. .)))
[5],(ROOT (INTJ (UH Boy)))
[3],"(ROOT (INTJ (UH Hello) (, ,)))"
[6],(ROOT (S (NP (PRP it)) (VP (VBD took) (ADVP (RB forever)) (S (VP (TO to) (VP (VB find) (NP (NN somebody)))))) (. .)))
[8],"(ROOT (FRAG (PP (UH Good)) (, ,)))"
[9],"(ROOT (NP (S (S (INTJ (UH well)) (NP (PRP I)) (VP (VBP 'm))) (, ,) (NP (PRP$ my) (NN name)) (VP (BES 's) (S (NP (NNP Gail) (, ,)))))))"
[7],"(ROOT (S (S (INTJ (UH Oh) (, ,) (UH well)) (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ glad)))) (NP (PRP you)) (VP (VBD found) (NP (PRP me))) (. .)))"
[11],X
[13],(ROOT (INTJ (UH Yes) (. .)))
"[10, 12]","(ROOT (S (CC and) (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP we)) (VP (VBP have) (S (VP (TO to)))))) (, ,) (S (VP (VB talk) (PP (IN about) (NP (NN credit) (NNS cards)))))) (. .)))"
[15],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[14],(ROOT (S (NP (PRP$ My) (NN name)) (VP (VBZ is) (NP (NNP Carolyn))) (. .)))
[17],(ROOT (INTJ (UH Okay) (. .)))
[16],"(ROOT (S (INTJ (UH well)) (, ,) (ADVP (IN if)) (VP (VP (ADVP (PRP you)) (VBP 're) (ADJP (JJ ready))) (, ,) (NP (NP (RB then)) (FRAG (INTJ (UH uh))))) (, ,)))"
[19],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[20],(ROOT (S (NP (PRP I)) (VP (MD 'll) (VP (VB press) (NP (CD one)))) (. .)))
[21],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[22],"(ROOT (S (INTJ (UH well)) (, ,) (ADVP (PRP I)) (VP (VBP 'm) (RB not)) (, ,)))"
[23],"(ROOT (S (NP (DT this)) (VP (VBZ is) (ADVP (RB kind) (RB of)) (NP (DT an) (JJ interesting) (NN subject) (S (VP (TO to) (VP (VB come) (PRT (RP up)) (PP (IN for) (NP (PRP me))))))) (, ,) (SBAR (IN because) (S (NP (NN credit) (NNS cards)) (VP (VBP are) (NP (PRP$ my) (NN downfall)))))) (. .)))"
[24],"(ROOT (S (NP (PRP I)) (ADVP (RB just)) (VP (VBP find) (S (NP (PRP it)) (ADJP (RB so) (JJ easy) (PP (TO to)))) (, ,) (S (VP (TO to) (VP (VB charge) (NP (NN something)) (SBAR (WHADVP (WRB when)) (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB have) (NP (DT the) (NN money) (S (VP (TO to) (VP (VB pay) (PP (IN for) (NP (PRP it))))))))))))))) (, ,)))"
[25],(ROOT (S (CC and) (NP (PRP I)) (VP (VBP 'm) (ADVP (RB really)) (VP (VBG trying) (S (VP (TO to) (VP (VB get) (PRT (IN out)) (PP (IN of) (NP (DT that) (NN habit)))))))) (. .)))
[18],"(ROOT (S (NP (PRP I)) (VP (MD 'll) (ADVP (RB just)) (VP (VB let) (S (NP (PRP you)) (VP (VB start))))) (, ,)))"
[27],"(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP they)) (VP (VBP are)))) (, ,) (ADVP (RB too))) (. .)))"
[28],"(ROOT (S (CC And) (SBAR (PRN (, ,) (ADVP (RB unfortunately)) (, ,)) (S (INTJ (UH um)) (, ,) (NP (PRP we)) (VP (VBP use) (NP (PRP ours)) (PP (IN in))))) (, ,) (NP (PRP we)) (VP (VBP do) (RB n't) (VP (VB use) (NP (NP (NP (PRP them)) (NP (PDT all) (DT the) (NN time))) (, ,))))))"
