[1],"(ROOT (INTJ (UH Yes) (, ,)))"
[0],"(ROOT (S (S (INTJ (UH So)) (, ,) (NP (NP (DT the) (NN ques-)) (, ,) (NP (DT the) (NN question))) (VP (VBD had) (NP (NN something) (S (VP (TO to) (VP (VB do) (PP (IN with) (NP (NP (NN usage)) (PP (IN of) (NP (JJ personal) (NNS computers))))))))))) (, ,) (FRAG (INTJ (UH um))) (. .)))"
[3],"(ROOT (S (INTJ (UH Um)) (, ,) (NP (PRP I)) (VP (VBP 'm) (NP (NP (DT a) (JJ firm) (NN believer)) (PP (IN in))) (, ,) (PP (IN in) (S (VP (VBG having) (NP (NP (NNS lots)) (PP (IN of) (NP (PRP them)))))))) (. .)))"
[2],"(ROOT (S (S (NP (PRP we)) (VP (VBP are))) (, ,) (NP (PRP we)) (VP (VBP are) (VP (VBG talking) (PP (IN about) (NP (NNS computers))) (NP (DT this) (NN morning)))) (. .)))"
[5],"(ROOT (S (NP (PRP You)) (VP (VP (VBP have)) (PRN (, ,) (S (NP (PRP you)) (VP (VBP have) (NP (NP (CD four) (NNS machines)) (PP (IN around) (NP (PRP you)))))) (, ,)))))"
[6],"(ROOT (S (INTJ (UH boy) (, ,) (UH well)) (, ,) (NP (PRP you)) (VP (VBP 've) (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP you)) (VP (VBP 've) (VP (VBN got) (S (NP (PRP me)) (VP (VBN beat))))))) (. .)))"
[4],(ROOT (S (NP (PRP I)) (VP (VBP 'm) (VP (VBG sitting) (PP (IN at) (NP (PRP$ my) (NN desk))) (ADVP (RB now)) (PP (IN with) (NP (NP (CD four) (NNS machines)) (PP (IN in) (NP (NP (NN front)) (PP (IN of) (NP (PRP me))))))))) (. .)))
[7],"(ROOT (S (NP (PRP I)) (VP (VBP have) (NP (NP (DT a)) (, ,) (NP (NP (DT a) (NNP Zenith)) (ADVP (RB here)))))))"
[8],(ROOT (INTJ (UH Uh-huh) (. .)))
"[9, 11]","(ROOT (FRAG (CC and) (PP (IN at) (NP (NP (NN home)) (SBAR (S (NP (PRP I)) (VP (VBP have) (NP (NP (DT a) (NNP Commodore)) (CC and) (NP (DT a) (NNP Zenith)) (, ,)))))))))"
[10],(ROOT (INTJ (UH Uh-huh) (. .)))
[13],(ROOT (INTJ (JJ Good) (NN grief) (. .)))
[12],"(ROOT (S (S (CC and) (NP (PRP$ my) (NN wife)) (VP (VBZ has) (NP (NP (DT an) (NNP A) (NNP T)) (CC and) (NP (NP (NNP T) (CD Twelve)) (NP (CD Hundred)))))) (, ,) (NP (PRP I)) (VP (VBP believe) (SBAR (S (NP (PRP it)) (VP (VBZ is))))) (. .)))"
[15],"(ROOT (S (S (FRAG (INTJ (UH Well)) (, ,) (PP (NP (INTJ (UH actually))) (IN on) (NP (PRP$ my) (NNP Commodore)))) (NP (PRP I)) (VP (ADVP (RB mainly)) (VBP study) (NP (NN lottery) (NNS numbers)))) (PRN (, ,) (SINV (MD would) (NP (PRP you)) (VP (VB believe)))) (. .)))"
[14],(ROOT (SBARQ (WHNP (WP What)) (SQ (VBP do) (NP (PRP you)) (VP (VB do) (PP (IN with) (NP (PDT all) (DT those))))) (. ?)))
[17],(ROOT (INTJ (UH Uh-huh) (. .)))
[19],(ROOT (INTJ (UH Uh-huh) (. .)))
"[16, 18, 20]","(ROOT (S (NP (PRP I)) (VP (VBP have) (VP (VBN written) (NP (NP (ADJP (DT some) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NNS programs)) (PP (IN in) (NP (NNP Basic)))) (SBAR (WHADVP (WRB whereby)) (S (NP (PRP I)) (VP (MD can) (VP (VP (VB select) (NP (NP (DT any) (NN number)) (PP (IN of) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (NNS drawings))))) (CC and) (VP (ADVP (IN from) (DT that)) (VB extract) (NP (NP (DT the) (NNS numbers)) (SBAR (WHNP (WDT that)) (S (VP (VBP have) (VP (VBN appeared) (NP (DT the) (RBS most))))))))))))))))"
[21],(ROOT (INTJ (UH Right) (. .)))
"[22, 24]","(ROOT (S (NP (PRP I)) (VP (VBP have) (NP (NP (DT another) (NN program)) (SBAR (WHPP (IN in) (WHNP (WDT which))) (S (NP (PRP I)) (VP (MD can) (VP (VB look) (PP (IN at) (NP (NP (DT the) (ADJP (ADJP (JJ cyclical)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NN appearance)) (PP (IN of) (NP (DT these) (NNS numbers))))) (S (VP (TO to) (VP (VB see) (SBAR (IN if) (S (NP (EX there)) (VP (BES 's) (NP (NP (NN anything)) (SBAR (WHNP (WDT that)) (S (VP (BES 's) (ADJP (JJ consistent) (PP (IN on) (NP (DT that)))))))))))))))))))) (. .)))"
[25],"(ROOT (S (NP (PRP I)) (VP (VBP have) (NP (NP (NP (DT another) (NN number)) (SBAR (WHNP (WDT that)) (S (VP (VBZ allows) (NP (PRP me)))))) (, ,) (NP (NP (DT another) (NN program)) (SBAR (WHNP (WDT that)) (S (VP (VBZ allows) (S (NP (PRP me)) (VP (TO to) (VP (VB add) (NP (NP (PDT all) (DT the) (NNS numbers)) (SBAR (S (NP (PRP I)) (VP (VBP want)))))))))))))) (, ,)))"
[23],(ROOT (INTJ (UH Uh-huh) (. .)))
[26],(ROOT (FRAG (CC and) (NP (NP (RB then)) (SBAR (S (NP (PRP it)) (VP (VBZ generates) (NP (NP (DT a) (JJ complete) (NN set)) (PP (IN of) (NP (NNS numbers)))) (SBAR (IN so) (IN that) (S (NP (DT all) (NNS combinations)) (VP (VBP are) (VP (VBN covered)))))))))))
[27],(ROOT (INTJ (UH Uh-huh) (. .)))
[28],"(ROOT (ADJP (RB so) (SBAR (S (NP (DT this)) (VP (VBZ is) (SBAR (WHNP (WP what)) (S (NP (PRP I)) (VP (VBP do) (NP (NP (JJS most)) (PP (PP (IN of) (NP (DT the) (NN time))) (PRN (, ,) (INTJ (UH uh)) (, ,))))))))))))"
[29],"(ROOT (FRAG (NP (DT That)) (PP (BES 's) (SBAR (WHNP (WP what)) (S (NP (PRP you)) (VP (VBP do) (PP (IN on) (NP (NP (PRP$ your)) (, ,) (NP (NP (QP (IN at) (JJS least) (CD one))) (PP (IN of) (NP (PRP$ your) (NNS machines))))))))))))"
[30],(ROOT (PP (IN On) (NP (PRP$ my) (NNP Commodore))))
[32],"(ROOT (FRAG (PP (IN on) (NP (PRP$ my) (NNP Commodore))) (, ,)))"
[33],(ROOT (INTJ (UH uh-huh) (. .)))
[34],"(ROOT (FRAG (CC And) (PP (IN of) (NP (NP (NP (NN course)) (SBAR (S (NP (PRP I)) (VP (VBP have))))) (PRN (, ,) (FRAG (INTJ (UH uh)) (, ,) (NP (NN word) (NNS processors))) (, ,))))))"
[31],(ROOT (FRAG (PP (IN on) (NP (PRP$ your) (NNP Commodore))) (. .)))
[35],(ROOT (PRN (CC and) (S (NP (PRP I)) (VP (VBP write) (NP (DT all) (PRP$ my) (NNS letters))))))
[37],"(ROOT (S (NP (PRP it)) (VP (BES 's) (ADJP (JJ wonderful)) (, ,) (INTJ (UH uh))) (, ,)))"
[36],(ROOT (INTJ (UH Yeah) (. .)))
