[0],"(ROOT (S (INTJ (UH Okay)) (, ,) (NP (PRP we)) (VP (VBP 're) (VP (VBG being) (VP (VBN recorded)))) (. .)))"
[2],"(ROOT (S (INTJ (UH Uh)) (, ,) (NP (NN number) (CD one)) (, ,) (NP (PRP I)) (VP (VBP am) (NP (NP (QP (CD one) (CD hundred)) (NN percent)) (PP (IN for) (NP (NP (JJ total) (NN gun) (XX t-)) (, ,) (NP (NN control)))))) (. .)))"
[1],"(ROOT (FRAG (ADVP (RB All) (JJ right)) (, ,) (NP (NNP Ron)) (. .)))"
[3],"(ROOT (S (NP (PRP I)) (VP (, ,))))"
[5],"(ROOT (INTJ (UH Yes) (, ,)))"
[6],(ROOT (S (NP (PRP I)) (VP (VBP am) (RB not) (NP (NP (DT a) (NN member)) (PP (IN of) (NP (DT the) (NNP National) (NNP Rifle) (NNP Association)))))))
[4],(ROOT (NP (NP (JJ Total) (NN gun)) (NP (NN control)) (. .)))
"[7, 9]","(ROOT (PRN (CC and) (S (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB believe) (PP (IN in) (NP (NN hunting))))) (, ,))))"
[10],"(ROOT (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP I)) (ADVP (RB just)) (VP (VBP have) (VP (VBN had) (NP (NP (PRP$ my) (NN fill)) (PP (IN of) (SBAR (WHNP (WP what)) (S (VP (VBZ is) (VP (VBG going) (PRT (RP on)) (PP (IN with) (NP (DT the) (NN crime) (NN rate)))))))))))))"
[8],X
[12],"(ROOT (INTJ (UH Yes) (, ,)))"
[13],"(ROOT (PRN (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP agree) (SBAR (S (NP (NN something)) (VP (MD should) (VP (VB be) (VP (VBN done)))))))) (, ,)))"
[14],"(ROOT (S (CC but) (NP (PRP I)) (, ,) (NP (NP (EX there)) (PRN (, ,) (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB believe) (SBAR (S (NP (EX there)) (VP (VBZ is) (NP (NP (DT any) (NN way)) (PP (IN of) (NP (NP (JJ total) (NN control)) (PP (IN over) (NP (NNS weapons)))))))))))) (, ,)) (PP (IN because) (NP (NP (NNS crooks) (CC and) (NNS people)) (SBAR (WHNP (WP who)) (S (VP (VBP are) (VP (VBG going) (S (VP (TO to) (VP (VB perform) (NP (NP (NNS things)) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (RB not) (ADJP (JJ correct)))))))))))))))) (VP (MD will) (VP (VB have) (NP (NP (NN access)) (PP (IN to) (NP (NP (NNS weapons)) (PP (IN from) (NP (RB somewhere))))))))))"
[15],(ROOT (FRAG (CC and) (NP (NP (DT that)) (SBAR (S (VP (VBZ means) (SBAR (S (NP (PRP they)) (VP (MD 'll) (ADVP (RB always)) (VP (VB have) (NP (NP (DT an) (NN advantage)) (PP (IN over) (NP (PRP us))))))))))))))
[16],"(ROOT (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP they)) (VP (MD may) (ADVP (RB even)) (VP (VB get) (ADJP (JJR worse)) (SBAR (IN because) (S (NP (PRP they)) (VP (VBP know) (SBAR (S (NP (PRP we)) (VP (VBP have) (ADVP (NN nothing)) (S (VP (TO to) (VP (VB support) (NP (PRP myself))))))))))))) (. .)))"
