[0],"(ROOT (FRAG (INTJ (UH Well)) (, ,) (NP (NNP Sid) (, ,))))"
[2],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (IN if) (S (NP (PRP I)) (ADVP (RB really)) (VP (VBP have) (NP (NP (DT a)) (, ,) (NP (NP (DT a) (NN lot)) (PP (IN of) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (NNS requirements)))))))))) (. .)))"
[1],"(ROOT (SQ (VBP have) (NP (PRP you)) (VP (VBN established) (SBAR (WHNP (WHNP (WDT what) (NN kind)) (PP (IN of) (NP (NNS requirements)))) (S (NP (PRP you)) (VP (VBP are) (VP (VBG looking) (PP (IN for)))))) (, ,) (PP (IN for) (NP (PRP$ your) (JJ next) (NN vehicle)))) (. ?)))"
[3],"(ROOT (S (INTJ (UH Uh)) (, ,) (NP (PRP I)) (VP (VBP guess) (SBAR (S (NP (PRP I)) (VP (VBP look) (PP (IN at) (PRN (, ,) (INTJ (UH uh)) (, ,))) (S (VP (VBG getting) (NP (DT the) (JJS best) (NN deal)))))))) (. .)))"
[4],X
[6],(ROOT (INTJ (UH Okay) (. .)))
[7],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP I)) (, ,) (PRN (S (NP (PRP I)) (VP (VBP tend) (S (VP (TO to) (VP (VB be) (ADJP (RBR more) (JJ methodical)))))))) (NP (PRP I)) (VP (VBP guess)) (. .)))"
[8],"(ROOT (S (INTJ (UH Uh)) (, ,) (NP (PRP I)) (VP (VBP determine) (NP (NP (JJ first)) (PP (IN of) (NP (NP (DT all)) (SBAR (WHNP (WP what)) (S (NP (PRP I)) (VP (VBP 'm) (VP (VBG going) (S (VP (TO to) (VP (VB use) (NP (NP (DT the) (NN vehicle)) (PP (IN for) (PRN (, ,) (SBAR (IN whether) (S (NP (PRP it)) (VP (BES 's) (S (VP (VBG going) (S (VP (TO to) (VP (VB be) (ADVP (RB primarily)) (UCP (PP (IN as) (NP (DT a) (NN family) (NN mover))) (CC or) (SBAR (IN as) (FRAG (NP (NP (DT a)) (, ,) (NP (DT a) (JJ personal) (NN mover)) (. .)))))))))) (S (INTJ (UH Uh)) (, ,) (SBAR (WHADVP (WRB where)) (S (NP (PRP it)) (VP (BES 's) (VP (VBG going) (S (VP (TO to) (VP (VB be) (VP (VBN driven))))))))) (, ,) (NP (PRP you)) (VP (VBP know) (, ,) (S (NP (WDT what)) (NP (NP (NNS types)) (PP (IN of) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (NN driving))) (SBAR (S (NP (PRP I)) (VP (VBP 'm) (VP (VBG going) (S (VP (TO to) (VP (VB be) (VP (VBG doing) (PP (IN on) (NP (PRP it)))))))))))))))))) (, ,)) (NP (NP (RB primarily) (NN highway)) (CC or) (, ,) (CC or) (NP (JJ local) (NN mileage)))))))) (ADVP (RBR more) (RB often)))))))))) (. .)))"
[5],"(ROOT (S (INTJ (UH Uh)) (, ,) (NP (DT that)) (VP (BES 's) (NP (PRP$ my) (JJ main) (NNS objectives)) (FRAG (ADVP (RB normally)) (. .))) (SBAR (WHNP (WP Whoever)) (S (VP (VBZ is) (ADJP (JJ willing) (S (VP (TO to) (VP (VP (VB deal)) (CC and) (, ,) (CC and) (VP (VB give) (NP (PRP me)) (NP (DT a) (JJ good) (NN price)))))))))) (. .)))"
[9],"(ROOT (S (CC And) (, ,) (S (INTJ (UH uh)) (, ,) (PRN (S (VP (VBG hanging) (PP (IN in) (NP (NP (DT the) (NN back)) (PP (IN of) (NP (PRP$ my) (NN mind)))))))) (VP (VBZ is) (ADVP (RB always)) (NP (DT the) (NN knowledge)) (SBAR (IN that) (S (NP (PRP I)) (VP (VBP tend) (S (VP (TO to) (VP (VB drive) (NP (NP (NNS cars)) (PP (IN for) (NP (NP (QP (RB about) (CD ten)) (NNS years)) (CC and) (NP (DT a) (QP (CD hundred) (CD fifty)))))) (PP (IN to) (NP (NP (QP (CD two) (CD hundred))) (NP (CD thousand) (NNS miles)))))))))))) (. .)))"
[11],"(ROOT (S (S (INTJ (UH So)) (NP (PRP I)) (VP (VBP 'm))) (, ,) (NP (PRP I)) (VP (VBP 'm) (ADJP (RB real) (JJ picky))) (. .)))"
