[0],"(ROOT (INTJ (INTJ (UH Okay)) (, ,) (INTJ (UH um) (, ,))))"
[2],(ROOT (S (NP (PRP I)) (VP (VBD did) (PP (IN for) (NP (NNS years)))) (. .)))
[1],(ROOT (SQ (VBP do) (NP (PRP you)) (VP (VB participate) (PP (IN in) (NP (NN family) (NNS reunions)))) (. ?)))
[3],(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB have) (NP (NP (JJ enough) (NN family)) (VP (VBN left) (S (VP (TO to) (VP (VB have) (NP (PRP them))))))))) (. .)))
[4],(ROOT (INTJ (UH Uh-huh) (. .)))
[6],"(ROOT (FRAG (S (VP (VBD Did) (NP (PRP you)) (PRN (, ,) (INTJ (UH uh)) (, ,))))))"
[7],"(ROOT (FRAG (S (VP (VBD were) (NP (PRP they)) (ADVP (RB far) (RB away)) (, ,)))))"
[5],(ROOT (S (VP (ADVP (CC But))) (. .)))
[8],(ROOT (S (VP (VBD were) (NP (PRP they)) (ADVP (RB close))) (. ?)))
[9],"(ROOT (SINV (FRAG (INTJ (UH Well))) (VP (PRN (, ,) (S (NP (PRP I)) (VP (VBP come) (PP (IN from) (NP (NP (DT a) (NN family)) (SBAR (WHNP (WDT that)))))))) (VBD was) (NP (NP (RB very) (JJ large)) (PP (IN in) (NP (NNP Bell))))) (NP (NNP County))))"
[10],(ROOT (INTJ (UH Uh-huh) (. .)))
"[11, 13]","(ROOT (S (ADVP (CC and)) (PRN (, ,) (S (CC and) (NP (PRP$ my) (NN grandfather)) (VP (VBD came) (PP (IN to) (NP (NNP Bell)))))) (NP (NP (NNP County)) (PP (IN on) (NP (DT a) (VBN covered) (NN wagon)))) (ADVP (CC and)) (VP (VBD had) (NP (CD ten) (NNS children))) (, ,)))"
[12],"(ROOT (S (VP (NP (INTJ (INTJ (UH Oh)) (, ,) (INTJ (WRB how))) (NP (JJ neat)))) (. .)))"
[14],(ROOT (S (CC and) (ADVP (RB so) (RB sometimes)) (NP (PRP we)) (VP (MD would) (VP (VB have) (NP (NP (DT a) (NN reunion)) (PP (IN with) (NP (DT that) (NN group)))))) (. .)))
[15],(ROOT (INTJ (UH Uh-huh) (. .)))
