[0],"(ROOT (FRAG (PP (XX W-)) (, ,)))"
[1],(ROOT (INTJ (UH Hi) (. .)))
[3],"(ROOT (S (NP (NP (UH Well)) (, ,) (VP (VBG providing) (NP (NP (JJ universal) (NN health) (NN care) (NN insurance)) (PP (IN for) (NP (DT the) (JJ whole) (NN country)))))) (VP (VBZ is) (NP (DT a) (ADJP (RB pretty) (JJ big)) (NN task)))))"
[4],"(ROOT (S (CC and) (SBAR (WHNP (NP (PRP I)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (FRAG (ADVP (RB personally)))) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB approve) (PP (IN of) (NP (PRP it))) (PP (IN for) (NP (CD two) (NNS reasons))))) (. .)))"
[5],"(ROOT (S (NP (NN Number) (CD one)) (VP (VBZ is) (SBAR (IN that) (S (NP (PRP I)) (VP (VBP think) (SBAR (WHNP (IN that)) (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (NP (DT the) (JJ federal) (NN government)) (VP (VBZ has) (NP (NP (DT a) (NN problem)) (PP (IN with) (NP (DT the) (NN deficit)))) (ADVP (RB right) (RB now))))))))) (, ,)))"
[6],"(ROOT (S (CC and) (SBAR (IN if) (S (NP (PRP they)) (VP (VBD were) (S (VP (TO to) (VP (VB administer) (NP (DT this)))))))) (, ,) (NP (PRP they)) (VP (MD would) (PRN (, ,) (INTJ (UH uh)) (, ,)) (VP (VB get) (NP (PRP us)) (PP (ADVP (JJR more) (CC and) (JJR more)) (IN into) (NP (NP (NN debt)) (, ,) (NP (JJ further)))) (SBAR (IN than) (S (NP (PRP we)) (VP (MD can) (ADVP (RB ever)) (VP (VB get) (PRT (RB out)) (NP (PRP ourselves)))))))) (. .)))"
[7],"(ROOT (S (NP (NP (NN Number) (CD two)) (SBAR (S (NP (PRP I)) (VP (VBP think) (SBAR (IN that) (S (NP (NP (DT the) (NN quality)) (PP (IN of) (NP (NN health) (NN care)))) (VP (MD would) (VP (VB go) (ADVP (RB down)) (SBAR (IN because) (S (NP (DT the) (NN competition)) (VP (MD would)))))))))))) (, ,) (VP (MD would) (VP (VB be) (VP (VBN dried) (PRT (RP up)))))))"
[8],"(ROOT (S (CC and) (NP (RB really) (DT no) (PRP one)) (VP (MD would) (VP (VB be) (, ,) (SBAR (S (VP (MD would) (ADVP (RB only)) (VP (VB answer) (PP (IN to) (NP (PRN (, ,) (PP (IN to) (NP (NP (DT the) (NN government)) (PP (IN to) (NP (DT a) (JJ big) (XX bur-))))) (, ,)) (JJ bureaucratic) (NN mess))))))))) (. .)))"
[9],"(ROOT (SINV (S (CC And) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP I)) (VP (VBP 've) (VP (VBN seen) (S (NP (WP what)) (NP (PRP it)))))) (VP (VBZ has) (VP (VBN done) (PP (IN in)))) (NP (JJ other) (NNS countries))))"
[10],"(ROOT (S (CC and) (SBAR (RB so) (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB think))))) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB think) (SBAR (S (NP (PRP we)) (VP (MD should) (VP (VB head) (PP (IN in) (NP (DT that) (NN direction))))))))) (. .)))"
[11],(ROOT (SBAR (IN Although) (S (NP (DT that) (PRP we)) (VP (VBP have) (NP (NP (NNS problems)) (ADVP (RB right) (RB now)))))))
[12],(ROOT (PRN (CC and) (S (NP (PRP I)) (VP (VBP do) (VP (VB agree) (SBAR (IN that) (S (NP (PRP they)) (VP (VBP exist)))))))))
[13],"(ROOT (SBAR (IN because) (S (NP (NP (NN health) (NN care) (NN insurance)) (PP (PP (IN for)) (, ,) (PP (IN for) (NP (NN everyone))))) (VP (VBZ is) (VP (VBG skyrocketing))))))"
[2],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (WP what)) (VP (VBP do) (S (NP (PRP you)) (VP (VB think)))) (. ?)))"
[14],(ROOT (S (CC and) (NP (PRP it)) (VP (HVS 's) (VP (VBN become) (PP (IN to) (NP (NP (DT a) (NN point)) (SBAR (WHADVP (WRB where)) (S (NP (RB basically) (DT no) (NN one)) (VP (MD can) (VP (VB afford) (NP (PRP it)) (ADVP (RB anymore)))))))))) (. .)))
[15],(ROOT (INTJ (UH Uh-huh) (. .)))
[17],"(ROOT (S (INTJ (UH Well)) (, ,) (ADVP (PRP I)) (VP (VBP agree) (SBAR (IN that) (S (NP (PRP it)) (VP (BES 's) (NP (DT a) (JJ big) (NN task)))))) (, ,)))"
[16],(ROOT (SBARQ (WHADVP (WRB How)) (SQ (VBP do) (NP (PRP you)) (VP (VB feel) (PP (IN about) (NP (DT the) (JJ whole) (NN ordeal))))) (. ?)))
[18],"(ROOT (S (CC but) (NP (PRP I)) (VP (VBP think) (SBAR (IN that) (, ,) (S (NP (PRP I)) (VP (VBP think) (SBAR (IN that) (S (NP (DT the) (NNP U) (NNP S)) (VP (MD should) (VP (VB move) (PP (IN toward) (NP (NP (DT some) (NN kind)) (PP (IN of) (NP (JJ national) (NN health) (NN care) (NN plan)))))))) (. .)) (ADVP (ADVP (IN At) (JJS least)) (PP (IN as) (NP (NP (DT a) (JJ long) (NN term) (NN kind)) (PP (IN of) (NP (NN goal)))))))))) (. .)))"
[20],"(ROOT (FRAG (CC And) (ADVP (RB possibly)) (, ,) (VP (XX y-) (PRN (, ,) (ADVP (RB just) (S (VP (VBG starting) (PP (IN with) (NP (NP (NP (JJR more) (NN regulation)) (PP (IN of) (NP (NN health) (NN insurance)))) (CC and) (NP (NP (DT that) (NN sort)) (PP (IN of) (NP (NN thing))))))))) (, ,)))))"
[21],"(ROOT (S (CC but) (NP (PRP I)) (VP (VBP think) (SBAR (IN that) (S (ADVP (RB ultimately)) (NP (PRP it)) (VP (MD would) (VP (VB be) (NP (NP (DT a) (JJ good) (NN idea)) (PP (PP (TO to)) (PRN (, ,) (INTJ (UH uh)) (, ,)))))))))))"
[19],(ROOT (INTJ (UH Uh-huh) (. .)))
[23],X
