[0],"(ROOT (SINV (FRAG (INTJ (UH Um))) (, ,) (VP (VBP are)) (NP (PRP you)) (PP (IN from) (NP (DT this) (NN area))) (. ?)))"
[2],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[3],"(ROOT (S (NP (PRP I)) (VP (VBP 'm) (PP (IN in) (NP (NNP Garland)))) (, ,)))"
[1],(ROOT (S (NP (PRP I)) (VP (VBP 'm) (PP (IN from) (NP (NNP Dallas)))) (. .)))
[4],(ROOT (FRAG (ADVP (RB so)) (. .)))
[6],"(ROOT (S (INTJ (UH Well)) (, ,) (ADVP (PRP I)) (VP (VBP 'm) (PP (IN in) (NP (NNP Dallas))) (ADVP (RB right) (RB now))) (, ,)))"
[5],(ROOT (INTJ (UH Okay) (. .)))
[7],(ROOT (S (CC but) (NP (PRP I)) (VP (VBP live) (PP (IN in) (NP (NNP Garland)))) (. .)))
[9],"(ROOT (S (INTJ (UH Um) (, ,) (UH well)) (, ,) (ADVP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP know)))))) (, ,)))"
[10],"(ROOT (S (CC but) (NP (NNP Garland)) (VP (VBZ has) (VP (VBN got) (NP (DT a) (ADJP (RB real) (JJ big)) (NN recycling) (NN center)) (SBAR (WHNP (WDT that)) (PRN (, ,) (PP (IN in) (NP (NN fact))) (, ,)) (S (NP (PRP we)) (VP (VBD went) (PP (IN to) (NP (PRP it))) (NP (RB yesterday))))))) (. .)))"
[11],(ROOT (S (NP (PRP You)) (VP (VBP drive) (PRT (RP up)))))
[12],"(ROOT (PRN (CC and) (S (NP (PRP you)) (VP (VBP take) (ADVP (NP (DT the) (NN stuff)) (IN out)) (PP (IN of) (NP (PRP$ your) (NN trunk)))) (, ,))))"
[8],(ROOT (INTJ (UH Uh-huh) (. .)))
"[13, 15]","(ROOT (PRN (CC and) (S (NP (PRP they)) (VP (VBP have) (NP (NP (JJ different) (NNS bins)) (PP (IN for) (NP (DT the) (JJ different) (NNS materials)))) (, ,) (PP (IN like) (NP (NP (JJ clear) (, ,) (NN glass) (CC and) (JJ colored) (NN glass)) (CC and) (NP (NNS plastics))))))))"
