[0],"(ROOT (S (INTJ (UH Uh)) (, ,) (VP (VB go) (ADVP (RB ahead))) (, ,)))"
[1],(ROOT (S (VP (VB tell) (NP (PRP me)) (SBAR (WHNP (WP what)) (S (NP (PRP you)) (VP (VBP think))))) (. .)))
[3],"(ROOT (S (S (INTJ (UH Hey)) (, ,) (VP (VB listen) (, ,) (SBAR (IN if) (S (NP (PRP I)) (VP (VBD had) (NP (PRP$ my) (NN way))))))) (, ,) (NP (PRP I)) (VP (MD would) (RB n't) (VP (VB pay) (NP (PRP$ my) (NNS taxes)))) (. .)))"
[2],(ROOT (S (VP (VBP Do) (SBAR (S (NP (PRP we)) (VP (VBP get) (NP (NP (PRP$ our) (NN money) (POS 's)) (NN worth)))))) (. ?)))
[5],"(ROOT (INTJ (UH Yeah) (, ,)))"
[4],"(ROOT (FRAG (ADVP (RB Not) (PP (IN with) (NP (DT the)))) (, ,) (PP (RB not) (IN with) (NP (NP (DT some)) (PP (IN of) (NP (NP (DT the) (NNS things)) (SBAR (WHNP (WDT that)) (S (NP (PRP I)) (VP (VBP hear) (SBAR (IN that) (S (NP (PRP$ our) (NN tax) (NN money)) (VP (VBZ is) (VP (VBG going) (PP (IN for) (NP (DT some) (JJ ludicrous) (NNS things)))))))))))))) (. .)))"
[7],"(ROOT (INTJ (UH No) (, ,)))"
[8],(ROOT (S (NP (PRP I)) (VP (VBD did) (RB not)) (. .)))
[6],(ROOT (S (VP (VBD did) (SBAR (S (NP (PRP you)) (VP (VBP see) (NP (CD SIXTY) (NNS MINUTES)) (NP (JJ last) (NN night)))))) (. ?)))
[10],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP they)) (VP (VBD did) (NP (DT a) (NN thing)) (PP (IN on) (NP (NP (DT the) (QP (CD thirty-five) (CD billion)) (NNS dollars)) (SBAR (S (NP (PRP we)) (VP (VBP waste) (NP (DT every) (NN year)) (ADVP (RB just)) (PP (IN on) (NP (NP (NN storing) (NN stuff)) (PP (IN for) (NP (NP (DT the) (NN military)) (SBAR (S (NP (PRP we)) (VP (VBP do) (RB n't) (VP (VB need))))))))))))))) (. .)))"
[9],"(ROOT (S (NP (PRP I)) (VP (, ,))))"
[12],"(ROOT (S (INTJ (UH Well)) (, ,) (ADVP (WRB how)) (VP (VP (VBZ does) (NP (DT this)) (VP (VB grab) (FRAG (NP (PRP you)) (. ?)))) (SBAR (WHADVP (WRB How)) (S (VP (VBD did) (S (NP (DT this)) (VP (VB grab) (NP (PRP you)))))))) (. ?)))"
[13],"(ROOT (FRAG (NP (NP (UH Uh)) (, ,) (NP (DT this)) (, ,))))"
[14],"(ROOT (NP (S (NP (PRP I)) (, ,) (NP (PRP I)) (VP (VBP mean) (, ,) (SBAR (S (NP (PRP I)) (VP (VBP 'm) (PRN (, ,) (S (NP (PRP I)) (VP (VBP 'm) (NP (DT a) (NN lady)))) (, ,)))))))))"
[15],"(ROOT (SINV (PP (CC but) (NP (NP (DT this)) (, ,) (NP (PRP I)))) (VP (VBD heard)) (NP (NP (DT this)) (PP (IN on) (NP (DT a) (JJ Christian) (NN program))))))"
[16],"(ROOT (PRN (CC and) (S (NP (PRP it)) (VP (VBD was) (, ,) (INTJ (UH uh)) (, ,) (PP (IN about) (NP (DT the) (NNP N) (NNP E) (NNP A)))))))"
