[1],"(ROOT (S (VP (UH Uh) (PRN (, ,) (INTJ (UH yeah)) (, ,)))))"
[0],(ROOT (FRAG (NP (PRP$ our) (NN topic) (NN today)) (. ?)))
[3],"(ROOT (FRAG (PP (UH Right)) (, ,)))"
[4],"(ROOT (S (CC and) (SBAR (RB now) (S (NP (PRP I)) (VP (VBP 'm) (ADVP (RB sort) (RB of))))) (, ,) (VP (VBP do) (RB n't) (VP (VB know) (PP (IN if) (NP (DT this) (NP (DT an) (NN advantage)) (CC or) (NP (NN disadvantage)))))) (. .)))"
[5],(ROOT (NP (NP (PRP$ My) (NN wife)) (BES 's) (NP (DT a) (NN school) (NN teacher))))
[2],(ROOT (NP (NP (NN something)) (PP (IN about) (NP (DT the) (NN school) (NN system))) (ADVP (RB here)) (. .)))
[6],"(ROOT (NP (RB so) (, ,)))"
[8],(ROOT (INTJ (UH No) (. .)))
[7],"(ROOT (S (INTJ (UH Well)) (, ,) (ADVP (RB then)) (, ,) (NP (PRP I)) (VP (MD 'll)) (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP I)) (VP (MD 'll) (VP (VB walk) (ADVP (RB softly))))) (. .)))"
"[9, 11]","(ROOT (S (NP (PRP You)) (VP (VBP go) (ADVP (ADVP (RB right) (RB ahead)) (SBAR (IN because) (S (NP (PRP I)) (, ,) (VP (VBP have) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NP (JJ strong) (NNS opinions)) (PP (IN on) (NP (PRP it)))))) (, ,) (ADVP (RB too))))))) (. .)))"
[12],"(ROOT (S (NP (PRP$ My) (NN wife)) (VP (VBZ teaches) (NP (JJ seventh) (NN grade))) (, ,)))"
[13],"(ROOT (S (CC and) (PRN (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,)) (NP (EX there)) (VP (VBZ is) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NP (JJ serious) (NNS things)) (ADJP (JJ wrong) (PP (IN with) (NP (NP (DT the) (NN school) (NN system) (NN today)) (CC and) (NP (DT the) (NN teaching) (NN system))))))))) (. .)))"
[14],"(ROOT (S (NP (PRP I)) (VP (VBP think) (NP (DT the))) (, ,)))"
[10],X
[15],"(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB think) (SBAR (S (NP (DT the) (NNS teachers)) (VP (VBP get) (NP (JJ enough) (NN support)) (, ,) (ADVP (RB quite)) (ADVP (RB honestly))))))) (. .)))"
[17],"(ROOT (S (CC But) (, ,) (INTJ (UH uh)) (, ,) (PP (IN for) (NP (NP (NN example)) (, ,) (NP (PRP$ my) (NN wife)))) (, ,) (NP (PRP she)) (VP (VBZ has) (NP (NP (NNS kids)) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (PP (RP on) (NP (NNS drugs))))) (, ,))))))"
[16],(ROOT (INTJ (UH Yeah) (. .)))
[18],"(ROOT (S (CC and) (, ,) (PP (IN of) (NP (NN course))) (, ,) (PP (IN like) (NP (NN everyone))) (, ,) (NP (PRP she)) (VP (VBZ has) (NP (NP (NNS kids)) (SBAR (WHNP (WDT that)) (S (VP (VBP get) (ADJP (JJ pregnant) (RB even)) (, ,) (SBAR (RB even) (FRAG (PP (IN in) (NP (DT the) (JJ seventh) (NN grade)))))))))) (. .)))"
[19],(ROOT (SBARQ (WHNP (WDT What) (NN school) (NN system)) (SQ (VBZ does) (NP (PRP she)) (VP (VBP teach) (PP (IN in)))) (. ?)))
[20],(ROOT (NP (NNP Plano) (NNP School) (NNP System) (. .)))
[22],"(ROOT (X (CC But) (S (VP (TO to) (VP (VB give) (NP (PRP you)) (NP (NP (DT an) (NN example)) (PRN (, ,) (S (S (INTJ (UH uh)) (, ,) (S (NP (PRP you)) (VP (VBP know))) (, ,) (S (NP (NP (CD one)) (PP (IN of) (NP (PRP$ her) (NNS kids)))) (VP (MD will) (VP (VB come) (ADVP (RB in)))))) (CC and) (S (NP (PRP he)) (ADVP (BES 's)) (, ,) (NP (PRP you)) (VP (MD could) (VP (VB tell) (SBAR (S (NP (PRP he)) (VP (VBD was) (ADVP (RB just)) (VP (VBN bombed) (PRT (RP out)) (PP (IN on) (NP (NNS drugs))))))))))) (, ,))))))))"
[23],"(ROOT (S (CC and) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP she)) (VP (VBZ sends) (NP (PRP him)) (PP (IN to) (NP (NP (DT the) (NN principal) (POS 's)) (NN office)))) (, ,)))"
[24],"(ROOT (S (S (CC and) (NP (DT the) (NN principal)) (VP (VP (VBZ sends) (NP (PRP him)) (ADVP (RB right) (RB back))) (, ,) (CC or) (VP (NP (PRP$ her)) (ADVP (RB right) (RB back))))) (, ,) (CC and) (S (S (VP (VBZ says) (PRN (, ,) (INTJ (UH Hey)) (, ,)) (NP (PRP$ your) (NN problem)))) (, ,) (NP (PRP you)) (VP (VBP take) (NP (NP (NN care)) (PP (IN of) (NP (PRP it)))))) (. .)))"
[25],(ROOT (S (NP (PRP You)) (VP (VBP 're) (RB not) (VP (VBN allowed) (S (VP (TO to) (VP (VB send) (NP (PRP them)) (ADVP (RB home))))))) (. .)))
[26],"(ROOT (S (NP (PRP You)) (VP (VP (VBP know)) (, ,) (SBAR (SBAR (IN if) (S (S (NP (PRP you)) (VP (VBP do) (NP (DT that)))) (, ,) (RB then) (S (NP (PRP$ your) (NN allocation)) (VP (BES 's) (VP (VB cut) (PP (IN from) (NP (NP (DT the) (NN state)) (CC or) (NP (DT the) (NNS feds))))))))) (CC or) (SBAR (WHADVP (WDT whatever))))) (, ,)))"
[27],"(ROOT (FRAG (NP (NP (PRP$ your)) (, ,) (NP (PRP$ your)) (, ,))))"
