[0],"(ROOT (FRAG (INTJ (UH Okay)) (, ,) (NP (NNP Lee)) (. .)))"
[2],"(ROOT (S (S (INTJ (UH Well)) (, ,) (NP (PRP I)) (VP (VBP think) (NP (PRP it)))) (BES 's) (S (NP (JJ inevitable)) (SBAR (IN that) (S (NP (PRP we)) (VP (VBP are) (VP (VBG going) (S (VP (TO to) (VP (VB see) (NP (JJ national) (NN health) (NN care))))))))))))"
[3],"(ROOT (PRN (CC and) (S (NP (DT the) (NN reason)) (VP (VBZ is) (SBAR (IN because) (S (NP (DT the) (NN market) (NN place)) (VP (VBZ does) (RB n't) (VP (VP (VB seem) (S (VP (TO to) (VP (VP (VB have) (VP (VBN performed) (ADVP (RB adequately)))) (, ,) (FRAG (INTJ (UH uh)) (, ,) (NP (DT the) (JJ invisible) (NN hand)))))) (SBAR (IN that) (S (UCP (SBAR (WHNP (WDT which)) (S (NP (NNP Adam) (NNP Smith)) (VP (VBD wrote) (SBAR (S (VP (VBZ has) (PRN (, ,) (INTJ (UH uh)) (, ,)))))))) (PP (VBN provided) (NP (NP (DT some) (ADJP (RB very) (JJ good)) (NN health)) (ADJP (ADJP (NN care)) (CC and) (PRN (, ,) (INTJ (UH uh)) (, ,)) (ADJP (JJ much)))))) (, ,) (NP (PRP I)) (VP (VBP think) (NP (JJ inadequate) (NN health) (NN care)))) (. .))) (NP (UH Uh))))))) (, ,))))"
[4],"(ROOT (S (CC and) (PP (IN in) (NP (DT some) (NNS cases))) (, ,) (NP (NP (DT the) (NN absence)) (PP (IN of) (NP (NN health) (NN care)))) (VP (VBZ has) (VP (VBN resulted) (PP (IN from) (NP (NN market) (NN place) (NNS forces)))))))"
[5],"(ROOT (S (CC and) (NP (PRP I)) (VP (VBP think) (, ,) (S (INTJ (UH uh)) (, ,) (NP (PRP it)) (VP (BES 's) (ADJP (JJ inevitable))))) (. .)))"
[6],"(ROOT (S (NP (PRP It)) (VP (VBZ is) (ADVP (RB just)) (NP (NP (DT a) (NN matter)) (PP (IN of) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (NN time) (CC and) (NNS mistakes)))))))"
[1],"(ROOT (S (VP (VB Tell) (NP (PRP me)) (PP (IN about) (NP (NP (PRP$ your) (NNS ideas)) (PP (IN on) (NP (ADJP (DT this) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NP (NP (DT the) (NNP U) (NNP S) (NN government)) (UCP (S (VP (VBG supporting) (NP (NN health) (NN insurance)))) (CC and) (ADVP (RB so) (RB forth))))))))) (. .)))"
[7],(ROOT (S (CC and) (NP (PRP they)) (VP (VBP 're) (DT both) (ADJP (JJ inevitable))) (. .)))
[9],"(ROOT (S (NP (NP (FRAG (INTJ (UH Well)) (, ,) (NP (PRP it)))) (PP (BES 's) (S (VP (VBG going) (S (VP (TO to) (VP (VB make) (S (NP (PRP it)) (ADJP (JJ tough) (PP (IN for) (NP (PRP them))))))))))))))"
[10],(ROOT (S (CC and) (NP (PRP it)) (VP (BES 's) (VP (VBG going) (S (VP (TO to) (VP (VB be) (NP (DT a) (JJ difficult) (NN transition))))))) (. .)))
[11],"(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (, ,) (INTJ (UH uh)) (, ,) (SBAR (WHADVP (WRB how)) (S (NP (PRP it)) (VP (BES 's) (S (VP (VBG going) (PP (TO to)))) (, ,) (S (INTJ (UH uh)) (, ,) (VP (VB play) (PRT (RP out)) (PP (IN in) (NP (NP (NNS terms)) (PP (IN of) (NP (DT the) (NNS particulars)))))))))))) (, ,)))"
