[0],(ROOT (S (VP (NP (INTJ (UH Alright)) (NP (NNP Allen)))) (. .)))
[1],"(ROOT (S (S (INTJ (UH Uh)) (, ,) (NP (DT the) (NNS questions)) (VP (VBZ is) (VP (VBG concerning) (NP (DT the) (NNS changes)) (PP (IN in) (NP (NP (DT the) (NNS roles)) (PP (IN of) (NP (NP (JJ American) (NNS women)) (PP (IN in) (NP (DT the) (JJ past) (JJ several) (NNS generations)))))))))) (CC and) (S (NP (PRP you)) (VP (VBP know) (, ,) (PP (IN in) (NP (PRP$ their))) (, ,) (NP (NP (DT the) (NN society)) (SBAR (S (NP (PRP we)) (VP (VBP live) (PP (IN in)))))))) (. .)))"
[3],"(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (NP (CD one)) (PP (IN of) (NP (DT the) (JJ major) (NNS changes)))) (VP (VBZ is) (NP (NP (DT the) (JJ whole) (NN attitude)) (PP (IN towards) (NP (NP (NP (NNS women)) (PP (IN in) (NP (DT the) (NN work) (NN place)))) (CC and) (NP (NP (DT the) (NN role)) (PP (IN of) (NP (NP (NNS women)) (PP (IN in) (S (VP (VBG doing) (NP (NP (NNS jobs)) (ADVP (IN outside)) (PP (IN of) (NP (DT the) (NN home))))))))))))))))) (. .)))"
[2],(ROOT (SBARQ (WHNP (WP What)) (SQ (VBP do) (NP (PRP you)) (VP (VB think) (SBAR (S (VP (VBZ has) (VP (VBN occurred) (ADVP (RB there)))))))) (. ?)))
[5],(ROOT (INTJ (UH Uh-huh) (. .)))
[6],"(ROOT (S (CC But) (S (VP (VBP are))) (, ,) (VP (VBP are) (NP (NP (PRP they)) (VP (VBG being) (VP (VP (VBN given) (NP (DT the) (JJ full) (NN honor)) (PP (IN for) (NP (NP (DT the) (NN work)) (SBAR (S (NP (PRP they)) (VP (VBP are) (VP (VBG doing)))))))) (CC and) (VP (PP (IN for) (FRAG (SBAR (WHNP (NP (DT the)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (FRAG (INTJ (UH oh)))))) (SBAR (SBAR (S (INTJ (UH my) (UH gosh)) (, ,) (NP (PRP I)) (VP (MD ca) (RB n't) (VP (VB think) (PP (IN of) (NP (DT the) (NN word))))))) (, ,) (CC but) (SBAR (IN for) (S (NP (DT the)) (, ,) (X (WP what)) (NP (PRP they)) (VP (VBP have) (S (VP (TO to) (VP (VB accept) (SBAR (WHNP (WDT that)) (S (VP (BES 's) (SBAR (S (NP (PRP they)) (VP (VBP are) (ADJP (JJ responsible) (PP (IN for))))))))))))))))))))) (. .)))"
[4],(ROOT (S (NP (DT That)) (VP (BES 's) (ADVP (RB probably)) (NP (NP (CD one)) (PP (IN of) (NP (NP (DT the) (JJ major) (NNS changes)) (SBAR (S (NP (PRP I)) (VP (VBP see) (PP (IN over) (NP (NP (DT the) (JJ last) (NN period)) (PP (IN of) (NP (NN time)))))))))))) (. .)))
[8],"(ROOT (S (INTJ (UH Oh)) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB think) (ADVP (RB so)))) (. .)))"
[7],"(ROOT (S (INTJ (UH Uh)) (, ,) (NP (NNS responsibilities)) (VP (VBZ is) (SBAR (WHNP (WP what)) (S (NP (PRP I)) (VP (VBP am) (VP (VBG trying) (S (VP (TO to) (VP (VB say))))))))) (. .)))"
[9],(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP it)) (VP (VBZ has) (VP (VBN come) (NP (DT a) (JJ long) (NNS ways)) (PP (IN in) (NP (NP (NNS terms)) (PP (IN of) (S (VP (VBG giving) (NP (PRP them)) (NP (JJ equal) (NNS opportunities))))))))))))))
[11],(ROOT (S (CC but) (NP (PRP I)) (ADVP (RB still)) (VP (VBP think) (SBAR (S (PP (IN in) (NP (NP (NNS lots)) (PP (IN of) (NP (NN job) (NNS markets))))) (NP (PRP they)) (VP (VBP are) (RB not) (VP (VBN treated) (PP (IN as) (NP (NNS equals)))))))) (. .)))
