[0],(ROOT (S (NP (DT That)) (VP (BES 's) (NP (PRP it))) (. .)))
[2],"(ROOT (SBARQ (WHNP (WP What)) (SQ (VBP do) (NP (PRP you)) (VP (VB think) (S (S (VP (VBP are) (NP (NP (JJ possible) (NNS changes)) (PP (IN in) (NP (DT the)))))) (, ,) (INTJ (UH uh)) (, ,) (NP (NN way) (NNS trials)) (VP (VBP are) (VP (VBN conducted) (NP (DT these) (NNS days))))))) (. ?)))"
[1],(ROOT (INTJ (UH Yes) (. .)))
[3],"(ROOT (SQ (VBP Do) (NP (PRP you)) (VP (VB like) (S (S (NP (DT the) (NN way)) (NP (NP (DT some) (NNS people)) (PP (IN in) (NP (NP (NP (RB there)) (PP (IN for) (NP (NN instance)))) (, ,) (ADVP (RB really))))) (VP (VBP take) (PP (IN over)))) (CC and) (, ,) (INTJ (UH uh)) (, ,) (S (NP (PRP we)) (VP (VBP have) (NP (DT no) (NN way)) (, ,) (INTJ (UH uh)) (, ,) (PP (IN of) (S (VP (VBG knowing) (SBAR (IN whether) (S (NP (PRP they)) (VP (VBP are) (ADVP (RB legitimately)) (ADJP (ADJP (JJ right)) (CC or) (ADJP (JJ wrong)) (CC and) (ADVP (RB so) (RB forth))))))))))))) (. .)))"
[4],(ROOT (INTJ (UH Yeah) (. .)))
[6],"(ROOT (S (INTJ (UH Well)) (, ,) (ADVP (IN as)) (VP (ADVP (PRP I)) (VBP look) (PP (IN at) (NP (PRP$ our) (NN trial) (NNS systems)))) (, ,)))"
[7],(ROOT (FRAG (NP (NP (PRP I)) (SBAR (S (VP (VBP think) (SBAR (S (NP (PRP they)) (VP (VBP 've) (VP (VBN gotten) (S (VP (TO to) (VP (VB be) (NP (PDT quite) (DT a) (NN joke)))))))))))) (. .)) (X (NP (DT The) (NN way)) (SBAR (X (DT the)) (S (NP (NNS people)) (VP (MD can) (VP (VB appeal) (CC and) (VB file) (PP (IN for) (NP (NNS mistrials))))))))))
[8],(ROOT (S (CC and) (NP (PRP they)) (VP (VBP 've) (VP (VBN taken) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NP (DT the) (NNS things)) (SBAR (WHNP (WDT that)) (S (VP (VBD were) (VP (VP (VBN set) (PRT (RP up)) (S (VP (TO to) (VP (VB make) (SBAR (S (NP (PRP it)) (VP (VBP be) (NP (DT a) (JJ fair) (NN system))))))))) (CC and) (VP (VBN used) (NP (PRP it)) (PP (IN to) (NP (PRP$ their) (NN advantage))))))))))))) (. .)))
[9],"(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (IN that) (S (NP (DT a) (NN jury)) (VP (MD should) (VP (VB listen) (PP (PP (IN to) (NP (NP (NP (DT the) (NNS courts)) (PRN (, ,) (FRAG (INTJ (UH uh)) (, ,) (PP (IN to))) (, ,))) (PP (IN to) (NP (DT the) (NNS hearings))))) (CC and) (PP (IN to) (NP (NN everything))))))))) (, ,)))"
[10],(ROOT (S (CC but) (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP they)) (VP (MD should) (ADVP (RB only)) (VP (VB weigh) (NP (NP (CD fifty) (NN percent)) (PP (IN of) (NP (DT the) (NN decision))))))))) (. .)))
[11],"(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (DT the) (NN judge)) (VP (MD should) (VP (VB hold) (NP (DT the) (PRN (, ,) (FRAG (CC or) (RB maybe) (NP (RB even) (CD forty-nine))) (, ,))))))))))"
[5],(ROOT (SBARQ (WHNP (WP What)) (SQ (VBP do) (NP (PRP you)) (VP (VB think) (PP (IN about) (NP (DT these) (NNS things))))) (. ?)))
[12],(ROOT (S (CC and) (NP (DT the) (NN judge)) (VP (MD should) (VP (VB be) (ADJP (JJ able) (S (VP (TO to) (VP (VB rule) (NP (NP (CD one) (NN way)) (CC or) (NP (DT the) (NN other))))))))) (. .)))
[13],"(ROOT (S (S (INTJ (XX Y-) (, ,) (UH so)) (NP (PRP you)) (VP (VBP 're) (VP (VBG saying) (NP (PRP yo-))))) (, ,) (NP (PRP you)) (VP (VBP think) (SBAR (S (NP (DT the) (NN judge)) (VP (MD should) (ADVP (RB actually)) (VP (VB have) (NP (DT the) (JJ final) (NN say))))))) (. ?)))"
[14],(ROOT (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP he)) (VP (MD should))))) (. .)))
[16],(ROOT (S (CC And) (NP (PRP I)) (VP (VBP think) (SBAR (IN that) (S (NP (EX there)) (VP (MD should) (VP (VB be) (NP (QP (JJR more) (IN than) (CD one)) (NN judge))))))) (. .)))
[15],X
