[0],(ROOT (S (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ ready))) (. .)))
[2],"(ROOT (FRAG (PP (UH Okay)) (, ,)))"
[3],"(ROOT (S (INTJ (UH well)) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB have) (NP (NP (DT an) (JJ elderly) (NN person)) (SBAR (WHNP (WDT that)) (S (NP (PRP I)) (VP (MD could) (VP (VB send) (PP (IN to) (NP (NP (DT a)) (, ,) (NP (DT a) (NN nursing) (NN home)) (CC or) (NP (NN anything))))))))))) (. .)))"
[4],"(ROOT (S (NP (PRP$ My)) (, ,) (ADVP (DT both) (PP (IN of) (NP (PRP$ my) (NNS parents)))) (VP (VBP are) (ADJP (JJ dead))) (, ,)))"
[5],"(ROOT (S (CC but) (NP (PRP I)) (VP (VBD did) (VP (VP (VB have) (NP (NP (DT a) (NN friend)) (SBAR (WHNP (WDT that)) (S (VP (VBD was) (PP (IN in) (NP (DT a) (NN convalescent) (NN home)))))))) (, ,) (FRAG (INTJ (UH uh)) (, ,) (PP (IN like) (NP (DT a) (NN nursing) (NN home))))))))"
[6],"(ROOT (S (CC and) (NP (PRP I)) (VP (XX h-) (, ,) (SBAR (S (VP (VP (VBD went) (ADVP (RB there) (RB very) (RB often)) (S (VP (TO to) (VP (VB visit) (NP (PRP$ her)))))) (CC and) (PRN (, ,) (INTJ (UH uh)) (, ,)) (VP (VBD made) (S (NP (PRP me)) (VP (VB feel) (ADJP (RB really) (JJ sad))))))))) (. .)))"
[1],(ROOT (SBARQ (WHADVP (WRB Why)) (SQ (VBP do) (RB n't) (NP (PRP you)) (VP (VP (VB go) (ADVP (RB ahead))) (CC and) (VP (VB start) (PRT (RP off))))) (. .)))
[7],"(ROOT (S (SBAR (IN If) (S (NP (PRP I)) (VP (VBD did) (VP (VB have) (NP (NP (DT a) (NN mother)) (VP (VBG living))))))) (, ,) (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB think) (SBAR (S (NP (PRP I)) (VP (MD could) (VP (VB do) (NP (DT that)))))))) (. .)))"
[8],X
[9],"(ROOT (S (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (PRP they)) (VP (MD would) (VP (VB be) (ADJP (JJR better) (RP off) (S (VP (VBG being) (PP (IN at) (NP (NN home))) (PP (IN with) (NP (PRP$ their) (NN family)))))))))))) (, ,) (NP (PRP you)) (VP (VBP know)) (. .)))"
[10],"(ROOT (S (NP (PRP I)) (VP (VP (VBP agree)) (, ,) (SBAR (IN although) (, ,) (S (NP (PRP we)) (VP (VBP 're) (PP (IN in) (NP (DT that) (NN situation))) (ADVP (RB right) (RB now)))))) (. .)))"
[11],(ROOT (INTJ (UH Uh-huh) (. .)))
[12],"(ROOT (S (NP (PRP We)) (VP (VBP have) (S (NP (NP (DT a)) (, ,) (NP (NP (DT an) (ADJP (QP (CD eighty) (CD seven))) (NN year)) (ADJP (JJ old) (GW mother) (GW in))) (^NN law)) (VP (VBG living) (PP (IN with) (NP (PRP me))) (ADVP (RB right) (RB now)))))))"
[14],(ROOT (S (CC and) (PP (IN because) (PP (IN of) (NP (PRP$ her) (NNS circumstances)))) (NP (PRP she)) (VP (MD can) (ADVP (RB no) (RB longer)) (VP (VB live) (ADVP (RB independently)))) (. .)))
[13],(ROOT (INTJ (UH Uh-huh) (. .)))
"[15, 17]",(ROOT (FRAG (CC And) (S (VP (ADVP (RB even)) (VBG moving) (SBAR (IN from) (S (NP (NP (PRP$ her) (NN house)) (PP (IN to) (NP (PRP$ our) (NN house)))) (VP (VBZ has) (VP (VBN been) (ADJP (RB tremendously) (JJ unsettling)) (PP (IN for) (NP (PRP$ her)))))))))))
[16],(ROOT (INTJ (UH Uh-huh) (. .)))
[18],(ROOT (PRN (CC and) (S (NP (PRP we)) (VP (VBP have) (NP (JJ several) (JJ young) (NNS children))))))
[19],(ROOT (INTJ (UH Uh-huh) (. .)))
[21],"(ROOT (S (INTJ (UH Oh)) (, ,) (NP (PRP I)) (VP (MD can) (VP (VB believe) (NP (DT that)))) (. .)))"
[22],"(ROOT (INTJ (UH Yes) (, ,)))"
