[0],"(ROOT (NP (NP (UH Afternoon)) (PRN (, ,) (NP (NNP Doug)) (, ,))))"
[1],"(ROOT (S (NP (PRP it)) (ADVP (RB certainly)) (VP (VBZ is) (PRN (, ,) (INTJ (UH uh)) (, ,)) (S (VP (VBG going) (S (VP (TO to) (VP (VB be) (NP (DT a) (NN pleasure) (S (VP (TO to) (VP (VB chat) (PP (IN with) (NP (PRP you))))))))))))) (. .)))"
[3],"(ROOT (S (CC And) (NP (PRP I)) (VP (VBP 'm) (, ,) (INTJ (UH uh)) (, ,) (SBAR (RB certainly) (S (VP (VBD was) (ADJP (ADJP (JJ surprised) (PP (TO to))) (PRN (, ,) (INTJ (UH uh)) (, ,))) (S (VP (TO to) (VP (VB hear) (PP (IN from) (NP (PRP you)))))))))) (. .)))"
[2],(ROOT (INTJ (UH Uh-huh) (. .)))
[5],"(ROOT (INTJ (UH Yeah) (, ,)))"
[4],"(ROOT (S (ADVP (RB Normally)) (NP (PRP I)) (VP (VBP talk) (PP (TO to) (NP (NP (NNS people)) (PP (IN in) (NP (NNP Plano) (, ,) (NNP Texas)))))) (. .)))"
[6],(ROOT (S (NP (PRP me)) (VP (ADVP (RB too))) (. .)))
[8],"(ROOT (FRAG (INTJ (UH Uh)) (, ,) (PP (IN through) (NP (NNP Nancy) (NNP Dahlgren)) (. .))))"
[7],(ROOT (SBARQ (WHADVP (WRB How)) (SQ (VBD did) (NP (PRP you)) (VP (VB get) (PP (IN on) (NP (DT this) (NN list))))) (. ?)))
[10],"(ROOT (INTJ (INTJ (UH Well)) (, ,) (INTJ (UH okay) (. .))))"
[12],(ROOT (FRAG (ADVP (RB All) (JJ right)) (. .)))
[13],"(ROOT (S (INTJ (UH Well) (, ,) (UH now)) (, ,) (NP (WP what)) (VP (MD would) (NP (PRP you)) (S (VP (VB say) (PP (IN about) (NP (NP (DT these) (JJ everyday) (NNS invasions)) (PP (IN of) (NP (PRP$ our) (NN privacy)))))))) (. ?)))"
"[9, 11]","(ROOT (S (NP (PRP She)) (, ,) (INTJ (UH um)) (, ,) (NP (PRP she)) (VP (VBD had) (ADVP (RB somehow)) (VP (VP (VBN gotten) (NP (DT the) (NN information)) (PP (IN from) (NP (NNP T) (NNP I)))) (CC and) (VP (VBD was) (VP (VBG distributing) (NP (PRP it)) (ADVP (RB around)))))) (. .)))"
[15],"(ROOT (S (INTJ (UH Um) (, ,) (UH see)) (, ,) (ADVP (PRP I)) (VP (VBP 'm) (RB not) (ADJP (JJ sure) (IN that))) (, ,)))"
[16],"(ROOT (S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB think) (SBAR (S (NP (PRP they)) (VP (VBP 're) (ADJP (RB necessarily) (JJ widespread) (PP (IN in) (NP (DT this) (NN country))))))))) (, ,)))"
[17],"(ROOT (S (CC but) (NP (PRP I)) (VP (VBP think) (SBAR (IN that) (S (NP (DT the) (NN opportunity)) (VP (VBZ is) (ADVP (RB definitely)) (NP (NP (RB there)) (PP (IN for) (PRN (, ,) (INTJ (UH um)) (, ,)) (NP (NNS people))) (S (VP (TO to) (VP (VB invade) (NP (PRP$ your) (NN privacy)) (SBAR (WHADVP (WRB when)) (S (NP (PRP they)) (VP (VBP want) (PP (TO to))))))) (, ,)))))))))"
