[0],"(ROOT (S (INTJ (UH Well)) (, ,) (ADVP (PRP I)) (VP (VBP 'm)) (, ,)))"
[2],"(ROOT (INTJ (UH Yes) (, ,)))"
[1],(ROOT (S (VP (VBP are) (NP (PRP you)) (ADVP (RB there))) (. ?)))
[4],(ROOT (INTJ (UH Okay) (. .)))
[3],(ROOT (INTJ (UH yes) (. .)))
[5],"(ROOT (S (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ sure) (SBAR (IN that) (S (NP (PRP I)) (VP (ADVP (ADVP (RB probably)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (VBP prescribe) (PP (TO to) (NP (JJ different) (NNS magazines) (NNS ones))))))) (SBAR (WHNP (WDT that)) (S (NP (PRP you)) (VP (VBP do))))) (. .)))"
[7],(ROOT (NP (JJ Different) (NN set) (. .)))
[9],"(ROOT (S (INTJ (UH Uh)) (, ,) (NP (PRP I)) (ADVP (RB also)) (VP (VBP take) (NP (NNP BETTER) (NNP HOMES) (CC AND) (NNP GARDENS))) (. .)))"
[11],(ROOT (S (NP (PRP I)) (VP (VBP like) (NP (DT that))) (. .)))
[12],"(ROOT (S (CC And) (ADVP (RB then)) (, ,) (INTJ (UH uh)) (, ,) (NP (PRP$ my) (NN husband)) (, ,) (ADVP (PRP he)) (VP (ADVP (ADVP (RB just)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (VBD subscribed) (PP (IN to) (NP (DT a) (NN wood)))) (, ,)))"
[13],(ROOT (S (NP (PRP he)) (VP (ADVP (RB just)) (VBD started) (NP (DT a) (NN woodwork)))))
[10],(ROOT (INTJ (UH Uh-huh) (. .)))
[15],(ROOT (INTJ (UH Oh) (. .)))
[14],(ROOT (S (RB so) (NP (PRP he)) (VP (ADVP (RB just)) (VBD sent) (ADVP (RB away)) (S (VP (TO to) (VP (VB get) (NP (DT some) (NN woodworking) (NNS books)))))) (. .)))
[16],(ROOT (S (VP (XX MUMBLEx)) (. .)))
[17],"(ROOT (SBARQ (RB So) (WHNP (WDT what) (NN kind)) (SQ (VP (VBP do) (SBAR (WHNP (NP (PRP you)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (S (VP (VB get)))))) (. ?)))"
"[18, 20]",(ROOT (SINV (FRAG (INTJ (UH Well))) (VP (ADVP (PRP I)) (VP (VBP have) (NP (NP (DT a) (NN bunch)) (PP (IN of) (NP (NN computer) (NNS journals))) (SBAR (IN because) (S (NP (PRP I)) (VP (VBP 'm) (PP (IN in) (NP (NN computer))))))))) (NP (NN science))))
[21],"(ROOT (FRAG (CC but) (PP (IN beyond) (NP (NP (ADJP (DT that) (PRN (, ,) (INTJ (UH uh)) (, ,))) (ADVP (RB lately))) (SBAR (S (NP (PRP I)) (VP (VBP 've) (VP (VBN been) (VP (VBG reading)))) (, ,)))))))"
[19],(ROOT (INTJ (UH Uh-huh) (. .)))
[23],(ROOT (INTJ (UH Uh-huh) (. .)))
[22],(ROOT (S (NP (PRP I)) (VP (VBP 've) (VP (ADVP (RB always)) (VBD liked) (NP (DT the) (NNP NEW) (NNP YORKER)))) (. .)))
[25],(ROOT (INTJ (UH Uh-huh) (. .)))
[28],"(ROOT (FRAG (PP (VBZ Is) (NP (PRP it))) (, ,)))"
[30],"(ROOT (INTJ (UH Yeah) (, ,)))"
[31],(ROOT (S (NP (PRP I)) (VP (VBD used) (S (VP (TO to) (VP (VB take) (NP (DT that)))))) (. .)))
