12303,"(0,)",Did you see that,"[Did/VBD, you/PRP, see/VBP, that/IN]",(ROOT (FRAG (VP (VBD Did) (SBAR (S (NP (PRP you)) (VP (VBP see) (ADVP (IN that))))))))
12303,"(1,)",I put it to you people,"[I/PRP, put/VBP, it/PRP, to/TO, you/PRP, people/NNS]",(ROOT (S (NP (PRP I)) (VP (VBP put) (NP (PRP it)) (PP (TO to) (NP (PRP you) (NNS people))))))
12303,"(2,)",You don 't need to stand that close to it .,"[You/PRP, don/VBP, 't/PRP, need/VB, to/TO, stand/VB, that/DT, close/JJ, to/TO, it/PRP, ./.]",(ROOT (S (NP (PRP You)) (VP (VBP don) (S (NP (PRP 't)) (VP (VB need) (S (VP (TO to) (VP (VB stand) (S (NP (DT that)) (ADJP (JJ close) (PP (TO to) (NP (PRP it))))))))))) (. .)))
12303,"(3,)",Sorry .,"[Sorry/JJ, ./.]",(ROOT (FRAG (ADJP (JJ Sorry)) (. .)))
12303,"(4,)",,[],X
12303,"(5, 6)",Cos it  it fucks it all up .,"[Cos/NN, it/PRP, it/PRP, fucks/VBZ, it/PRP, all/DT, up/RP, ./.]",(ROOT (S (S (VP (NN Cos) (NP (PRP it)))) (NP (PRP it)) (VP (VBZ fucks) (NP (PRP it)) (ADVP (DT all) (RP up))) (. .)))
12303,"(7,)",Does it ?,"[Does/VBZ, it/PRP, ?/.]",(ROOT (S (VP (VBZ Does) (NP (PRP it))) (. ?)))
12303,"(8,)",It goes really quiet afterwards .,"[It/PRP, goes/VBZ, really/RB, quiet/JJ, afterwards/RB, ./.]",(ROOT (S (NP (PRP It)) (VP (VBZ goes) (ADJP (RB really) (JJ quiet)) (ADVP (RB afterwards))) (. .)))
12303,"(9,)",I mean I was listening to one of the tapes last night .,"[I/PRP, mean/VBP, I/PRP, was/VBD, listening/VBG, to/TO, one/CD, of/IN, the/DT, tapes/NNS, last/JJ, night/NN, ./.]",(ROOT (S (NP (PRP I)) (VP (VBP mean) (SBAR (S (NP (PRP I)) (VP (VBD was) (VP (VBG listening) (PP (TO to) (NP (NP (CD one)) (PP (IN of) (NP (DT the) (NNS tapes))))) (NP (JJ last) (NN night))))))) (. .)))
12303,"(10,)",What 's this ?,"[What/WP, 's/VBZ, this/DT, ?/.]",(ROOT (SBARQ (WHNP (WP What)) (SQ (VBZ 's) (NP (DT this))) (. ?)))
12303,"(11,)",I was listening to one of the tapes last night .,"[I/PRP, was/VBD, listening/VBG, to/TO, one/CD, of/IN, the/DT, tapes/NNS, last/JJ, night/NN, ./.]",(ROOT (S (NP (PRP I)) (VP (VBD was) (VP (VBG listening) (PP (TO to) (NP (NP (CD one)) (PP (IN of) (NP (DT the) (NNS tapes))))) (NP (JJ last) (NN night)))) (. .)))
12303,"(12, 13)",And he he 'd got up to it and he gone  good morning Trev about two inches away from it .,"[And/CC, he/PRP, he/PRP, 'd/MD, got/VBD, up/RP, to/TO, it/PRP, and/CC, he/PRP, gone/VBD, good/JJ, morning/NN, Trev/NNP, about/IN, two/CD, inches/NNS, away/RB, from/IN, it/PRP, ./.]",(ROOT (S (CC And) (S (NP (NP (PRP he)) (SBAR (S (NP (PRP he)) (VP (MD 'd))))) (VP (VBD got) (PRT (RP up)) (PP (TO to) (NP (PRP it))))) (CC and) (S (NP (PRP he)) (VP (VBD gone) (NP (JJ good) (NN morning)) (NP (NP (NNP Trev)) (PP (IN about) (NP (NP (CD two) (NNS inches)) (ADVP (RB away) (PP (IN from) (NP (PRP it))))))))) (. .)))
