13004,"(0,)",What 's that ?,"[What/WP, 's/VBZ, that/IN, ?/.]",(ROOT (SBARQ (WHNP (WP What)) (SQ (VBZ 's) (ADJP (IN that))) (. ?)))
13004,"(1,)",Can 't we get it on the ,"[Can/MD, 't/PRP, we/PRP, get/VBP, it/PRP, on/IN, the/DT]",(ROOT (SINV (VP (MD Can)) (NP (NP (PRP 't)) (SBAR (S (NP (PRP we)) (VP (VBP get) (NP (PRP it)) (PP (IN on) (NP (DT the)))))))))
13004,"(2,)","Yeah , how much did you get then ?","[Yeah/UH, ,/,, how/WRB, much/JJ, did/VBD, you/PRP, get/VB, then/RB, ?/.]","(ROOT (S (INTJ (UH Yeah)) (, ,) (ADVP (WRB how)) (NP (JJ much)) (VP (VBD did) (S (NP (PRP you)) (VP (VB get) (ADVP (RB then))))) (. ?)))"
13004,"(3,)","Oh , its not the   not like you see those goodies .","[Oh/UH, ,/,, its/PRP$, not/RB, the/DT, not/RB, like/IN, you/PRP, see/VBP, those/DT, goodies/NNS, ./.]","(ROOT (S (INTJ (UH Oh)) (, ,) (NP (PRP$ its)) (VP (ADVP (RB not) (NP (DT the) (RB not)) (PP (IN like) (NP (PRP you)))) (VBP see) (NP (DT those) (NNS goodies))) (. .)))"
13004,"(4,)",Oh yeah,"[Oh/UH, yeah/UH]",(ROOT (INTJ (UH Oh) (UH yeah)))
13004,"(5,)",,[],X
13004,"(6,)", next week .,"[next/JJ, week/NN, ./.]",(ROOT (NP (JJ next) (NN week) (. .)))
13004,"(7,)",Or week after .,"[Or/CC, week/NN, after/IN, ./.]",(ROOT (FRAG (CC Or) (NP (NP (NN week)) (PP (IN after))) (. .)))
13004,"(8,)",Its the week after,"[Its/PRP$, the/DT, week/NN, after/IN]",(ROOT (NP (NP (PRP$ Its)) (NP (NP (DT the) (NN week)) (PP (IN after)))))
13004,"(9,)",Ah ?,"[Ah/NN, ?/.]",(ROOT (INTJ (NN Ah) (. ?)))
13004,"(10,)",Next week its supposed to be .,"[Next/JJ, week/NN, its/PRP$, supposed/VBN, to/TO, be/VB, ./.]",(ROOT (FRAG (ADVP (JJ Next) (NN week)) (NP (NP (PRP$ its)) (VP (VBN supposed) (S (VP (TO to) (VP (VB be)))))) (. .)))
