14010,"(0,)",Oh it 's cold .,"[Oh/UH, it/PRP, 's/VBZ, cold/JJ, ./.]",(ROOT (S (S (INTJ (UH Oh)) (NP (PRP it)) (VP (VBZ 's) (ADJP (JJ cold)))) (. .)))
14010,"(1,)", if they have two minutes .,"[if/IN, they/PRP, have/VBP, two/CD, minutes/NNS, ./.]",(ROOT (FRAG (SBAR (IN if) (S (NP (PRP they)) (VP (VBP have) (NP (CD two) (NNS minutes))))) (. .)))
14010,"(2,)","Not now , later .","[Not/RB, now/RB, ,/,, later/RB, ./.]","(ROOT (FRAG (ADVP (RB Not) (RB now)) (, ,) (ADVP (RB later)) (. .)))"
14010,"(3,)",Last Friday you were packed out .,"[Last/JJ, Friday/NNP, you/PRP, were/VBD, packed/VBN, out/RP, ./.]",(ROOT (S (NP (JJ Last) (NNP Friday)) (NP (PRP you)) (VP (VBD were) (VP (VBN packed) (PRT (RP out)))) (. .)))
14010,"(4, 5, 6)","No because that  chair is there  she can 't sit comfortable , hair dryer 's sitting behind .","[No/DT, because/IN, that/DT, chair/NN, is/VBZ, there/EX, she/PRP, can/MD, 't/PRP, sit/VB, comfortable/JJ, ,/,, hair/NN, dryer/NN, 's/POS, sitting/VBG, behind/RB, ./.]","(ROOT (S (ADVP (DT No) (PP (IN because) (NP (DT that)))) (NP (NN chair)) (VP (VBZ is) (NP (NP (NP (EX there)) (SBAR (S (NP (PRP she)) (VP (MD can) (NP (PRP 't)) (S (VP (VB sit) (ADJP (JJ comfortable)))))))) (, ,) (NP (NP (NN hair) (NN dryer)) (POS 's) (VBG sitting))) (ADVP (RB behind))) (. .)))"
14010,"(7,)",But you were packed last Friday .,"[But/CC, you/PRP, were/VBD, packed/VBN, last/JJ, Friday/NNP, ./.]",(ROOT (S (CC But) (NP (PRP you)) (VP (VBD were) (VP (VBN packed) (NP (JJ last) (NNP Friday)))) (. .)))
14010,"(8,)",You had got perms and heaven knows what on the go .,"[You/PRP, had/VBD, got/VBN, perms/NNS, and/CC, heaven/NN, knows/VBZ, what/WP, on/IN, the/DT, go/NN, ./.]",(ROOT (S (NP (PRP You)) (VP (VBD had) (VP (VBN got) (SBAR (S (NP (NNS perms) (CC and) (NN heaven)) (VP (VBZ knows) (NP (WP what)) (PP (IN on) (NP (DT the) (NN go)))))))) (. .)))
14010,"(9,)",Strange isn 't it ?,"[Strange/JJ, isn/NN, 't/PRP, it/PRP, ?/.]",(ROOT (NP (NP (JJ Strange) (NN isn)) (NP (NP (PRP 't)) (NP (PRP it))) (. ?)))
14010,"(10,)",One,[One/CD],(ROOT (FRAG (NP (CD One))))
14010,"(11, 12)",Still  we had two ladies doesn 't come .,"[Still/RB, we/PRP, had/VBD, two/CD, ladies/NNS, doesn/VBP, 't/PRP, come/VB, ./.]",(ROOT (S (ADVP (RB Still)) (NP (PRP we)) (VP (VBD had) (NP (NP (CD two) (NNS ladies)) (SBAR (S (VP (VBP doesn) (S (NP (PRP 't)) (VP (VB come)))))))) (. .)))
14010,"(13,)",Ah .,"[Ah/NN, ./.]",(ROOT (INTJ (NN Ah) (. .)))
