17102,"(0,)",Was a good game though .,"[Was/VBD, a/DT, good/JJ, game/NN, though/IN, ./.]",(ROOT (SQ (VBD Was) (NP (DT a) (JJ good) (NN game)) (ADJP (IN though)) (. .)))
17102,"(1,)","Oh I enjoyed it , yeah .","[Oh/UH, I/PRP, enjoyed/VBD, it/PRP, ,/,, yeah/UH, ./.]","(ROOT (S (S (INTJ (UH Oh)) (NP (PRP I)) (VP (VBD enjoyed) (NP (PRP it)))) (, ,) (FRAG (INTJ (UH yeah))) (. .)))"
17102,"(2, 3, 4)","Just don 't enjoy Palace losing , but    sheer football    and it just shows you that ironically the two games can match each other and there were chances for Palace to wrap that game up .","[Just/RB, don/NNP, 't/PRP, enjoy/VBP, Palace/NN, losing/NN, ,/,, but/CC, sheer/JJ, football/NN, and/CC, it/PRP, just/RB, shows/VBZ, you/PRP, that/IN, ironically/NNP, the/DT, two/CD, games/NNS, can/MD, match/VB, each/DT, other/JJ, and/CC, there/EX, were/VBD, chances/NNS, for/IN, Palace/NN, to/TO, wrap/VB, that/DT, game/NN, up/RP, ./.]","(ROOT (S (S (NP (RB Just) (NNP don)) (NP (PRP 't)) (VP (VBP enjoy) (NP (NN Palace) (NN losing)))) (, ,) (CC but) (S (NP (NP (JJ sheer) (NN football)) (CC and) (NP (PRP it))) (VP (ADVP (RB just)) (VBZ shows) (NP (PRP you)) (SBAR (IN that) (S (S (NP (NP (NNP ironically)) (NP (DT the) (CD two) (NNS games))) (VP (MD can) (VP (VB match) (NP (DT each) (JJ other))))) (CC and) (S (NP (EX there)) (VP (VBD were) (NP (NP (NNS chances)) (PP (IN for) (NP (NN Palace))) (S (VP (TO to) (VP (VB wrap) (NP (DT that) (NN game)) (PRT (RP up)))))))))))) (. .)))"
17102,"(5, 6, 7)",But er  when they do play that ball to ball  business erm,"[But/CC, er/NN, when/WRB, they/PRP, do/VBP, play/VB, that/DT, ball/NN, to/TO, ball/NN, business/NN, erm/NN]",(ROOT (S (NP (ADVP (CC But)) (NP (NN er)) (SBAR (WHADVP (WRB when)) (S (NP (PRP they)) (VP (VBP do) (VP (VB play) (NP (DT that) (NN ball)) (PP (TO to) (NP (NN ball) (NN business) (NN erm))))))))))
17102,"(8,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
17102,"(9, 10)",we look like we 've got huge spaces in our  in our midfield .,"[we/PRP, look/VBP, like/IN, we/PRP, 've/VBP, got/VBN, huge/JJ, spaces/NNS, in/IN, our/PRP$, in/IN, our/PRP$, midfield/NNP, ./.]",(ROOT (S (NP (PRP we)) (VP (VBP look) (SBAR (IN like) (S (NP (PRP we)) (VP (VBP 've) (VP (VBN got) (NP (NP (JJ huge) (NNS spaces)) (PP (IN in) (NP (PRP$ our)))) (PP (IN in) (NP (PRP$ our) (NNP midfield)))))))) (. .)))
17102,"(11, 12, 13, 14, 15, 16, 17)","I mean  that 's what teams are doing now , they 're realizing that 's where all our weakness is in midfield  so  don 't take a er a hefty boot and try and er er  people like Thorn and  I mean Thorn and Young were impeccably  they played beautifully today .","[I/PRP, mean/VBP, that/DT, 's/VBZ, what/WP, teams/NNS, are/VBP, doing/VBG, now/RB, ,/,, they/PRP, 're/VBP, realizing/VBG, that/DT, 's/VBZ, where/WRB, all/PDT, our/PRP$, weakness/NN, is/VBZ, in/IN, midfield/NNP, so/IN, don/NNP, 't/PRP, take/VB, a/DT, er/NN, a/DT, hefty/JJ, boot/NN, and/CC, try/VB, and/CC, er/NN, er/NN, people/NNS, like/IN, Thorn/NNP, and/CC, I/PRP, mean/VBP, Thorn/NNP, and/CC, Young/JJ, were/VBD, impeccably/RB, they/PRP, played/VBD, beautifully/RB, today/NN, ./.]","(ROOT (S (S (NP (PRP I)) (VP (VBP mean) (SBAR (S (NP (DT that)) (VP (VBZ 's) (SBAR (WHNP (WP what)) (S (NP (NNS teams)) (VP (VBP are) (VP (VBG doing) (ADVP (RB now))))))))))) (, ,) (S (S (NP (PRP they)) (VP (VBP 're) (VP (VBG realizing) (SBAR (S (NP (DT that)) (VP (VBZ 's) (SBAR (WHADVP (WRB where)) (S (NP (PDT all) (PRP$ our) (NN weakness)) (VP (VBZ is) (PP (IN in) (NP (NNP midfield)))))))))))) (IN so) (S (NP (NNP don) (PRP 't)) (VP (VP (VB take) (NP (DT a) (NN er)) (NP (DT a) (JJ hefty) (NN boot))) (CC and) (VP (VB try)))) (CC and) (S (NP (NN er) (NN er) (NNS people)) (PP (IN like) (NP (NNP Thorn))))) (CC and) (S (NP (PRP I)) (VP (VBP mean) (SBAR (S (NP (NP (NNP Thorn)) (CC and) (NP (JJ Young))) (VP (VBD were) (ADJP (RB impeccably) (SBAR (S (NP (PRP they)) (VP (VBD played) (ADVP (RB beautifully)) (NP (NN today))))))))))) (. .)))"
17102,"(18, 19, 20)","You cannot ask Thorn and Young , I 've never seen two players play  they do , they did th-  , they do the simple thing  but they do it consistently well .","[You/PRP, cannot/VBP, ask/VB, Thorn/NNP, and/CC, Young/NNP, ,/,, I/PRP, 've/VBP, never/RB, seen/VBN, two/CD, players/NNS, play/VBP, they/PRP, do/VBP, ,/,, they/PRP, did/VBD, th-/NN, ,/,, they/PRP, do/VBP, the/DT, simple/JJ, thing/NN, but/CC, they/PRP, do/VBP, it/PRP, consistently/RB, well/RB, ./.]","(ROOT (S (S (NP (PRP You)) (VP (VBP cannot) (VP (VB ask) (NP (NNP Thorn) (CC and) (NNP Young))))) (, ,) (NP (PRP I)) (VP (VBP 've) (ADVP (RB never)) (VP (VBN seen) (NP (NP (CD two) (NNS players)) (SBAR (S (VP (VBP play) (SBAR (S (NP (PRP they)) (VP (VBP do) (, ,) (S (S (NP (PRP they)) (VP (VBD did) (NP (NN th-)))) (, ,) (S (NP (PRP they)) (VP (VBP do) (NP (DT the) (JJ simple) (NN thing)))) (CC but) (S (NP (PRP they)) (VP (VBP do) (NP (PRP it)) (ADVP (RB consistently) (RB well)))))))))))))) (. .)))"
17102,"(21,)","Over and over again , maybe a hundred , hundred and fifty times in one match and they 'll make one mistake and usually like Coleman was there to c-  , I think Coleman backed up well and Gareth  > backed up well once or twice .","[Over/IN, and/CC, over/IN, again/RB, ,/,, maybe/RB, a/DT, hundred/CD, ,/,, hundred/CD, and/CC, fifty/CD, times/NNS, in/IN, one/CD, match/NN, and/CC, they/PRP, 'll/MD, make/VB, one/CD, mistake/NN, and/CC, usually/RB, like/IN, Coleman/NNP, was/VBD, there/RB, to/TO, c-/NN, ,/,, I/PRP, think/VBP, Coleman/NNP, backed/VBD, up/RP, well/RB, and/CC, Gareth/NNP, >/JJR, backed/VBD, up/RP, well/RB, once/RB, or/CC, twice/RB, ./.]","(ROOT (S (PP (IN Over) (NP (NP (QP (CC and) (IN over))) (ADVP (RB again)))) (, ,) (PP (RB maybe) (NP (DT a) (CD hundred))) (, ,) (NP (NP (CD hundred) (CC and) (CD fifty) (NNS times)) (PP (IN in) (NP (NP (CD one) (NN match)) (CC and) (S (NP (PRP they)) (VP (MD 'll) (VP (VB make) (NP (NP (CD one) (NN mistake)) (CC and) (RB usually)) (PP (IN like) (S (S (NP (NNP Coleman)) (VP (VBD was) (ADVP (RB there)) (PP (TO to) (NP (NN c-))))) (, ,) (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (NNP Coleman)) (VP (VBD backed) (PRT (RP up)) (ADVP (RB well))))))) (CC and) (S (NP (NNP Gareth)) (ADJP (JJR >))))))))))) (VP (VBD backed) (PRT (RP up)) (ADVP (RB well) (RB once) (CC or) (RB twice))) (. .)))"
17102,"(22, 23)",But defence wise  superb .,"[But/CC, defence/NN, wise/JJ, superb/JJ, ./.]",(ROOT (NP (NP (ADVP (CC But)) (NN defence)) (ADJP (JJ wise) (JJ superb)) (. .)))
17102,"(24,)","Absolutely su-  , there was a lapse with that guy , don 't know who was to blame about that third goal but I mean","[Absolutely/RB, su-/JJ, ,/,, there/EX, was/VBD, a/DT, lapse/NN, with/IN, that/DT, guy/NN, ,/,, don/NNP, 't/PRP, know/VBP, who/WP, was/VBD, to/TO, blame/VB, about/IN, that/DT, third/JJ, goal/NN, but/CC, I/PRP, mean/VBP]","(ROOT (NP (S (NP (RB Absolutely) (JJ su-)) (, ,) (NP (EX there)) (VP (VBD was) (NP (NP (DT a) (NN lapse)) (PP (IN with) (NP (NP (DT that) (NN guy)) (, ,) (NP (NP (NNP don)) (SBAR (S (S (NP (PRP 't)) (VP (VBP know) (SBAR (WHNP (WP who)) (S (VP (VBD was) (S (VP (TO to) (VP (VB blame) (PP (IN about) (NP (DT that) (JJ third) (NN goal))))))))))) (CC but) (S (NP (PRP I)) (VP (VBP mean)))))))))))))"
