17201,"(0,)",He wants to do this rap thing doesn 't he ?,"[He/PRP, wants/VBZ, to/TO, do/VB, this/DT, rap/NN, thing/NN, doesn/JJ, 't/PRP, he/PRP, ?/.]",(ROOT (S (NP (PRP He)) (VP (VBZ wants) (S (VP (TO to) (VP (VB do) (S (NP (NP (DT this) (NN rap) (NN thing)) (ADJP (JJ doesn) (NP (PRP 't)))) (NP (PRP he))))))) (. ?)))
17201,"(1,)",Oh yeah .,"[Oh/UH, yeah/UH, ./.]",(ROOT (S (INTJ (UH Oh)) (VP (UH yeah)) (. .)))
17201,"(2,)",I want to  ,"[I/PRP, want/VBP, to/TO]",(ROOT (S (NP (PRP I)) (VP (VBP want) (PP (TO to)))))
17201,"(3,)",Yeah but still,"[Yeah/UH, but/CC, still/RB]",(ROOT (INTJ (INTJ (UH Yeah)) (CC but) (INTJ (RB still))))
17201,"(4,)", going all night while you were,"[going/VBG, all/DT, night/NN, while/IN, you/PRP, were/VBD]",(ROOT (S (VP (VBG going) (NP (DT all) (NN night)) (SBAR (IN while) (S (NP (PRP you)) (VP (VBD were)))))))
17201,"(5, 6)",Yeah  ha .,"[Yeah/UH, ha/FW, ./.]",(ROOT (S (VP (NP (INTJ (UH Yeah)) (NP (FW ha)))) (. .)))
17201,"(7, 8)",out  Will you chew those ?,"[out/RB, Will/MD, you/PRP, chew/VB, those/DT, ?/.]",(ROOT (FRAG (ADJP (RB out)) (S (MD Will) (NP (PRP you)) (VP (VB chew) (NP (DT those)))) (. ?)))
17201,"(9, 10, 11)",You 've been a very good boy  right ha  flowers are floppy,"[You/PRP, 've/VBP, been/VBN, a/DT, very/RB, good/JJ, boy/NN, right/NN, ha/NN, flowers/NNS, are/VBP, floppy/JJ]",(ROOT (S (NP (PRP You)) (VP (VBP 've) (VP (VBN been) (NP (NP (DT a) (ADJP (RB very) (JJ good)) (NN boy) (NN right)) (SBAR (S (NP (NN ha) (NNS flowers)) (VP (VBP are) (ADJP (JJ floppy))))))))))
17201,"(12,)",We can record one of the party then can 't we ?,"[We/PRP, can/MD, record/VB, one/CD, of/IN, the/DT, party/NN, then/RB, can/MD, 't/PRP, we/PRP, ?/.]",(ROOT (SINV (S (NP (PRP We)) (VP (MD can) (VP (VB record) (NP (NP (CD one)) (PP (IN of) (NP (DT the) (NN party)))) (ADVP (RB then))))) (VP (MD can)) (NP (NP (PRP 't)) (NP (PRP we))) (. ?)))
17201,"(13,)",Yep .,"[Yep/NN, ./.]",(ROOT (NP (NN Yep) (. .)))
17201,"(14,)",You can get loads out of that could you cos people will just forget it .,"[You/PRP, can/MD, get/VB, loads/NNS, out/IN, of/IN, that/DT, could/MD, you/PRP, cos/NN, people/NNS, will/MD, just/RB, forget/VB, it/PRP, ./.]",(ROOT (S (S (NP (PRP You)) (VP (MD can) (VP (VB get) (NP (NNS loads)) (ADVP (IN out) (PP (IN of) (SBAR (WHNP (DT that)) (S (VP (MD could) (VP (NP (PRP you))))))))))) (NP (NN cos) (NNS people)) (VP (MD will) (ADVP (RB just)) (VP (VB forget) (NP (PRP it)))) (. .)))
17201,"(15, 16)",Yeah so  except you 've got to list everybody 's name .,"[Yeah/UH, so/IN, except/IN, you/PRP, 've/VBP, got/VBN, to/TO, list/VB, everybody/NN, 's/POS, name/NN, ./.]",(ROOT (INTJ (UH Yeah) (PP (ADVP (IN so)) (IN except) (NP (NP (PRP you)) (SBAR (S (VP (VBP 've) (VP (VBN got) (S (VP (TO to) (VP (VB list) (NP (NP (NN everybody) (POS 's)) (NN name))))))))))) (. .)))
17201,"(17, 18)","Yeah but then  list the name , then list the","[Yeah/UH, but/CC, then/RB, list/VB, the/DT, name/NN, ,/,, then/RB, list/VB, the/DT]","(ROOT (UCP (FRAG (INTJ (UH Yeah))) (CC but) (SBAR (RB then) (S (VP (VP (VB list) (NP (DT the) (NN name))) (, ,) (RB then) (VP (VB list) (NP (DT the))))))))"
17201,"(19,)",,[],X
17201,"(20, 21)",names of the next home tape again  they 'll think it 's,"[names/NNS, of/IN, the/DT, next/JJ, home/NN, tape/NN, again/RB, they/PRP, 'll/MD, think/VB, it/PRP, 's/POS]",(ROOT (NP (NP (NNS names)) (PP (IN of) (NP (NP (DT the) (JJ next) (NN home) (NN tape)) (ADVP (RB again)) (SBAR (S (NP (PRP they)) (VP (MD 'll) (VP (VB think) (S (NP (PRP it) (POS 's)))))))))))
17201,"(22,)",Yeah but you 're supposed to listen to it all off and see .,"[Yeah/UH, but/CC, you/PRP, 're/VBP, supposed/VBN, to/TO, listen/VB, to/TO, it/PRP, all/DT, off/RP, and/CC, see/VB, ./.]",(ROOT (S (S (INTJ (UH Yeah)) (NP (CC but)) (VP (ADVP (PRP you)) (VP (VBP 're) (VP (VBN supposed) (S (VP (TO to) (VP (VB listen) (PP (TO to) (NP (PRP it))) (ADVP (DT all) (RP off))))))))) (CC and) (S (VP (VB see))) (. .)))
17201,"(23,)",Oh no   ridiculous isn 't it !,"[Oh/UH, no/DT, ridiculous/JJ, isn/NN, 't/PRP, it/PRP, !/.]",(ROOT (S (VP (PP (NP (UH Oh)) (NP (NP (DT no) (JJ ridiculous) (NN isn)) (NP (NP (PRP 't)) (NP (PRP it)))))) (. !)))
