18905,"(0,)",Minute for the sp- before I get there .,"[Minute/NN, for/IN, the/DT, sp-/NN, before/IN, I/PRP, get/VBP, there/RB, ./.]",(ROOT (S (NP (NP (NN Minute)) (PP (IN for) (NP (NP (DT the) (NN sp-)) (PP (IN before) (NP (PRP I)))))) (VP (VBP get) (ADVP (RB there))) (. .)))
18905,"(1, 2, 3, 4)",Come out here  that one  Where do you feel it  wonderful   .,"[Come/VB, out/RP, here/RB, that/IN, one/CD, Where/WRB, do/VBP, you/PRP, feel/VB, it/PRP, wonderful/JJ, ./.]",(ROOT (S (VP (VB Come) (PRT (RP out)) (SBAR (ADVP (RB here)) (IN that) (S (NP (NP (CD one)) (SBAR (WHADVP (WRB Where)) (S (VP (VBP do) (NP (PRP you)))))) (VP (VB feel) (S (NP (PRP it)) (ADJP (JJ wonderful))))))) (. .)))
18905,"(5,)",Didn 't sleep very well did you ?,"[Didn/VB, 't/PRP, sleep/VB, very/RB, well/RB, did/VBD, you/PRP, ?/.]",(ROOT (S (S (VP (VB Didn) (S (NP (PRP 't)) (VP (VB sleep) (ADVP (RB very) (RB well)))))) (VP (VBD did) (NP (PRP you))) (. ?)))
18905,"(6,)",Too excited .,"[Too/RB, excited/VBN, ./.]",(ROOT (FRAG (ADJP (RB Too) (VBN excited)) (. .)))
18905,"(7,)","No , things going through your head innit ?","[No/DT, ,/,, things/NNS, going/VBG, through/IN, your/PRP$, head/NN, innit/NN, ?/.]","(ROOT (NP (NP (DT No)) (, ,) (NP (NP (NNS things)) (VP (VBG going) (PP (IN through) (NP (PRP$ your) (NN head) (NN innit))))) (. ?)))"
18905,"(8,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
18905,"(9,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
18905,"(10,)",That 's how it is isn 't it ?,"[That/DT, 's/VBZ, how/WRB, it/PRP, is/VBZ, isn/JJ, 't/PRP, it/PRP, ?/.]",(ROOT (S (NP (DT That)) (VP (VBZ 's) (SBAR (WHADVP (WRB how)) (S (NP (PRP it)) (VP (VBZ is) (ADJP (JJ isn)) (NP (NP (PRP 't)) (NP (PRP it))))))) (. ?)))
18905,"(11,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
18905,"(12, 13, 14, 15)","Yeah you 're sort of thinking  when my why   got a card and then they tell you to look round , how much it 's gonna cost you and  I mean , you know ,jus- jus- just  you know is everything gonna work out , you know ?","[Yeah/UH, you/PRP, 're/VBP, sort/NN, of/IN, thinking/VBG, when/WRB, my/PRP$, why/WRB, got/VBD, a/DT, card/NN, and/CC, then/RB, they/PRP, tell/VBP, you/PRP, to/TO, look/VB, round/NN, ,/,, how/WRB, much/JJ, it/PRP, 's/VBZ, gonna/NNP, cost/VB, you/PRP, and/CC, I/PRP, mean/VBP, ,/,, you/PRP, know/VBP, ,jus-/JJ, jus-/NN, just/RB, you/PRP, know/VBP, is/VBZ, everything/NN, gonna/NN, work/NN, out/RB, ,/,, you/PRP, know/VB, ?/.]","(ROOT (S (S (S (INTJ (UH Yeah)) (NP (PRP you)) (VP (VBP 're) (NP (NP (NN sort)) (PP (IN of) (S (VP (VBG thinking) (SBAR (WHADVP (WRB when)) (S (NP (NP (PRP$ my)) (SBAR (WHADVP (WRB why)) (S (VP (VBD got) (NP (NP (DT a) (NN card)) (CC and) (ADVP (RB then)) (SBAR (S (NP (PRP they)) (VP (VBP tell) (S (NP (PRP you)) (VP (TO to) (VP (VB look) (NP (NN round))))) (, ,) (SBAR (WHADJP (WRB how) (JJ much)) (S (NP (PRP it)) (VP (VBZ 's) (NP (NNP gonna))))))))))))) (VP (VB cost) (NP (PRP you))))))))))) (CC and) (S (NP (PRP I)) (VP (VBP mean)))) (, ,) (NP (PRP you)) (VP (VBP know) (NP (JJ ,jus-) (NN jus-)) (SBAR (RB just) (S (NP (PRP you)) (VP (VBP know) (SBAR (S (VP (VBZ is) (NP (NN everything) (NN gonna) (NN work)) (ADVP (RB out)))))))) (, ,) (S (NP (PRP you)) (VP (VB know)))) (. ?)))"
18905,"(16, 17)","Carpets down and then we got their cooker and the fridge and that   and , well you know  and that goes through your","[Carpets/NNS, down/RB, and/CC, then/RB, we/PRP, got/VBD, their/PRP$, cooker/NN, and/CC, the/DT, fridge/NN, and/CC, that/IN, and/CC, ,/,, well/RB, you/PRP, know/VBP, and/CC, that/IN, goes/VBZ, through/IN, your/PRP$]","(ROOT (X (NP (NNS Carpets)) (SBAR (SBAR (UCP (ADJP (RB down)) (CC and) (ADVP (RB then))) (S (S (NP (PRP we)) (VP (VBD got) (UCP (NP (NP (PRP$ their) (NN cooker)) (CC and) (NP (DT the) (NN fridge))) (CC and) (ADJP (IN that))))) (CC and) (, ,) (S (ADVP (RB well)) (NP (PRP you)) (VP (VBP know))))) (CC and) (SBAR (IN that) (S (VP (VBZ goes) (PP (IN through) (NP (PRP$ your)))))))))"
