2304,"(0, 1)","The metals remain nice and weak , I do wish  wish we 'd get on and get those orders in .","[The/DT, metals/NNS, remain/VBP, nice/JJ, and/CC, weak/JJ, ,/,, I/PRP, do/VBP, wish/VB, wish/NN, we/PRP, 'd/VBD, get/VB, on/IN, and/CC, get/VB, those/DT, orders/NNS, in/IN, ./.]","(ROOT (S (S (NP (DT The) (NNS metals)) (VP (VBP remain) (ADJP (JJ nice) (CC and) (JJ weak)))) (, ,) (NP (PRP I)) (VP (VBP do) (VP (VB wish) (NP (NP (NN wish)) (SBAR (S (NP (PRP we)) (VP (VBD 'd) (S (VP (VP (VB get) (PP (IN on))) (CC and) (VP (VB get) (NP (DT those) (NNS orders)) (PP (IN in))))))))))) (. .)))"
2304,"(2,)",,[],X
2304,"(3,)","He 's gonna wait till the copper price zooms up again , then he 'll be back , he never did , order those aluminum   rods you know last year .","[He/PRP, 's/VBZ, gonna/NNP, wait/VB, till/IN, the/DT, copper/NN, price/NN, zooms/VBZ, up/RP, again/RB, ,/,, then/RB, he/PRP, 'll/MD, be/VB, back/RB, ,/,, he/PRP, never/RB, did/VBD, ,/,, order/NN, those/DT, aluminum/NN, rods/NNS, you/PRP, know/VBP, last/JJ, year/NN, ./.]","(ROOT (S (S (NP (PRP He)) (VP (VBZ 's) (S (NP (NNP gonna)) (VP (VB wait) (SBAR (IN till) (S (NP (DT the) (NN copper) (NN price)) (VP (VBZ zooms) (PRT (RP up)) (ADVP (RB again))))))))) (, ,) (S (ADVP (RB then)) (NP (PRP he)) (VP (MD 'll) (VP (VB be) (ADVP (RB back))))) (, ,) (S (NP (PRP he)) (ADVP (RB never)) (VP (VBD did))) (, ,) (S (NP (NP (NN order)) (NP (DT those) (NN aluminum) (NNS rods))) (NP (PRP you)) (VP (VBP know) (NP (JJ last) (NN year)))) (. .)))"
2304,"(4,)",No  .,"[No/DT, ./.]",(ROOT (FRAG (NP (DT No)) (. .)))
2304,"(5,)",Getting to be a hobby  .,"[Getting/VBG, to/TO, be/VB, a/DT, hobby/NN, ./.]",(ROOT (S (VP (VBG Getting) (S (VP (TO to) (VP (VB be) (NP (DT a) (NN hobby)))))) (. .)))
2304,"(6,)",Darn it  .,"[Darn/JJ, it/PRP, ./.]",(ROOT (NP (NP (JJ Darn)) (NP (PRP it)) (. .)))
2304,"(7,)",Yes .,"[Yes/UH, ./.]",(ROOT (INTJ (UH Yes) (. .)))
2304,"(8,)",  .,[./.],(ROOT (NP (. .)))
2304,"(9, 10)","No , no I 'd  I rather suspect that the erm , the   cancelled the contract .","[No/DT, ,/,, no/DT, I/PRP, 'd/MD, I/PRP, rather/RB, suspect/VBP, that/IN, the/DT, erm/NN, ,/,, the/DT, cancelled/VBN, the/DT, contract/NN, ./.]","(ROOT (S (NP (DT No)) (, ,) (PRN (S (NP (DT no) (PRP I)) (VP (MD 'd)))) (NP (PRP I)) (VP (ADVP (RB rather)) (VBP suspect) (SBAR (IN that) (S (NP (NP (DT the) (NN erm)) (, ,) (X (DT the))) (VP (VBN cancelled) (NP (DT the) (NN contract)))))) (. .)))"
2304,"(11,)",,[],X
2304,"(12,)","Well if they , they may have bought from Japan or something of that sort , erm , gotta little bit stronger yesterday , one seven one three five in New York .","[Well/RB, if/IN, they/PRP, ,/,, they/PRP, may/MD, have/VB, bought/VBN, from/IN, Japan/NNP, or/CC, something/NN, of/IN, that/DT, sort/NN, ,/,, erm/NN, ,/,, gotta/NNP, little/NNP, bit/RB, stronger/JJR, yesterday/NN, ,/,, one/CD, seven/CD, one/CD, three/CD, five/CD, in/IN, New/NNP, York/NNP, ./.]","(ROOT (S (PP (ADVP (RB Well)) (IN if) (NP (PRP they))) (, ,) (NP (PRP they)) (VP (MD may) (VP (VB have) (VP (VBN bought) (PP (IN from) (NP (NP (NNP Japan)) (CC or) (NP (NP (NN something)) (PP (IN of) (X (NP (NP (DT that) (NN sort)) (, ,) (NP (NN erm)) (, ,) (NP (NP (NNP gotta) (NNP little)) (NP (RB bit) (JJR stronger) (NN yesterday))) (, ,) (NP (CD one) (CD seven))) (NP (CD one)) (NP (NP (QP (CD three) (CD five))) (PP (IN in) (NP (NNP New) (NNP York)))))))))))) (. .)))"
2304,"(13,)",,[],X
2304,"(14,)",Was it ?,"[Was/VBD, it/PRP, ?/.]",(ROOT (S (VP (VBD Was) (NP (PRP it))) (. ?)))
