2331,"(0,)","Thank you , now er .","[Thank/VB, you/PRP, ,/,, now/RB, er/NN, ./.]","(ROOT (S (VP (VP (VB Thank) (NP (PRP you))) (, ,) (NP (ADVP (RB now)) (NN er))) (. .)))"
2331,"(1,)","You 're a   girl aren 't you ,","[You/PRP, 're/VBP, a/DT, girl/NN, aren/NNP, 't/PRP, you/PRP, ,/,]","(ROOT (S (NP (PRP You)) (VP (VBP 're) (NP (NP (DT a) (NN girl) (NNP aren)) (NP (NP (PRP 't)) (NP (PRP you))))) (, ,)))"
2331,"(2,)",No I 've got nothing else to be doing at this moment .,"[No/DT, I/PRP, 've/VBP, got/VBN, nothing/NN, else/RB, to/TO, be/VB, doing/VBG, at/IN, this/DT, moment/NN, ./.]",(ROOT (S (NP (DT No) (PRP I)) (VP (VBP 've) (VP (VBN got) (NP (NN nothing) (RB else)) (S (VP (TO to) (VP (VB be) (VP (VBG doing) (PP (IN at) (NP (DT this) (NN moment))))))))) (. .)))
2331,"(3,)",Been up the library .,"[Been/VBN, up/RP, the/DT, library/NN, ./.]",(ROOT (S (VP (VBN Been) (PRT (RP up)) (NP (DT the) (NN library))) (. .)))
2331,"(4,)",Good .,"[Good/JJ, ./.]",(ROOT (INTJ (JJ Good) (. .)))
2331,"(5,)",More books for the half term .,"[More/RBR, books/NNS, for/IN, the/DT, half/NN, term/NN, ./.]",(ROOT (NP (NP (NP (ADJP (RBR More)) (NNS books)) (PP (IN for) (NP (DT the) (NN half) (NN term)))) (. .)))
2331,"(6,)",Good .,"[Good/JJ, ./.]",(ROOT (INTJ (JJ Good) (. .)))
2331,"(7,)","Just six weeks till the end of term because I 've got my books for six weeks and they 've used , date stamped in them is the last day of term can 't be bad can it ?","[Just/RB, six/CD, weeks/NNS, till/IN, the/DT, end/NN, of/IN, term/NN, because/IN, I/PRP, 've/VBP, got/VBD, my/PRP$, books/NNS, for/IN, six/CD, weeks/NNS, and/CC, they/PRP, 've/VBP, used/VBN, ,/,, date/NN, stamped/VBD, in/IN, them/PRP, is/VBZ, the/DT, last/JJ, day/NN, of/IN, term/NN, can/MD, 't/PRP, be/VB, bad/JJ, can/MD, it/PRP, ?/.]","(ROOT (SBARQ (RB Just) (SBAR (NP (CD six) (NNS weeks)) (IN till) (S (NP (NP (DT the) (NN end)) (PP (IN of) (NP (NP (NN term)) (SBAR (IN because) (S (NP (PRP I)) (VP (VBP 've) (VP (VBD got) (NP (PRP$ my) (NNS books)) (PP (IN for) (NP (NP (CD six) (NNS weeks)) (CC and) (NP (PRP they))))))))))) (VP (VBP 've) (VP (VBN used))))) (PRN (, ,) (S (NP (NN date)) (VP (VBD stamped) (SBAR (IN in) (S (NP (PRP them)) (VP (VBZ is) (NP (NP (DT the) (JJ last) (NN day)) (PP (IN of) (NP (NN term)))))))))) (SQ (MD can) (NP (PRP 't)) (VP (VB be) (ADJP (JJ bad) (SBAR (S (VP (MD can) (VP (NP (PRP it))))))))) (. ?)))"
2331,"(8,)","No it can 't , it 'll be nice to see the back of them ,  .","[No/DT, it/PRP, can/MD, 't/PRP, ,/,, it/PRP, 'll/MD, be/VB, nice/JJ, to/TO, see/VB, the/DT, back/NN, of/IN, them/PRP, ,/,, ./.]","(ROOT (S (S (NP (DT No) (PRP it)) (VP (MD can) (VP (NP (PRP 't))))) (PRN (, ,) (S (NP (PRP it)) (VP (MD 'll) (VP (VB be) (ADJP (JJ nice) (S (VP (TO to) (VP (VB see) (NP (NP (DT the) (NN back)) (PP (IN of) (NP (PRP them))))))))))) (, ,)) (. .)))"
2331,"(9,)","I think of the vast amount of work I 've got planned for six weeks , makes me wish it was about ten .","[I/PRP, think/VBP, of/IN, the/DT, vast/JJ, amount/NN, of/IN, work/NN, I/PRP, 've/VBP, got/VBN, planned/VBN, for/IN, six/CD, weeks/NNS, ,/,, makes/VBZ, me/PRP, wish/VB, it/PRP, was/VBD, about/IN, ten/CD, ./.]","(ROOT (S (S (NP (PRP I)) (VP (VBP think) (PP (IN of) (NP (NP (DT the) (JJ vast) (NN amount)) (PP (IN of) (NP (NN work))))))) (NP (PRP I)) (VP (VBP 've) (VP (VBN got) (S (VP (VBN planned) (PP (IN for) (NP (NP (CD six) (NNS weeks)) (, ,) (VP (VBZ makes) (S (NP (PRP me)) (VP (VB wish) (SBAR (S (NP (PRP it)) (VP (VBD was) (PP (IN about) (NP (CD ten))))))))))))))) (. .)))"
2331,"(10,)",I 'm glad it 's not .,"[I/PRP, 'm/VBP, glad/JJ, it/PRP, 's/VBZ, not/RB, ./.]",(ROOT (S (NP (PRP I)) (VP (VBP 'm) (ADJP (JJ glad) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (RB not)))))) (. .)))
2331,"(11,)",,[],X
2331,"(12,)",You 'll be working twenty four hours a day for those six weeks as it is .,"[You/PRP, 'll/MD, be/VB, working/VBG, twenty/CD, four/CD, hours/NNS, a/DT, day/NN, for/IN, those/DT, six/CD, weeks/NNS, as/IN, it/PRP, is/VBZ, ./.]",(ROOT (S (NP (PRP You)) (VP (MD 'll) (VP (VB be) (VP (VBG working) (ADVP (ADVP (NP (CD twenty) (CD four) (NNS hours)) (NP (NP (DT a) (NN day)) (PP (IN for) (NP (DT those) (CD six) (NNS weeks))))) (SBAR (IN as) (S (NP (PRP it)) (VP (VBZ is)))))))) (. .)))
2331,"(13,)",  .,[./.],(ROOT (NP (. .)))
