24501,"(0,)",Yeah you were saying .,"[Yeah/UH, you/PRP, were/VBD, saying/VBG, ./.]",(ROOT (S (S (INTJ (UH Yeah)) (NP (PRP you)) (VP (VBD were) (VP (VBG saying)))) (. .)))
24501,"(1, 2, 3, 4, 5)","Yeah , you know Joe had a  a bump in his car  erm  on his front  left side ?","[Yeah/UH, ,/,, you/PRP, know/VBP, Joe/NNP, had/VBD, a/DT, a/DT, bump/NN, in/IN, his/PRP$, car/NN, erm/NN, on/IN, his/PRP$, front/JJ, left/JJ, side/NN, ?/.]","(ROOT (S (INTJ (UH Yeah)) (, ,) (NP (PRP you)) (VP (VBP know) (SBAR (S (NP (NNP Joe)) (VP (VBD had) (NP (NP (DT a) (DT a) (NN bump)) (PP (IN in) (NP (PRP$ his) (NN car) (NN erm)))) (PP (IN on) (NP (PRP$ his) (JJ front) (JJ left) (NN side))))))) (. ?)))"
24501,"(6,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
24501,"(7, 8, 9, 10, 11, 12, 13)"," Maureen was telling me   today that erm  he erm  too-  , she took it to the garage  and  there was two bills laying on the table , one were for two hundred and  sixty odd  and were four hundred and seventy some odd","[Maureen/NNP, was/VBD, telling/VBG, me/PRP, today/NN, that/WDT, erm/VBP, he/PRP, erm/VB, too-/NN, ,/,, she/PRP, took/VBD, it/PRP, to/TO, the/DT, garage/NN, and/CC, there/EX, was/VBD, two/CD, bills/NNS, laying/VBG, on/IN, the/DT, table/NN, ,/,, one/CD, were/VBD, for/IN, two/CD, hundred/CD, and/CC, sixty/CD, odd/JJ, and/CC, were/VBD, four/CD, hundred/CD, and/CC, seventy/CD, some/DT, odd/JJ]","(ROOT (S (S (NP (NNP Maureen)) (VP (VBD was) (VP (VBG telling) (NP (PRP me)) (NP (NN today)) (SBAR (WHNP (WDT that)) (S (VP (VBP erm) (S (NP (PRP he)) (VP (VB erm) (NP (NN too-)))))))))) (, ,) (S (NP (PRP she)) (VP (VBD took) (NP (PRP it)) (PP (TO to) (NP (DT the) (NN garage))))) (CC and) (S (NP (EX there)) (VP (VP (VBD was) (SBAR (S (NP (NP (CD two) (NNS bills)) (VP (VBG laying) (PP (IN on) (NP (NP (DT the) (NN table)) (, ,) (NP (CD one)))))) (VP (VBD were) (PP (IN for) (NP (NP (CD two) (CD hundred)) (CC and) (NP (CD sixty)))) (ADJP (JJ odd)))))) (CC and) (VP (VBD were) (NP (NP (QP (CD four) (CD hundred))) (CC and) (NP (NP (CD seventy)) (NP (DT some) (JJ odd)))))))))"
24501,"(14,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
24501,"(15, 16, 17, 18)","so she said  I thought to myself when I went in  I hope the two hundred pound one 's mine , Joe 'll go mad  if it 's over four hundred !","[so/IN, she/PRP, said/VBD, I/PRP, thought/VBD, to/TO, myself/PRP, when/WRB, I/PRP, went/VBD, in/IN, I/PRP, hope/VBP, the/DT, two/CD, hundred/CD, pound/NN, one/NN, 's/POS, mine/NN, ,/,, Joe/NNP, 'll/MD, go/VB, mad/JJ, if/IN, it/PRP, 's/VBZ, over/IN, four/CD, hundred/CD, !/.]","(ROOT (S (S (IN so) (NP (PRP she)) (VP (VBD said) (SBAR (S (NP (PRP I)) (VP (VBD thought) (PP (TO to) (NP (PRP myself))) (SBAR (WHADVP (WRB when)) (S (NP (PRP I)) (VP (VBD went) (SBAR (IN in) (S (NP (PRP I)) (VP (VBP hope) (NP (NP (DT the) (ADJP (QP (CD two) (CD hundred))) (NN pound) (NN one) (POS 's)) (NN mine))))))))))))) (, ,) (NP (NNP Joe)) (VP (MD 'll) (VP (VB go) (ADJP (JJ mad)) (SBAR (IN if) (S (NP (PRP it)) (VP (VBZ 's) (PP (IN over) (NP (CD four) (CD hundred)))))))) (. !)))"
24501,"(19,)","She said and he picked them up and put them both together and it was seven hundred and odd she had to pay out , for her car !","[She/PRP, said/VBD, and/CC, he/PRP, picked/VBD, them/PRP, up/RP, and/CC, put/VBD, them/PRP, both/DT, together/RB, and/CC, it/PRP, was/VBD, seven/CD, hundred/CD, and/CC, odd/JJ, she/PRP, had/VBD, to/TO, pay/VB, out/RP, ,/,, for/IN, her/PRP$, car/NN, !/.]","(ROOT (S (S (S (NP (PRP She)) (VP (VBD said))) (CC and) (S (S (NP (PRP he)) (VP (VP (VBD picked) (NP (PRP them)) (PRT (RP up))) (CC and) (VP (VBD put) (NP (PRP them)) (ADVP (DT both) (RB together))))) (CC and) (S (NP (PRP it)) (VP (VBD was) (NP (QP (CD seven) (CD hundred))))))) (CC and) (S (ADJP (JJ odd) (SBAR (S (NP (PRP she)) (VP (VBD had) (S (VP (TO to) (VP (VB pay) (PRT (RP out)) (, ,) (PP (IN for) (NP (PRP$ her) (NN car))))))))))) (. !)))"
24501,"(20,)",Bloody hell !,"[Bloody/JJ, hell/NN, !/.]",(ROOT (NP (JJ Bloody) (NN hell) (. !)))
24501,"(21, 22, 23, 24, 25, 26)","Yeah , and that wa-  , she said well it 's an insurance job  she said well it don 't matter , you stand the first hundred pound  and then  erm  then the VAT  so she said I dread to think what the price of the job were on the insurance !","[Yeah/UH, ,/,, and/CC, that/IN, wa-/NN, ,/,, she/PRP, said/VBD, well/RB, it/PRP, 's/VBZ, an/DT, insurance/NN, job/NN, she/PRP, said/VBD, well/RB, it/PRP, don/VB, 't/PRP, matter/VB, ,/,, you/PRP, stand/VBP, the/DT, first/JJ, hundred/CD, pound/NN, and/CC, then/RB, erm/NN, then/RB, the/DT, VAT/NN, so/IN, she/PRP, said/VBD, I/PRP, dread/NN, to/TO, think/VB, what/WP, the/DT, price/NN, of/IN, the/DT, job/NN, were/VBD, on/IN, the/DT, insurance/NN, !/.]","(ROOT (S (S (INTJ (UH Yeah)) (, ,) (PRN (S (CC and) (PP (IN that) (NP (NN wa-))) (, ,) (NP (PRP she)) (VP (VBD said) (ADVP (RB well)) (NP (PRP it))))) (VP (VBZ 's) (NP (NP (DT an) (NN insurance) (NN job)) (SBAR (S (NP (PRP she)) (VP (VBD said) (ADVP (RB well)) (SBAR (S (NP (PRP it)) (VP (VB don) (S (NP (PRP 't)) (VP (VB matter)))))))))))) (, ,) (NP (PRP you)) (VP (VBP stand) (NP (DT the) (JJ first) (UCP (NP (CD hundred) (NN pound)) (CC and) (ADVP (RB then))) (NN erm)) (PP (RB then) (NP (DT the) (NN VAT))) (SBAR (IN so) (S (NP (PRP she)) (VP (VBD said) (S (NP (PRP I)) (ADJP (NN dread) (S (VP (TO to) (VP (VB think) (SBAR (WHNP (WP what)) (S (NP (NP (DT the) (NN price)) (PP (IN of) (NP (DT the) (NN job)))) (VP (VBD were) (PP (IN on) (NP (DT the) (NN insurance))))))))))))))) (. !)))"
24501,"(27,)",So she said shall I get any of that back ?,"[So/IN, she/PRP, said/VBD, shall/MD, I/PRP, get/VB, any/DT, of/IN, that/DT, back/NN, ?/.]",(ROOT (S (IN So) (NP (PRP she)) (VP (VBD said) (SBAR (S (VP (MD shall) (NP (PRP I)) (S (VP (VB get) (NP (NP (DT any)) (PP (IN of) (NP (DT that) (NN back)))))))))) (. ?)))
24501,"(28, 29)","She said  only get about seventy pound back , which is the VAT .","[She/PRP, said/VBD, only/RB, get/VB, about/IN, seventy/CD, pound/NN, back/RB, ,/,, which/WDT, is/VBZ, the/DT, VAT/NN, ./.]","(ROOT (S (NP (PRP She)) (VP (VBD said) (RB only) (VP (VB get) (PP (IN about) (NP (NP (CD seventy) (NN pound) (RB back)) (, ,) (SBAR (WHNP (WDT which)) (S (VP (VBZ is) (NP (DT the) (NN VAT))))))))) (. .)))"
