3106,"(0,)",Gosh !,"[Gosh/NNP, !/.]",(ROOT (FRAG (NP (NNP Gosh)) (. !)))
3106,"(1, 2)",I 'm really stupid  you even have to name two big banks .,"[I/PRP, 'm/VBP, really/RB, stupid/JJ, you/PRP, even/RB, have/VBP, to/TO, name/VB, two/CD, big/JJ, banks/NNS, ./.]",(ROOT (S (NP (PRP I)) (VP (VBP 'm) (ADJP (RB really) (JJ stupid) (SBAR (S (NP (PRP you)) (ADVP (RB even)) (VP (VBP have) (S (VP (TO to) (VP (VB name) (NP (CD two) (JJ big) (NNS banks)))))))))) (. .)))
3106,"(3,)",Well that shouldn 't be difficult you see them on every street corner .,"[Well/RB, that/IN, shouldn/NN, 't/PRP, be/VB, difficult/JJ, you/PRP, see/VBP, them/PRP, on/IN, every/DT, street/NN, corner/NN, ./.]",(ROOT (FRAG (ADVP (RB Well)) (SBAR (IN that) (S (NP (NP (NN shouldn)) (SBAR (S (NP (PRP 't)) (VP (VB be) (ADJP (JJ difficult)) (NP (PRP you)))))) (VP (VBP see) (NP (PRP them)) (PP (IN on) (NP (DT every) (NN street) (NN corner)))))) (. .)))
3106,"(4, 5, 6, 7)",It depends where you are  a- wait a minute  Well of course if you 've some Chinese outfit look  I mean you would know all this wouldn 't you ?,"[It/PRP, depends/VBZ, where/WRB, you/PRP, are/VBP, a-/NN, wait/VB, a/DT, minute/NN, Well/RB, of/IN, course/NN, if/IN, you/PRP, 've/VBP, some/DT, Chinese/JJ, outfit/NN, look/NN, I/PRP, mean/VBP, you/PRP, would/MD, know/VB, all/PDT, this/DT, wouldn/NN, 't/PRP, you/PRP, ?/.]",(ROOT (S (NP (PRP It)) (VP (VBZ depends) (SBAR (WHADVP (WRB where)) (S (NP (PRP you)) (VP (VBP are) (S (NP (NN a-)) (VP (VB wait) (SBAR (NP (NP (DT a) (NN minute)) (PP (ADVP (RB Well)) (IN of) (NP (NN course)))) (IN if) (S (NP (PRP you)) (VP (VBP 've) (S (NP (NP (DT some) (JJ Chinese) (NN outfit) (NN look)) (SBAR (S (NP (PRP I)) (VP (VBP mean) (SBAR (S (NP (PRP you)) (VP (MD would) (VP (VB know) (S (NP (PDT all) (DT this) (NN wouldn)) (NP (PRP 't))))))))))) (NP (PRP you)))))))))))) (. ?)))
3106,"(8,)","I have to say so , yes I know a lot about it .","[I/PRP, have/VBP, to/TO, say/VB, so/RB, ,/,, yes/UH, I/PRP, know/VBP, a/DT, lot/NN, about/IN, it/PRP, ./.]","(ROOT (S (S (NP (PRP I)) (VP (VBP have) (S (VP (TO to) (VP (VB say) (ADVP (RB so))))))) (, ,) (S (INTJ (UH yes)) (NP (PRP I)) (VP (VBP know) (NP (NP (DT a) (NN lot)) (PP (IN about) (NP (PRP it)))))) (. .)))"
3106,"(9, 10)", Well I suppose we are typical .,"[Well/RB, I/PRP, suppose/VBP, we/PRP, are/VBP, typical/JJ, ./.]",(ROOT (S (ADVP (RB Well)) (NP (PRP I)) (VP (VBP suppose) (SBAR (S (NP (PRP we)) (VP (VBP are) (ADJP (JJ typical)))))) (. .)))
3106,"(11, 12)",Well I wonder what Lord Hanson will pay me for my I C I shares  they 're still writing .,"[Well/RB, I/PRP, wonder/VBP, what/WP, Lord/NNP, Hanson/NNP, will/MD, pay/VB, me/PRP, for/IN, my/PRP$, I/PRP, C/NN, I/CD, shares/NNS, they/PRP, 're/VBP, still/RB, writing/VBG, ./.]",(ROOT (S (S (INTJ (RB Well)) (NP (PRP I)) (VP (VBP wonder) (SBAR (WHNP (WP what)) (S (NP (NNP Lord) (NNP Hanson)) (VP (MD will) (VP (VB pay) (NP (PRP me)) (PP (IN for) (NP (PRP$ my) (NP (NP (PRP I)) (PP (NN C) (NP (CD I) (NNS shares)))))))))))) (NP (PRP they)) (VP (VBP 're) (ADVP (RB still)) (VP (VBG writing))) (. .)))
3106,"(13,)",No .,"[No/DT, ./.]",(ROOT (FRAG (NP (DT No)) (. .)))
3106,"(14, 15, 16, 17)",Oh yes  people are busy buying  hoping that Lord Hanson will pay them more  when they pay more .,"[Oh/UH, yes/UH, people/NNS, are/VBP, busy/JJ, buying/VBG, hoping/VBG, that/IN, Lord/NNP, Hanson/NNP, will/MD, pay/VB, them/PRP, more/RBR, when/WRB, they/PRP, pay/VBP, more/JJR, ./.]",(ROOT (S (S (INTJ (UH Oh) (UH yes)) (NP (NNS people)) (VP (VBP are) (ADJP (JJ busy) (S (VP (VBG buying) (S (VP (VBG hoping) (SBAR (IN that) (S (NP (NNP Lord) (NNP Hanson)) (VP (MD will) (VP (VB pay) (S (NP (PRP them)) (ADJP (RBR more)) (SBAR (WHADVP (WRB when)) (S (NP (PRP they)) (VP (VBP pay) (NP (JJR more))))))))))))))))) (. .)))
3106,"(18,)",You 'll have to pay the bill won 't you ?,"[You/PRP, 'll/MD, have/VB, to/TO, pay/VB, the/DT, bill/NN, won/VBD, 't/PRP, you/PRP, ?/.]",(ROOT (S (NP (PRP You)) (VP (MD 'll) (VP (VB have) (S (VP (TO to) (VP (VB pay) (SBAR (S (NP (DT the) (NN bill)) (VP (VBD won) (S (NP (PRP 't)) (NP (PRP you))))))))))) (. ?)))
3106,"(19,)",There 's the man who owns Beaumont College now .,"[There/EX, 's/VBZ, the/DT, man/NN, who/WP, owns/VBZ, Beaumont/NNP, College/NNP, now/RB, ./.]",(ROOT (S (NP (EX There)) (VP (VBZ 's) (NP (NP (DT the) (NN man)) (SBAR (WHNP (WP who)) (S (VP (VBZ owns) (NP (NNP Beaumont) (NNP College)) (ADVP (RB now))))))) (. .)))
3106,"(20,)",Show .,"[Show/NN, ./.]",(ROOT (NP (NN Show) (. .)))
3106,"(21,)",Chairman of I C L .,"[Chairman/NN, of/IN, I/PRP, C/NN, L/NN, ./.]",(ROOT (NP (NP (NP (NN Chairman)) (PP (IN of) (NP (PRP I)))) (ADJP (NN C) (NN L)) (. .)))
3106,"(22,)",,[],X
3106,"(23,)",Saatchi Saatchi shows no signs of recovery .,"[Saatchi/NNP, Saatchi/NNP, shows/VBZ, no/DT, signs/NNS, of/IN, recovery/NN, ./.]",(ROOT (S (NP (NNP Saatchi) (NNP Saatchi)) (VP (VBZ shows) (NP (NP (DT no) (NNS signs)) (PP (IN of) (NP (NN recovery))))) (. .)))
3106,"(24,)",,[],X
3106,"(25, 26)",Saatchi brothers salaries have been cut by a half  and they 've appointed a new man .,"[Saatchi/NNP, brothers/NNP, salaries/NNS, have/VBP, been/VBN, cut/VBN, by/IN, a/DT, half/NN, and/CC, they/PRP, 've/VBP, appointed/VBN, a/DT, new/JJ, man/NN, ./.]",(ROOT (S (S (NP (NNP Saatchi) (NNP brothers) (NNS salaries)) (VP (VBP have) (VP (VBN been) (VP (VBN cut) (PP (IN by) (NP (DT a) (NN half))))))) (CC and) (S (NP (PRP they)) (VP (VBP 've) (VP (VBN appointed) (NP (DT a) (JJ new) (NN man))))) (. .)))
3106,"(27,)",They have ?,"[They/PRP, have/VBP, ?/.]",(ROOT (S (NP (PRP They)) (VP (VBP have)) (. ?)))
3106,"(28,)",Robert Louis Briggs to run the company .,"[Robert/NNP, Louis/NNP, Briggs/NNP, to/TO, run/VB, the/DT, company/NN, ./.]",(ROOT (S (NP (NNP Robert) (NNP Louis) (NNP Briggs)) (VP (TO to) (VP (VB run) (NP (DT the) (NN company)))) (. .)))
3106,"(29,)",Who is he ?,"[Who/WP, is/VBZ, he/PRP, ?/.]",(ROOT (SBARQ (WHNP (WP Who)) (SQ (VBZ is) (NP (PRP he))) (. ?)))
3106,"(30, 31)",French banker I think  Mr Arnold wanted to know why Maurice and Charles Saatchi were being paid such a ridiculously large salary when the state of the company was so absolutely dreadful .,"[French/JJ, banker/NN, I/PRP, think/VBP, Mr/NN, Arnold/NNP, wanted/VBD, to/TO, know/VB, why/WRB, Maurice/NNP, and/CC, Charles/NNP, Saatchi/NNP, were/VBD, being/VBG, paid/VBN, such/PDT, a/DT, ridiculously/RB, large/JJ, salary/NN, when/WRB, the/DT, state/NN, of/IN, the/DT, company/NN, was/VBD, so/RB, absolutely/RB, dreadful/JJ, ./.]",(ROOT (S (NP (NP (JJ French) (NN banker)) (SBAR (S (NP (PRP I)) (VP (VBP think) (NP (NN Mr) (NNP Arnold)))))) (VP (VBD wanted) (S (VP (TO to) (VP (VB know) (SBAR (WHADVP (WRB why)) (S (NP (NNP Maurice) (CC and) (NNP Charles) (NNP Saatchi)) (VP (VBD were) (VP (VBG being) (VP (VBN paid) (S (NP (PDT such) (DT a) (ADJP (RB ridiculously) (JJ large)) (NN salary))) (SBAR (WHADVP (WRB when)) (S (NP (NP (DT the) (NN state)) (PP (IN of) (NP (DT the) (NN company)))) (VP (VBD was) (ADJP (RB so) (RB absolutely) (JJ dreadful)))))))))))))) (. .)))
3106,"(32,)",So ?,"[So/RB, ?/.]",(ROOT (FRAG (ADVP (RB So)) (. ?)))
3106,"(33, 34)",Mr Maurice Saatchi who now gets three hundred and ten thousand pounds a year compared with six hundred thousand pounds a year two years ago replied I 'm quite satisfied  that involuntary taking a fifty per cent pay cut I have done the right thing .,"[Mr/NNP, Maurice/NNP, Saatchi/NNP, who/WP, now/RB, gets/VBZ, three/CD, hundred/CD, and/CC, ten/CD, thousand/CD, pounds/NNS, a/DT, year/NN, compared/VBN, with/IN, six/CD, hundred/CD, thousand/CD, pounds/NNS, a/DT, year/NN, two/CD, years/NNS, ago/IN, replied/VBD, I/PRP, 'm/VBP, quite/RB, satisfied/JJ, that/IN, involuntary/JJ, taking/VBG, a/DT, fifty/CD, per/IN, cent/NN, pay/NN, cut/NN, I/PRP, have/VBP, done/VBN, the/DT, right/JJ, thing/NN, ./.]",(ROOT (S (NP (NP (NNP Mr) (NNP Maurice) (NNP Saatchi)) (SBAR (WHNP (WP who)) (S (ADVP (RB now)) (VP (VBZ gets) (NP (NP (QP (CD three) (CD hundred) (CC and) (CD ten) (CD thousand)) (NNS pounds)) (NP (DT a) (NN year)) (PP (VBN compared) (PP (IN with) (NP (NP (CD six) (CD hundred) (CD thousand) (NNS pounds)) (NP (DT a) (NN year)))))))))) (ADVP (NP (CD two) (NNS years)) (IN ago)) (VP (VBD replied) (SBAR (S (NP (PRP I)) (VP (VBP 'm) (ADJP (RB quite) (JJ satisfied) (SBAR (IN that) (S (NP (NP (JJ involuntary)) (VP (VBG taking) (S (NP (NP (DT a) (CD fifty)) (PP (IN per) (NP (NN cent) (NN pay) (NN cut)))) (NP (PRP I))))) (VP (VBP have) (VP (VBN done) (NP (DT the) (JJ right) (NN thing))))))))))) (. .)))
3106,"(35,)",Well .,"[Well/RB, ./.]",(ROOT (FRAG (ADVP (RB Well)) (. .)))
3106,"(36, 37)",Well they 've lost their company  they 've lost control of their company .,"[Well/RB, they/PRP, 've/VBP, lost/VBN, their/PRP$, company/NN, they/PRP, 've/VBP, lost/VBN, control/NN, of/IN, their/PRP$, company/NN, ./.]",(ROOT (S (ADVP (RB Well)) (NP (PRP they)) (VP (VBP 've) (VP (VBN lost) (NP (NP (PRP$ their) (NN company)) (SBAR (S (NP (PRP they)) (VP (VBP 've) (VP (VBN lost) (NP (NP (NN control)) (PP (IN of) (NP (PRP$ their) (NN company))))))))))) (. .)))
3106,"(38,)",They founded it ?,"[They/PRP, founded/VBD, it/PRP, ?/.]",(ROOT (S (NP (PRP They)) (VP (VBD founded) (NP (PRP it))) (. ?)))
3106,"(39, 40, 41, 42, 43)",Oh yes and    and then it got too big for them  they are no longer able to control it  they 're not big enough for a big power  two very big big brothers but they couldn 't run a company the size they built it .,"[Oh/UH, yes/UH, and/CC, and/CC, then/RB, it/PRP, got/VBD, too/RB, big/JJ, for/IN, them/PRP, they/PRP, are/VBP, no/RB, longer/RB, able/JJ, to/TO, control/VB, it/PRP, they/PRP, 're/VBP, not/RB, big/JJ, enough/RB, for/IN, a/DT, big/JJ, power/NN, two/CD, very/RB, big/JJ, big/NNP, brothers/NNS, but/CC, they/PRP, couldn/VBP, 't/PRP, run/VB, a/DT, company/NN, the/DT, size/NN, they/PRP, built/VBD, it/PRP, ./.]",(ROOT (S (S (INTJ (UH Oh) (UH yes)) (NP (CC and)) (VP (CC and) (VP (PP (RB then) (NP (PRP it))) (VBD got) (NP (NP (RB too) (JJ big)) (PP (IN for) (NP (PRP them))) (SBAR (S (NP (PRP they)) (VP (VBP are) (ADVP (RB no) (RB longer)) (ADJP (JJ able) (S (VP (TO to) (VP (VB control) (NP (PRP it)) (SBAR (S (NP (PRP they)) (VP (VBP 're) (RB not) (ADJP (JJ big) (RB enough)) (PP (IN for) (NP (DT a) (JJ big) (NN power)) (NP (CD two) (ADJP (RB very) (JJ big)) (NNP big) (NNS brothers))))))))))))))))) (CC but) (S (NP (PRP they)) (VP (VBP couldn) (S (NP (PRP 't)) (VP (VB run) (NP (DT a) (NN company)) (NP (NP (DT the) (NN size)) (SBAR (S (NP (PRP they)) (VP (VBD built) (NP (PRP it)))))))))) (. .)))
3106,"(44, 45)","What are they ,i- erm  financiers or gr- or or artists ?","[What/WP, are/VBP, they/PRP, ,i-/JJ, erm/NN, financiers/NNS, or/CC, gr-/NN, or/CC, or/CC, artists/NNS, ?/.]","(ROOT (SBARQ (WHNP (WP What)) (SQ (VBP are) (NP (PRP they)) (NP (NP (QP (NP (JJ ,i-) (NN erm) (NNS financiers)) (CC or) (NP (NN gr-))) (CC or)) (CC or) (NP (NNS artists)))) (. ?)))"
3106,"(46,)",Oh they 're advertising .,"[Oh/UH, they/PRP, 're/VBP, advertising/VBG, ./.]",(ROOT (S (S (INTJ (UH Oh)) (NP (PRP they)) (VP (VBP 're) (VP (VBG advertising)))) (. .)))
3106,"(47,)","What , advertising ?","[What/WP, ,/,, advertising/NN, ?/.]","(ROOT (NP (NP (WP What)) (, ,) (NP (NN advertising)) (. ?)))"
3106,"(48,)","One is a   , one is an advertiser of embassy of the consulate , good combination .","[One/CD, is/VBZ, a/DT, ,/,, one/CD, is/VBZ, an/DT, advertiser/NN, of/IN, embassy/NNP, of/IN, the/DT, consulate/NN, ,/,, good/JJ, combination/NN, ./.]","(ROOT (S (S (NP (CD One)) (VP (VBZ is) (NP (DT a)))) (, ,) (NP (CD one)) (VP (VBZ is) (NP (NP (DT an) (NN advertiser)) (PP (IN of) (NP (NP (NNP embassy)) (PP (IN of) (NP (NP (DT the) (NN consulate)) (, ,) (NP (JJ good) (NN combination)))))))) (. .)))"
3106,"(49,)","Oh , Oh I see .","[Oh/UH, ,/,, Oh/UH, I/PRP, see/VBP, ./.]","(ROOT (S (S (INTJ (UH Oh) (, ,) (UH Oh)) (NP (PRP I)) (VP (VBP see))) (. .)))"
