38606,"(0,)","Did you see this erm , Bill then ?","[Did/VBD, you/PRP, see/VB, this/DT, erm/NN, ,/,, Bill/NN, then/RB, ?/.]","(ROOT (SQ (VBD Did) (NP (PRP you)) (VP (VB see) (NP (NP (DT this) (NN erm)) (, ,) (NP (NN Bill))) (ADVP (RB then))) (. ?)))"
38606,"(1, 2)",With somebody with  fingers chopped off ?,"[With/IN, somebody/NN, with/IN, fingers/NNS, chopped/VBN, off/RP, ?/.]",(ROOT (FRAG (PP (IN With) (NP (NP (NN somebody)) (PP (IN with) (NP (NP (NNS fingers)) (VP (VBN chopped) (PRT (RP off))))))) (. ?)))
38606,"(3,)", Yeah   !,"[Yeah/UH, !/.]",(ROOT (INTJ (UH Yeah) (. !)))
38606,"(4,)", The fingers en route and for the purpose of being chilled   were placed in a packet of ice lollies !,"[The/DT, fingers/NNS, en/IN, route/NN, and/CC, for/IN, the/DT, purpose/NN, of/IN, being/VBG, chilled/VBN, were/VBD, placed/VBN, in/IN, a/DT, packet/NN, of/IN, ice/NN, lollies/NNS, !/.]",(ROOT (S (NP (NP (DT The) (NNS fingers)) (UCP (ADVP (IN en) (NN route)) (CC and) (PP (IN for) (NP (NP (DT the) (NN purpose)) (PP (IN of) (S (VP (VBG being) (VP (VBN chilled))))))))) (VP (VBD were) (VP (VBN placed) (PP (IN in) (NP (NP (DT a) (NN packet)) (PP (IN of) (NP (NN ice) (NNS lollies))))))) (. !)))
38606,"(5,)",That 's right !,"[That/DT, 's/VBZ, right/JJ, !/.]",(ROOT (S (NP (DT That)) (VP (VBZ 's) (ADJP (JJ right))) (. !)))
38606,"(6,)",It,[It/PRP],(ROOT (FRAG (NP (PRP It))))
38606,"(7,)", Oh God   !,"[Oh/UH, God/NNP, !/.]",(ROOT (S (VP (NP (INTJ (UH Oh)) (NP (NNP God)))) (. !)))
38606,"(8,)","They , they had to get ice you see","[They/PRP, ,/,, they/PRP, had/VBD, to/TO, get/VB, ice/NN, you/PRP, see/VBP]","(ROOT (NP (S (NP (PRP They)) (, ,) (NP (PRP they)) (VP (VBD had) (S (VP (TO to) (VP (VB get) (NP (NP (NN ice)) (SBAR (S (NP (PRP you)) (VP (VBP see))))))))))))"
38606,"(9,)", Yeah   .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
38606,"(10,)","to put these things in ice and they hadn 't got any of the , of the","[to/TO, put/VB, these/DT, things/NNS, in/IN, ice/NN, and/CC, they/PRP, hadn/VBP, 't/PRP, got/VBD, any/DT, of/IN, the/DT, ,/,, of/IN, the/DT]","(ROOT (NP (S (S (VP (TO to) (VP (VB put) (NP (DT these) (NNS things)) (PP (IN in) (NP (NN ice)))))) (CC and) (S (NP (PRP they)) (VP (VBP hadn) (SBAR (S (NP (PRP 't)) (VP (VBD got) (NP (NP (DT any)) (PP (IN of) (NP (DT the)))) (, ,) (ADVP (IN of) (DT the))))))))))"
38606,"(11,)"," When the unpleasant severed object   finally arrived at the hospital a nurse said brightly , normally one would   , fingers crossed !","[When/WRB, the/DT, unpleasant/JJ, severed/VBN, object/NN, finally/RB, arrived/VBD, at/IN, the/DT, hospital/NN, a/DT, nurse/NN, said/VBD, brightly/RB, ,/,, normally/RB, one/CD, would/MD, ,/,, fingers/NNS, crossed/VBD, !/.]","(ROOT (S (S (SBAR (WHADVP (WRB When)) (S (NP (DT the) (JJ unpleasant) (VBN severed) (NN object)) (ADVP (RB finally)) (VP (VBD arrived) (PP (IN at) (NP (NP (DT the) (NN hospital)) (SBAR (S (NP (DT a) (NN nurse)) (VP (VBD said) (ADVP (RB brightly)))))))))) (, ,) (ADVP (RB normally)) (NP (CD one)) (VP (MD would))) (, ,) (NP (NNS fingers)) (VP (VBD crossed)) (. !)))"
38606,"(12, 13)", That 's right !,"[That/DT, 's/VBZ, right/JJ, !/.]",(ROOT (S (NP (DT That)) (VP (VBZ 's) (ADJP (JJ right))) (. !)))
38606,"(14, 15, 16, 17, 18)","Th- th- the final  the final sort of sick joke was the fact that erm  having  having disposed of the fingers to the theatre , the hospital  they 'd got this box of ice lollies so they proceeded   then to give them to people !","[Th-/JJ, th-/IN, the/DT, final/JJ, the/DT, final/JJ, sort/NN, of/IN, sick/JJ, joke/NN, was/VBD, the/DT, fact/NN, that/IN, erm/NN, having/VBG, having/VBG, disposed/VBN, of/IN, the/DT, fingers/NNS, to/TO, the/DT, theatre/NN, ,/,, the/DT, hospital/NN, they/PRP, 'd/MD, got/VBD, this/DT, box/NN, of/IN, ice/NN, lollies/NNS, so/IN, they/PRP, proceeded/VBD, then/RB, to/TO, give/VB, them/PRP, to/TO, people/NNS, !/.]","(ROOT (FRAG (ADJP (JJ Th-) (PP (IN th-) (NP (DT the) (JJ final)))) (S (NP (NP (DT the) (JJ final) (NN sort)) (PP (IN of) (NP (JJ sick) (NN joke)))) (VP (VBD was) (NP (DT the) (NN fact)) (SBAR (IN that) (S (NP (NP (NN erm)) (VP (VBG having) (S (VP (VBG having) (VP (VBN disposed) (PP (IN of) (NP (DT the) (NNS fingers))) (PP (TO to) (NP (NP (DT the) (NN theatre)) (, ,) (NP (NP (DT the) (NN hospital)) (SBAR (S (NP (PRP they)) (VP (MD 'd)))))))))))) (VP (VBD got) (NP (NP (DT this) (NN box)) (PP (IN of) (NP (NN ice) (NNS lollies)))) (SBAR (IN so) (S (NP (PRP they)) (VP (VBD proceeded) (S (RB then) (VP (TO to) (VP (VB give) (NP (PRP them)) (PP (TO to) (NP (NNS people)))))))))))))) (. !)))"
38606,"(19,)",Handed them out at the Police Station !,"[Handed/VBN, them/PRP, out/RP, at/IN, the/DT, Police/NN, Station/NN, !/.]",(ROOT (VP (VBN Handed) (NP (PRP them)) (PRT (RP out)) (X (PP (IN at) (NP (DT the) (NN Police) (NN Station)) (. !)))))
38606,"(20,)",Have a ice lolly   !,"[Have/VB, a/DT, ice/NN, lolly/RB, !/.]",(ROOT (SQ (VP (VB Have) (NP (DT a) (NN ice)) (ADVP (RB lolly))) (. !)))
38606,"(21, 22)"," Yeah , that was very funny !","[Yeah/UH, ,/,, that/DT, was/VBD, very/RB, funny/JJ, !/.]","(ROOT (S (INTJ (UH Yeah)) (, ,) (NP (DT that)) (VP (VBD was) (ADJP (RB very) (JJ funny))) (. !)))"
