38805,"(0,)",She doesn 't need a licence I know that .,"[She/PRP, doesn/VBZ, 't/PRP, need/VB, a/DT, licence/NN, I/PRP, know/VBP, that/IN, ./.]",(ROOT (S (NP (PRP She)) (VP (VBZ doesn) (S (NP (PRP 't)) (VP (VB need) (NP (NP (DT a) (NN licence)) (SBAR (S (NP (PRP I)) (VP (VBP know) (ADVP (IN that))))))))) (. .)))
38805,"(1, 2)","But I mean , you know  yeah , during the war you got one for","[But/CC, I/PRP, mean/VBP, ,/,, you/PRP, know/VBP, yeah/UH, ,/,, during/IN, the/DT, war/NN, you/PRP, got/VBD, one/CD, for/IN]","(ROOT (S (CC But) (NP (PRP I)) (VP (VBP mean) (, ,) (SBAR (S (NP (PRP you)) (VP (VBP know) (NP (UH yeah)) (, ,) (PP (IN during) (NP (NP (DT the) (NN war)) (SBAR (S (NP (PRP you)) (VP (VBD got) (NP (CD one)) (PP (IN for)))))))))))))"
38805,"(3,)",You did it yourself .,"[You/PRP, did/VBD, it/PRP, yourself/PRP, ./.]",(ROOT (S (NP (PRP You)) (VP (VBD did) (S (NP (PRP it)) (NP (PRP yourself)))) (. .)))
38805,"(4, 5)",Nobody was  doing that then .,"[Nobody/NN, was/VBD, doing/VBG, that/IN, then/RB, ./.]",(ROOT (S (NP (NN Nobody)) (VP (VBD was) (VP (VBG doing) (SBAR (IN that) (FRAG (ADVP (RB then)))))) (. .)))
38805,"(6,)",You swapped your provisional licence automatically for a full licence .,"[You/PRP, swapped/VBD, your/PRP$, provisional/JJ, licence/NN, automatically/RB, for/IN, a/DT, full/JJ, licence/NN, ./.]",(ROOT (S (NP (PRP You)) (VP (VBD swapped) (NP (PRP$ your) (JJ provisional) (NN licence)) (ADVP (RB automatically)) (PP (IN for) (NP (DT a) (JJ full) (NN licence)))) (. .)))
38805,"(7,)",Well and get a couple of days like today these daffs will be out you know !,"[Well/RB, and/CC, get/VB, a/DT, couple/NN, of/IN, days/NNS, like/IN, today/NN, these/DT, daffs/NNS, will/MD, be/VB, out/IN, you/PRP, know/VBP, !/.]",(ROOT (S (INTJ (RB Well)) (VP (ADVP (CC and)) (VB get) (NP (NP (DT a) (NN couple)) (PP (IN of) (NP (NNS days)))) (SBAR (IN like) (S (NP (NN today)) (NP (DT these) (NNS daffs)) (VP (MD will) (VP (VB be) (PP (IN out) (S (NP (PRP you)) (VP (VBP know))))))))) (. !)))
38805,"(8,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
38805,"(9,)","And now co-  , considering it 's still February we 've got quite a lot of blossom out in that garden .","[And/CC, now/RB, co-/NN, ,/,, considering/VBG, it/PRP, 's/VBZ, still/RB, February/NNP, we/PRP, 've/VBP, got/VBN, quite/RB, a/DT, lot/NN, of/IN, blossom/NN, out/IN, in/IN, that/DT, garden/NN, ./.]","(ROOT (S (CC And) (ADVP (RB now)) (NP (NN co-)) (, ,) (S (VP (VBG considering) (NP (PRP it)))) (VP (VBZ 's) (ADVP (RB still)) (NP (NP (NNP February)) (SBAR (S (NP (PRP we)) (VP (VBP 've) (VP (VBN got) (NP (NP (RB quite) (DT a) (NN lot)) (PP (IN of) (NP (NN blossom)))) (ADVP (IN out) (PP (IN in) (NP (DT that) (NN garden)))))))))) (. .)))"
38805,"(10,)",Absolutely !,"[Absolutely/RB, !/.]",(ROOT (FRAG (ADVP (RB Absolutely)) (. !)))
38805,"(11,)",I was looking at it the other day and I was thinking all the bits that are out now .,"[I/PRP, was/VBD, looking/VBG, at/IN, it/PRP, the/DT, other/JJ, day/NN, and/CC, I/PRP, was/VBD, thinking/VBG, all/PDT, the/DT, bits/NNS, that/WDT, are/VBP, out/RB, now/RB, ./.]",(ROOT (S (S (NP (PRP I)) (VP (VBD was) (VP (VBG looking) (PP (IN at) (NP (PRP it))) (NP (DT the) (JJ other) (NN day))))) (CC and) (S (NP (PRP I)) (VP (VBD was) (VP (VBG thinking) (NP (NP (PDT all) (DT the) (NNS bits)) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (ADVP (RB out)) (ADVP (RB now))))))))) (. .)))
38805,"(12,)",I mean those snowdrops are,"[I/PRP, mean/VBP, those/DT, snowdrops/NNS, are/VBP]",(ROOT (S (NP (PRP I)) (VP (VBP mean) (SBAR (S (NP (DT those) (NNS snowdrops)) (VP (VBP are)))))))
