39302,"(0, 1, 2)",Yes the erm  coffee is two lots of one eighty nine so that 's three seventy  eight isn 't it ?,"[Yes/UH, the/DT, erm/NN, coffee/NN, is/VBZ, two/CD, lots/NNS, of/IN, one/CD, eighty/CD, nine/CD, so/IN, that/DT, 's/VBZ, three/CD, seventy/CD, eight/CD, isn/NN, 't/PRP, it/PRP, ?/.]",(ROOT (S (S (INTJ (UH Yes)) (NP (DT the) (NN erm) (NN coffee)) (VP (VBZ is) (NP (NP (CD two) (NNS lots)) (PP (IN of) (NP (QP (CD one) (CD eighty)) (CD nine)))))) (IN so) (S (NP (DT that)) (VP (VBZ 's) (NP (NP (CD three) (CD seventy)) (NP (NP (CD eight) (NN isn)) (NP (PRP 't)) (NP (PRP it)))))) (. ?)))
39302,"(3,)",Mm .,"[Mm/NN, ./.]",(ROOT (NP (NN Mm) (. .)))
39302,"(4,)","Oh that 's lovely , three years ago my sister died leaving a household of two men , my brother-in-law aged eighty and myself approaching retirement age to cope with ourselves , to cope for ourselves .","[Oh/UH, that/DT, 's/VBZ, lovely/JJ, ,/,, three/CD, years/NNS, ago/IN, my/PRP$, sister/NN, died/VBD, leaving/VBG, a/DT, household/NN, of/IN, two/CD, men/NNS, ,/,, my/PRP$, brother-in-law/NN, aged/JJ, eighty/CD, and/CC, myself/PRP, approaching/VBG, retirement/NN, age/NN, to/TO, cope/VB, with/IN, ourselves/PRP, ,/,, to/TO, cope/VB, for/IN, ourselves/PRP, ./.]","(ROOT (S (S (S (INTJ (UH Oh)) (NP (DT that)) (VP (VBZ 's) (ADJP (JJ lovely)))) (, ,) (ADVP (NP (CD three) (NNS years)) (IN ago)) (S (NP (PRP$ my) (NN sister)) (VP (VBD died) (S (VP (VBG leaving) (NP (NP (DT a) (NN household)) (PP (IN of) (NP (CD two) (NNS men))))))))) (, ,) (S (NP (PRP$ my) (NN brother-in-law)) (ADJP (JJ aged) (NP (CD eighty)))) (CC and) (S (NP (PRP myself)) (VP (VBG approaching) (NP (NN retirement) (NN age)) (S (VP (TO to) (VP (VB cope) (PP (IN with) (NP (PRP ourselves))) (, ,) (S (VP (TO to) (VP (VB cope) (PP (IN for) (NP (PRP ourselves))))))))))) (. .)))"
39302,"(5, 6)","Er because neither of us could really manage in the kitchen it was not long before we became very tired of having to eat convenience food  sad looking old meat pies , dried out chips and heated up frozen vegetables soon palled .","[Er/NN, because/IN, neither/DT, of/IN, us/PRP, could/MD, really/RB, manage/VB, in/IN, the/DT, kitchen/NN, it/PRP, was/VBD, not/RB, long/RB, before/IN, we/PRP, became/VBD, very/RB, tired/JJ, of/IN, having/VBG, to/TO, eat/VB, convenience/NN, food/NN, sad/JJ, looking/VBG, old/JJ, meat/NN, pies/NNS, ,/,, dried/VBD, out/RP, chips/NNS, and/CC, heated/VBN, up/RP, frozen/JJ, vegetables/NNS, soon/RB, palled/VBD, ./.]","(ROOT (S (NP (NP (NN Er)) (SBAR (IN because) (S (NP (NP (DT neither)) (PP (IN of) (NP (PRP us)))) (VP (MD could) (ADVP (RB really)) (VP (VB manage) (PP (IN in) (NP (NP (DT the) (NN kitchen)) (SBAR (S (NP (PRP it)) (VP (VP (VBD was) (RB not) (ADJP (RB long)) (SBAR (IN before) (S (NP (PRP we)) (VP (VBD became) (ADJP (RB very) (JJ tired)) (PP (IN of) (S (VP (VBG having) (S (VP (TO to) (VP (VB eat) (S (NP (NN convenience) (NN food)) (ADJP (JJ sad)) (S (VP (VBG looking) (NP (JJ old) (NN meat) (NNS pies))))))))))))))) (, ,) (VP (VBD dried) (PRT (RP out)) (NP (NNS chips))) (CC and) (VP (VBN heated) (PRT (RP up)) (NP (JJ frozen) (NNS vegetables))))))))))))) (ADVP (RB soon)) (VP (VBD palled)) (. .)))"
39302,"(7, 8, 9)","I began to despair  in the local press I noticed an advert for an evening class , cookery for men  being the young one in the family I plucked up courage and enrolled but it was great , with great apprehension that I went to the first class .","[I/PRP, began/VBD, to/TO, despair/NN, in/IN, the/DT, local/JJ, press/NN, I/PRP, noticed/VBD, an/DT, advert/NN, for/IN, an/DT, evening/NN, class/NN, ,/,, cookery/NN, for/IN, men/NNS, being/VBG, the/DT, young/JJ, one/CD, in/IN, the/DT, family/NN, I/PRP, plucked/VBD, up/RP, courage/NN, and/CC, enrolled/VBN, but/CC, it/PRP, was/VBD, great/JJ, ,/,, with/IN, great/JJ, apprehension/NN, that/IN, I/PRP, went/VBD, to/TO, the/DT, first/JJ, class/NN, ./.]","(ROOT (S (S (NP (PRP I)) (VP (VBD began) (PP (TO to) (NP (NN despair))) (PP (IN in) (NP (NP (DT the) (JJ local) (NN press)) (SBAR (S (NP (PRP I)) (VP (VBD noticed) (NP (DT an) (NN advert)) (PP (IN for) (NP (NP (DT an) (NN evening) (NN class)) (, ,) (NP (NP (NN cookery)) (PP (IN for) (NP (NNS men)))))) (S (VP (VBG being) (NP (NP (DT the) (JJ young) (CD one)) (PP (IN in) (NP (NP (DT the) (NN family)) (SBAR (S (NP (PRP I)) (VP (VP (VBD plucked) (PRT (RP up)) (NP (NN courage))) (CC and) (VP (VBN enrolled))))))))))))))))) (CC but) (S (NP (PRP it)) (VP (VBD was) (ADJP (JJ great)) (, ,) (PP (IN with) (NP (NP (JJ great) (NN apprehension)) (SBAR (IN that) (S (NP (PRP I)) (VP (VBD went) (PP (TO to) (NP (DT the) (JJ first) (NN class)))))))))) (. .)))"
39302,"(10,)",I needn 't have worried .,"[I/PRP, needn/VBP, 't/PRP, have/VB, worried/VBN, ./.]",(ROOT (S (NP (PRP I)) (VP (VBP needn) (S (NP (PRP 't)) (VP (VB have) (VP (VBN worried))))) (. .)))
39302,"(11,)","There were twenty of us , other chaps in much the same boat as me , Nancy our tutor was cheerful , down to earth and did not expect us to be cordon bleu cooks .","[There/EX, were/VBD, twenty/CD, of/IN, us/PRP, ,/,, other/JJ, chaps/NNS, in/IN, much/JJ, the/DT, same/JJ, boat/NN, as/IN, me/PRP, ,/,, Nancy/NNP, our/PRP$, tutor/NN, was/VBD, cheerful/JJ, ,/,, down/IN, to/TO, earth/NNP, and/CC, did/VBD, not/RB, expect/VB, us/PRP, to/TO, be/VB, cordon/JJ, bleu/NN, cooks/NNS, ./.]","(ROOT (S (NP (EX There)) (VP (VBD were) (NP (NP (NP (CD twenty)) (PP (IN of) (NP (PRP us)))) (, ,) (NP (NP (JJ other) (NNS chaps)) (PP (IN in) (NP (NP (JJ much) (DT the) (JJ same) (NN boat)) (PP (IN as) (NP (PRP me)))))) (, ,) (NP (NP (NNP Nancy)) (SBAR (S (NP (PRP$ our) (NN tutor)) (VP (VP (VBD was) (ADJP (JJ cheerful))) (, ,) (VP (ADVP (IN down)) (PP (TO to) (NP (NNP earth)))) (CC and) (VP (VBD did) (RB not) (VP (VB expect) (S (NP (PRP us)) (VP (TO to) (VP (VB be) (NP (JJ cordon) (NN bleu) (NNS cooks))))))))))))) (. .)))"
39302,"(12,)",That course changed my life .,"[That/DT, course/NN, changed/VBD, my/PRP$, life/NN, ./.]",(ROOT (S (NP (DT That) (NN course)) (VP (VBD changed) (NP (PRP$ my) (NN life))) (. .)))
39302,"(13,)","With a mixture of demonstrations , simple methods and constant humour , Nancy taught us to fend for ourselves .","[With/IN, a/DT, mixture/NN, of/IN, demonstrations/NNS, ,/,, simple/JJ, methods/NNS, and/CC, constant/JJ, humour/NN, ,/,, Nancy/NNP, taught/VBD, us/PRP, to/TO, fend/VB, for/IN, ourselves/PRP, ./.]","(ROOT (S (PP (IN With) (NP (NP (DT a) (NN mixture)) (PP (IN of) (NP (NP (NNS demonstrations)) (, ,) (NP (JJ simple) (NNS methods)) (CC and) (NP (JJ constant) (NN humour)))))) (, ,) (NP (NNP Nancy)) (VP (VBD taught) (S (NP (PRP us)) (VP (TO to) (VP (VB fend) (PP (IN for) (NP (PRP ourselves))))))) (. .)))"
39302,"(14,)","I now have the confidence to tackle almost anything in the kitchen , pies , pastas , cakes , soups , meat dishes , vegetables and bread .","[I/PRP, now/RB, have/VBP, the/DT, confidence/NN, to/TO, tackle/VB, almost/RB, anything/NN, in/IN, the/DT, kitchen/NN, ,/,, pies/NNS, ,/,, pastas/NNS, ,/,, cakes/NNS, ,/,, soups/NNS, ,/,, meat/NN, dishes/NNS, ,/,, vegetables/NNS, and/CC, bread/NN, ./.]","(ROOT (S (NP (PRP I)) (ADVP (RB now)) (VP (VBP have) (NP (DT the) (NN confidence) (S (VP (TO to) (VP (VB tackle) (NP (NP (RB almost) (NN anything)) (PP (IN in) (NP (DT the) (NN kitchen) (, ,) (NNS pies) (, ,) (NNS pastas) (, ,) (NNS cakes) (, ,) (NNS soups) (, ,) (NN meat) (NNS dishes) (, ,) (NNS vegetables) (CC and) (NN bread))))))))) (. .)))"
39302,"(15,)","There have been many disasters along the road , Yorkshire puddings you could sole your shoes with , burnt offerings of several varieties , a pat that even my dog wouldn 't eat and last Christmas a chocolate log that disintegrated , the proud little Santa on top sinking without   trace in a sea of chocolate gunge .","[There/EX, have/VBP, been/VBN, many/JJ, disasters/NNS, along/IN, the/DT, road/NN, ,/,, Yorkshire/NNP, puddings/NNS, you/PRP, could/MD, sole/JJ, your/PRP$, shoes/NNS, with/IN, ,/,, burnt/JJ, offerings/NNS, of/IN, several/JJ, varieties/NNS, ,/,, a/DT, pat/NN, that/WDT, even/RB, my/PRP$, dog/NN, wouldn/VBN, 't/PRP, eat/VB, and/CC, last/VB, Christmas/NNP, a/DT, chocolate/NN, log/NN, that/WDT, disintegrated/VBD, ,/,, the/DT, proud/JJ, little/JJ, Santa/NNP, on/IN, top/JJ, sinking/NN, without/IN, trace/NN, in/IN, a/DT, sea/NN, of/IN, chocolate/NN, gunge/NN, ./.]","(ROOT (SINV (S (NP (EX There)) (VP (VBP have) (VP (VBN been) (NP (NP (JJ many) (NNS disasters)) (PP (IN along) (NP (DT the) (NN road)))) (, ,) (S (NP (NNP Yorkshire) (NNS puddings)) (NP (PRP you)))))) (VP (MD could)) (NP (NP (JJ sole) (PRP$ your) (NNS shoes)) (PP (IN with)) (, ,) (ADJP (JJ burnt) (NP (NP (NP (NNS offerings)) (PP (IN of) (NP (JJ several) (NNS varieties)))) (, ,) (NP (NP (DT a) (NN pat)) (SBAR (WHNP (WDT that)) (S (NP (NP (RB even) (PRP$ my) (NN dog)) (VP (VBN wouldn) (S (NP (PRP 't)) (VP (VB eat) (CC and) (VB last) (NP (NNP Christmas)))))) (VP (NP (NP (DT a) (NN chocolate) (NN log)) (SBAR (WHNP (WDT that)) (S (VP (VBD disintegrated))))) (, ,) (NP (NP (DT the) (ADJP (JJ proud) (JJ little)) (NNP Santa)) (PP (IN on) (NP (JJ top) (NN sinking))) (PP (IN without) (NP (NN trace))) (PP (IN in) (NP (NP (DT a) (NN sea)) (PP (IN of) (NP (NN chocolate) (NN gunge))))))))))))) (. .)))"
