39616,"(0,)",Good gracious !,"[Good/JJ, gracious/JJ, !/.]",(ROOT (FRAG (ADJP (JJ Good) (JJ gracious)) (. !)))
39616,"(1,)", Times may be tough but it seems we 're taking less care of our money than ever before .,"[Times/NNS, may/MD, be/VB, tough/JJ, but/CC, it/PRP, seems/VBZ, we/PRP, 're/VBP, taking/VBG, less/RBR, care/NN, of/IN, our/PRP$, money/NN, than/IN, ever/RB, before/RB, ./.]",(ROOT (S (S (NP (NNS Times)) (VP (MD may) (VP (VB be) (ADJP (JJ tough))))) (CC but) (S (NP (PRP it)) (VP (VBZ seems) (SBAR (S (NP (PRP we)) (VP (VBP 're) (VP (VBG taking) (ADVP (RBR less)) (NP (NP (NN care)) (PP (IN of) (NP (PRP$ our) (NN money)))) (PP (IN than) (ADVP (RB ever) (RB before))))))))) (. .)))
39616,"(2,)",According to the Royal Mint around twenty three thousand pounds of coins a day disappear !,"[According/VBG, to/TO, the/DT, Royal/NNP, Mint/NNP, around/IN, twenty/CD, three/CD, thousand/CD, pounds/NNS, of/IN, coins/NNS, a/DT, day/NN, disappear/VB, !/.]",(ROOT (S (PP (VBG According) (PP (TO to) (NP (NP (DT the) (NNP Royal) (NNP Mint)) (PP (IN around) (NP (NP (CD twenty) (CD three) (CD thousand) (NNS pounds)) (PP (IN of) (NP (NNS coins)))))))) (NP (DT a) (NN day)) (VP (VB disappear)) (. !)))
39616,"(3,)",,[],X
39616,"(4,)",Some is taken home by tourist and some is lost in the street and down the backs of sofas .,"[Some/DT, is/VBZ, taken/VBN, home/NN, by/IN, tourist/NN, and/CC, some/DT, is/VBZ, lost/VBN, in/IN, the/DT, street/NN, and/CC, down/IN, the/DT, backs/NNS, of/IN, sofas/NNS, ./.]",(ROOT (S (S (NP (DT Some)) (VP (VBZ is) (VP (VBN taken) (ADVP (NN home)) (PP (IN by) (NP (NN tourist)))))) (CC and) (S (NP (DT some)) (VP (VBZ is) (VP (VBN lost) (PP (PP (IN in) (NP (DT the) (NN street))) (CC and) (PP (IN down) (NP (NP (DT the) (NNS backs)) (PP (IN of) (NP (NNS sofas))))))))) (. .)))
39616,"(5,)",But amazingly we are just as careless when it comes to bank notes .,"[But/CC, amazingly/RB, we/PRP, are/VBP, just/RB, as/IN, careless/JJ, when/WRB, it/PRP, comes/VBZ, to/TO, bank/VB, notes/NNS, ./.]",(ROOT (S (CC But) (ADVP (RB amazingly)) (NP (PRP we)) (VP (VBP are) (ADVP (RB just)) (PP (IN as) (ADJP (JJ careless))) (SBAR (WHADVP (WRB when)) (S (NP (PRP it)) (VP (VBZ comes) (S (VP (TO to) (VP (VB bank) (NP (NNS notes))))))))) (. .)))
39616,"(6,)",Last November the old style fiver with the Duke of Wellington was withdrawn yet there are still sixty million missing  !,"[Last/JJ, November/NNP, the/DT, old/JJ, style/NN, fiver/NN, with/IN, the/DT, Duke/NNP, of/IN, Wellington/NNP, was/VBD, withdrawn/VBN, yet/RB, there/EX, are/VBP, still/RB, sixty/CD, million/CD, missing/VBG, !/.]",(ROOT (S (S (NP (JJ Last) (NNP November)) (NP (NP (DT the) (JJ old) (NN style) (NN fiver)) (PP (IN with) (NP (NP (DT the) (NNP Duke)) (PP (IN of) (NP (NNP Wellington)))))) (VP (VBD was) (VP (VBN withdrawn) (ADVP (RB yet))))) (NP (EX there)) (VP (VBP are) (ADVP (RB still)) (NP (NP (QP (CD sixty) (CD million))) (VP (VBG missing)))) (. !)))
39616,"(7, 8, 9, 10, 11)","You can understand sort of you know ,th- the coppers and that that  as they say get down behind sofas and what have you  but erm  it is quite amazing  where notes get to isn 't it ?","[You/PRP, can/MD, understand/VB, sort/NN, of/IN, you/PRP, know/VBP, ,th-/RB, the/DT, coppers/NNS, and/CC, that/IN, that/DT, as/IN, they/PRP, say/VBP, get/VB, down/RP, behind/IN, sofas/NNS, and/CC, what/WP, have/VBP, you/PRP, but/CC, erm/VBP, it/PRP, is/VBZ, quite/RB, amazing/JJ, where/WRB, notes/NNS, get/VBP, to/TO, isn/VB, 't/PRP, it/PRP, ?/.]","(ROOT (S (NP (PRP You)) (VP (MD can) (VP (VB understand) (SBAR (SBAR (S (NP (NP (NN sort)) (PP (IN of) (NP (PRP you)))) (VP (VBP know) (ADVP (RB ,th-)) (NP (DT the) (NNS coppers))))) (CC and) (SBAR (IN that) (S (NP (NP (DT that)) (SBAR (SBAR (IN as) (S (NP (PRP they)) (VP (VBP say) (S (VP (VB get) (PRT (RP down)) (PP (IN behind) (NP (NNS sofas)))))))) (CC and) (SBAR (WHNP (WP what)) (S (VP (VP (VBP have) (NP (PRP you))) (CC but) (VP (VBP erm) (NP (PRP it)))))))) (VP (VBZ is) (ADJP (RB quite) (JJ amazing)) (SBAR (WHADVP (WRB where)) (S (NP (NNS notes)) (VP (VBP get) (S (VP (TO to) (VP (VB isn) (S (NP (PRP 't)) (NP (PRP it))))))))))))))) (. ?)))"
39616,"(12,)",Sixty million 's a lot isn 't it ?,"[Sixty/CD, million/CD, 's/POS, a/DT, lot/NN, isn/NN, 't/PRP, it/PRP, ?/.]",(ROOT (NP (NP (CD Sixty)) (NP (NP (CD million) (POS 's)) (NP (DT a) (NN lot) (NN isn))) (NP (NP (PRP 't)) (NP (PRP it))) (. ?)))
39616,"(13,)",Yes .,"[Yes/UH, ./.]",(ROOT (INTJ (UH Yes) (. .)))
39616,"(14,)",That 's quite interesting that !,"[That/DT, 's/VBZ, quite/RB, interesting/JJ, that/IN, !/.]",(ROOT (S (NP (DT That)) (VP (VBZ 's) (ADJP (RB quite) (JJ interesting)) (ADVP (IN that))) (. !)))
39616,"(15, 16, 17)",There 's a mutilated notes department as well that you can  send really  screwed up notes to .,"[There/EX, 's/VBZ, a/DT, mutilated/VBN, notes/NNS, department/NN, as/RB, well/RB, that/IN, you/PRP, can/MD, send/VB, really/RB, screwed/VBN, up/RP, notes/NNS, to/TO, ./.]",(ROOT (S (NP (EX There)) (VP (VBZ 's) (NP (DT a) (VBN mutilated) (NNS notes) (NN department)) (SBAR (ADVP (RB as) (RB well)) (IN that) (S (NP (PRP you)) (VP (MD can) (VP (VB send) (VP (ADVP (RB really)) (VBN screwed) (PRT (RP up)) (NP (NNS notes)) (PP (TO to)))))))) (. .)))
39616,"(18,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
