39808,"(0,)",I hate these as it were things you know ?,"[I/PRP, hate/VBP, these/DT, as/IN, it/PRP, were/VBD, things/NNS, you/PRP, know/VB, ?/.]",(ROOT (S (NP (PRP I)) (VP (VBP hate) (NP (DT these)) (SBAR (IN as) (S (NP (PRP it)) (VP (VBD were) (NP (NP (NNS things)) (SBAR (S (NP (PRP you)) (VP (VB know))))))))) (. ?)))
39808,"(1,)",Mm,[Mm/NN],(ROOT (NP (NN Mm)))
39808,"(2, 3, 4, 5, 6)", One lagging behind  advertising screen show    so that 's where  forty nine over  trailer,"[One/CD, lagging/VBG, behind/IN, advertising/NN, screen/NN, show/VBP, so/IN, that/DT, 's/VBZ, where/WRB, forty/CD, nine/CD, over/IN, trailer/NN]",(ROOT (S (NP (NP (CD One)) (VP (VBG lagging) (PP (IN behind) (NP (NN advertising) (NN screen))))) (VP (VBP show) (SBAR (IN so) (S (NP (DT that)) (VP (VBZ 's) (FRAG (WHADVP (WRB where) (NP (NP (CD forty) (CD nine)) (PP (IN over) (NP (NN trailer))))))))))))
39808,"(7,)",Do you think that could be stew pot ?,"[Do/VB, you/PRP, think/VB, that/DT, could/MD, be/VB, stew/NN, pot/NN, ?/.]",(ROOT (SQ (VP (VB Do) (S (NP (PRP you)) (VP (VB think) (SBAR (S (NP (DT that)) (VP (MD could) (VP (VB be) (NP (NN stew) (NN pot))))))))) (. ?)))
39808,"(8,)", Wet post cut up for the cook   and it 's an anagram of wet post ?,"[Wet/NNP, post/NNP, cut/VBD, up/RP, for/IN, the/DT, cook/NN, and/CC, it/PRP, 's/VBZ, an/DT, anagram/NN, of/IN, wet/JJ, post/NN, ?/.]",(ROOT (S (S (NP (NNP Wet) (NNP post)) (VP (VBD cut) (PRT (RP up)) (PP (IN for) (NP (DT the) (NN cook))))) (CC and) (S (NP (PRP it)) (VP (VBZ 's) (NP (NP (DT an) (NN anagram)) (PP (IN of) (NP (JJ wet) (NN post)))))) (. ?)))
39808,"(9,)","Yes , stew pot .","[Yes/UH, ,/,, stew/NN, pot/NN, ./.]","(ROOT (FRAG (INTJ (UH Yes)) (, ,) (NP (NN stew) (NN pot)) (. .)))"
39808,"(10, 11)","Now you d- you went and interrupted me there and , and I 've forgotten what I was saying  which was right .","[Now/RB, you/PRP, d-/VBP, you/PRP, went/VBD, and/CC, interrupted/VBD, me/PRP, there/EX, and/CC, ,/,, and/CC, I/PRP, 've/VBP, forgotten/VBN, what/WP, I/PRP, was/VBD, saying/VBG, which/WDT, was/VBD, right/RB, ./.]","(ROOT (S (ADVP (RB Now)) (NP (PRP you)) (VP (VBP d-) (S (S (NP (PRP you)) (VP (VP (VBD went)) (CC and) (VP (VBD interrupted) (S (NP (PRP me)) (NP (EX there)))))) (CC and) (, ,) (CC and) (S (NP (PRP I)) (VP (VBP 've) (VP (VBN forgotten) (SBAR (WHNP (WP what)) (S (NP (PRP I)) (VP (VBD was) (VP (VBG saying) (SBAR (WHNP (WDT which)) (S (VP (VBD was) (ADJP (RB right)))))))))))))) (. .)))"
39808,"(12,)",Trailer for forty nine over .,"[Trailer/NN, for/IN, forty/CD, nine/CD, over/IN, ./.]",(ROOT (NP (NP (NN Trailer)) (PP (IN for) (NP (CD forty) (CD nine))) (ADVP (IN over)) (. .)))
39808,"(13, 14)"," Is sure determined to get in first    you get a trailer , you know","[Is/VBZ, sure/JJ, determined/VBN, to/TO, get/VB, in/IN, first/JJ, you/PRP, get/VBP, a/DT, trailer/NN, ,/,, you/PRP, know/VBP]","(ROOT (S (S (VP (VBZ Is) (ADVP (JJ sure)) (VP (VBN determined) (S (VP (TO to) (VP (VB get) (PP (IN in) (NP (NP (JJ first)) (SBAR (S (NP (PRP you)) (VP (VBP get) (NP (DT a) (NN trailer))))))))))))) (, ,) (NP (PRP you)) (VP (VBP know))))"
39808,"(15,)",Mm,[Mm/NN],(ROOT (NP (NN Mm)))
39808,"(16, 17, 18)",So now  and this is this one    much like while I was taking time off  ,"[So/RB, now/RB, and/CC, this/DT, is/VBZ, this/DT, one/CD, much/RB, like/IN, while/IN, I/PRP, was/VBD, taking/VBG, time/NN, off/IN]",(ROOT (S (NP (RB So) (NP (RB now)) (CC and) (NP (DT this))) (VP (VBZ is) (NP (DT this) (CD one)) (ADVP (RB much) (PP (IN like) (SBAR (IN while) (S (NP (PRP I)) (VP (VBD was) (VP (VBG taking) (ADVP (NN time) (IN off)))))))))))
