40906,"(0,)",So how 'd you get on ?,"[So/RB, how/WRB, 'd/MD, you/PRP, get/VB, on/IN, ?/.]",(ROOT (SBARQ (RB So) (WHADVP (WRB how)) (SQ (MD 'd) (NP (PRP you)) (VP (VB get) (PP (IN on)))) (. ?)))
40906,"(1,)","He , he can 't because th- these are a bloody expensive one","[He/PRP, ,/,, he/PRP, can/MD, 't/PRP, because/IN, th-/JJ, these/DT, are/VBP, a/DT, bloody/JJ, expensive/JJ, one/CD]","(ROOT (NP (S (NP (PRP He)) (, ,) (NP (PRP he)) (VP (MD can) (VP (NP (PRP 't)) (PP (IN because) (NP (NP (JJ th-)) (SBAR (S (NP (DT these)) (VP (VBP are) (NP (DT a) (JJ bloody) (JJ expensive) (CD one))))))))))))"
40906,"(2,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
40906,"(3,)","and these aren 't so expensive , but I mean these we know are fifteen so these have gotta be twenty five , twenty six quid","[and/CC, these/DT, aren/NNP, 't/PRP, so/RB, expensive/JJ, ,/,, but/CC, I/PRP, mean/VBP, these/DT, we/PRP, know/VBP, are/VBP, fifteen/CD, so/IN, these/DT, have/VBP, gotta/NNP, be/VB, twenty/CD, five/CD, ,/,, twenty/CD, six/CD, quid/NN]","(ROOT (FRAG (CC and) (NP (NP (DT these) (NNP aren)) (SBAR (S (S (NP (NP (PRP 't)) (ADJP (RB so) (JJ expensive))) (, ,) (CC but) (NP (PRP I)) (VP (VBP mean) (SBAR (S (NP (DT these) (PRP we)) (VP (VBP know) (SBAR (S (VP (VBP are) (NP (CD fifteen)))))))))) (IN so) (S (NP (DT these)) (VP (VBP have) (S (NP (NNP gotta)) (VP (VB be) (NP (NP (CD twenty) (CD five)) (, ,) (NP (CD twenty) (CD six) (NN quid))))))))))))"
40906,"(4,)",Mm .,"[Mm/NN, ./.]",(ROOT (NP (NN Mm) (. .)))
40906,"(5,)",so he said it 's across the board   put four thousand quid 's worth off him the other day and I only give fifty pence off he said so I can 't do much for you .,"[so/IN, he/PRP, said/VBD, it/PRP, 's/VBZ, across/IN, the/DT, board/NN, put/VBD, four/CD, thousand/CD, quid/NNP, 's/POS, worth/NN, off/IN, him/PRP, the/DT, other/JJ, day/NN, and/CC, I/PRP, only/RB, give/VBP, fifty/CD, pence/NN, off/IN, he/PRP, said/VBD, so/IN, I/PRP, can/MD, 't/PRP, do/VB, much/RB, for/IN, you/PRP, ./.]",(ROOT (S (IN so) (NP (PRP he)) (VP (VBD said) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (PP (IN across) (S (S (NP (DT the) (NN board)) (VP (VBD put) (NP (CD four) (CD thousand)) (NP (NP (NNP quid) (POS 's)) (NN worth)) (PP (IN off) (NP (PRP him))) (NP (DT the) (JJ other) (NN day)))) (CC and) (S (NP (PRP I)) (ADVP (RB only)) (VP (VBP give) (SBAR (S (NP (NP (CD fifty) (NN pence)) (PP (IN off) (NP (PRP he)))) (VP (VBD said) (SBAR (IN so) (S (NP (PRP I)) (VP (MD can) (NP (PRP 't)) (S (VP (VB do) (ADVP (RB much) (PP (IN for) (NP (PRP you)))))))))))))))))))) (. .)))
40906,"(6,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
40906,"(7,)",So he gets it at four quid but ,"[So/IN, he/PRP, gets/VBZ, it/PRP, at/IN, four/CD, quid/NN, but/CC]",(ROOT (FRAG (ADVP (IN So)) (NP (NP (PRP he)) (SBAR (S (VP (VBZ gets) (NP (PRP it)) (PP (IN at) (NP (NP (CD four) (NN quid)) (ADVP (CC but))))))))))
40906,"(8,)",Yes .,"[Yes/UH, ./.]",(ROOT (INTJ (UH Yes) (. .)))
40906,"(9,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
40906,"(10,)","Or if we take this whole lot up to Malcolm , say that you know these are six quid across the board you know ?","[Or/CC, if/IN, we/PRP, take/VBP, this/DT, whole/JJ, lot/NN, up/IN, to/TO, Malcolm/NNP, ,/,, say/VBP, that/IN, you/PRP, know/VBP, these/DT, are/VBP, six/CD, quid/NNP, across/IN, the/DT, board/NN, you/PRP, know/VB, ?/.]","(ROOT (S (CC Or) (SBAR (IN if) (S (NP (PRP we)) (VP (VBP take) (NP (DT this) (JJ whole) (NN lot)) (ADVP (IN up) (PP (TO to) (NP (NNP Malcolm))))))) (, ,) (VP (VBP say) (SBAR (IN that) (S (NP (PRP you)) (VP (VBP know) (SBAR (S (NP (DT these)) (VP (VBP are) (NP (NP (CD six) (NNP quid)) (PP (IN across) (NP (NP (DT the) (NN board)) (SBAR (S (NP (PRP you)) (VP (VB know)))))))))))))) (. ?)))"
