42912,"(0,)",But they haven 't said too much about it in the paper .,"[But/CC, they/PRP, haven/NN, 't/PRP, said/VBD, too/RB, much/JJ, about/IN, it/PRP, in/IN, the/DT, paper/NN, ./.]",(ROOT (S (CC But) (NP (PRP they)) (VP (NN haven) (SBAR (S (NP (PRP 't)) (VP (VBD said) (ADJP (RB too) (JJ much) (PP (IN about) (NP (PRP it)))) (PP (IN in) (NP (DT the) (NN paper))))))) (. .)))
42912,"(1,)",No I mean usually they show you on the T V when they 're leaving don 't they ?,"[No/DT, I/PRP, mean/VBP, usually/RB, they/PRP, show/VBP, you/PRP, on/IN, the/DT, T/NN, V/NN, when/WRB, they/PRP, 're/VBP, leaving/VBG, don/NNP, 't/PRP, they/PRP, ?/.]",(ROOT (S (NP (DT No) (PRP I)) (VP (VBP mean) (S (ADVP (RB usually)) (NP (PRP they)) (VP (VBP show) (NP (PRP you)) (PP (IN on) (NP (DT the) (NN T) (NN V))) (SBAR (WHADVP (WRB when)) (S (NP (PRP they)) (VP (VBP 're) (VP (VBG leaving) (S (VP (NNP don) (S (NP (PRP 't)) (NP (PRP they)))))))))))) (. ?)))
42912,"(2,)","But I think they , they probably play it down a bit these days .","[But/CC, I/PRP, think/VBP, they/PRP, ,/,, they/PRP, probably/RB, play/VBP, it/PRP, down/RP, a/DT, bit/NN, these/DT, days/NNS, ./.]","(ROOT (S (S (CC But) (NP (PRP I)) (VP (VBP think) (NP (PRP they)))) (, ,) (NP (PRP they)) (ADVP (RB probably)) (VP (VBP play) (NP (PRP it)) (PP (RP down) (NP (NP (DT a) (NN bit)) (NP (DT these) (NNS days))))) (. .)))"
42912,"(3,)",There 's a picture of her here and er   cheering Australians welcome the queen to Sidney with a banner proclaiming good day Betty   Betty !,"[There/EX, 's/VBZ, a/DT, picture/NN, of/IN, her/PRP$, here/RB, and/CC, er/NN, cheering/VBG, Australians/NNPS, welcome/VBP, the/DT, queen/NN, to/TO, Sidney/NNP, with/IN, a/DT, banner/NN, proclaiming/VBG, good/JJ, day/NN, Betty/NNP, Betty/NNP, !/.]",(ROOT (S (S (NP (EX There)) (VP (VBZ 's) (NP (NP (DT a) (NN picture)) (PP (IN of) (NP (PRP$ her) (RB here)))))) (CC and) (S (NP (NP (NN er)) (VP (VBG cheering) (NP (NNPS Australians)))) (VP (VBP welcome) (NP (NP (DT the) (NN queen)) (PP (TO to) (NP (NNP Sidney)))) (PP (IN with) (NP (NP (DT a) (NN banner)) (VP (VBG proclaiming) (NP (JJ good) (NN day) (NNP Betty) (NNP Betty))))))) (. !)))
42912,"(4,)",,[],X
42912,"(5,)",Can you imagine anybody here doing that to the queen ?,"[Can/MD, you/PRP, imagine/VB, anybody/NN, here/RB, doing/VBG, that/IN, to/TO, the/DT, queen/NN, ?/.]",(ROOT (SQ (MD Can) (NP (PRP you)) (VP (VB imagine) (NP (NN anybody)) (S (VP (ADVP (RB here)) (VBG doing) (ADVP (IN that)) (PP (TO to) (NP (DT the) (NN queen)))))) (. ?)))
42912,"(6, 7, 8)","Good day Betty , that just shows , doesn 't it , how erm  the sort of  respect or disrespect , whatever you 'd like to","[Good/JJ, day/NN, Betty/NNP, ,/,, that/WDT, just/RB, shows/VBZ, ,/,, doesn/NNP, 't/PRP, it/PRP, ,/,, how/WRB, erm/NN, the/DT, sort/NN, of/IN, respect/NN, or/CC, disrespect/NN, ,/,, whatever/WDT, you/PRP, 'd/MD, like/VB, to/TO]","(ROOT (NP (NP (NP (JJ Good) (NN day) (NNP Betty)) (, ,) (SBAR (WHNP (WDT that)) (S (ADVP (RB just)) (VP (VBZ shows) (, ,) (S (NP (NNP doesn) (PRP 't)) (NP (NP (PRP it)) (, ,) (SBAR (WHADVP (WRB how)) (S (NP (NN erm)) (NP (DT the) (NN sort)))))))))) (PP (IN of) (NP (NP (NN respect) (CC or) (NN disrespect)) (, ,) (SBAR (WHNP (WDT whatever)) (S (NP (PRP you)) (VP (MD 'd) (VP (VB like) (PP (TO to))))))))))"
42912,"(9,)",Yeah .,"[Yeah/UH, ./.]",(ROOT (INTJ (UH Yeah) (. .)))
42912,"(10,)","call it , they have got for royalty because to call the queen Betty , she 's smiling but I wonder if she feels like smiling .","[call/VB, it/PRP, ,/,, they/PRP, have/VBP, got/VBN, for/IN, royalty/NN, because/IN, to/TO, call/VB, the/DT, queen/NN, Betty/NNP, ,/,, she/PRP, 's/VBZ, smiling/VBG, but/CC, I/PRP, wonder/VBP, if/IN, she/PRP, feels/VBZ, like/IN, smiling/VBG, ./.]","(ROOT (S (S (VP (VB call) (NP (PRP it)))) (, ,) (NP (PRP they)) (VP (VBP have) (VP (VBN got) (PP (IN for) (NP (NN royalty))) (SBAR (IN because) (S (S (S (VP (TO to) (VP (VB call) (NP (DT the) (NN queen) (NNP Betty))))) (, ,) (NP (PRP she)) (VP (VBZ 's) (VP (VBG smiling)))) (CC but) (S (NP (PRP I)) (VP (VBP wonder) (SBAR (IN if) (S (NP (PRP she)) (VP (VBZ feels) (PP (IN like) (NP (VBG smiling)))))))))))) (. .)))"
42912,"(11, 12)",It says thousands have packed city centre to cheer her  and it said the fervour surprised republicans who have criticized the visit .,"[It/PRP, says/VBZ, thousands/NNS, have/VBP, packed/VBN, city/NN, centre/NN, to/TO, cheer/VB, her/PRP, and/CC, it/PRP, said/VBD, the/DT, fervour/NN, surprised/VBD, republicans/NNPS, who/WP, have/VBP, criticized/VBN, the/DT, visit/NN, ./.]",(ROOT (S (S (NP (PRP It)) (VP (VBZ says) (SBAR (S (NP (NNS thousands)) (VP (VBP have) (VP (VBN packed) (NP (NN city) (NN centre)) (S (VP (TO to) (VP (VB cheer) (NP (PRP her))))))))))) (CC and) (S (NP (PRP it)) (VP (VBD said) (SBAR (S (NP (DT the) (NN fervour)) (VP (VBD surprised) (NP (NP (NNPS republicans)) (SBAR (WHNP (WP who)) (S (VP (VBP have) (VP (VBN criticized) (NP (DT the) (NN visit)))))))))))) (. .)))
42912,"(13, 14)","Yeah  I suppose they will be a republic sooner or later , by the year two thousand probably .","[Yeah/UH, I/PRP, suppose/VBP, they/PRP, will/MD, be/VB, a/DT, republic/NN, sooner/RBR, or/CC, later/RBR, ,/,, by/IN, the/DT, year/NN, two/CD, thousand/CD, probably/RB, ./.]","(ROOT (S (S (INTJ (UH Yeah)) (NP (PRP I)) (VP (VBP suppose))) (NP (PRP they)) (VP (MD will) (VP (VB be) (ADVP (NP (DT a) (NN republic)) (RBR sooner) (CC or) (RBR later)) (, ,) (PP (IN by) (NP (DT the) (NN year) (QP (CD two) (CD thousand))) (ADVP (RB probably))))) (. .)))"
