45501,"(0,)",Oh Jesus Chri-  !,"[Oh/UH, Jesus/NNP, Chri-/NNP, !/.]",(ROOT (S (VP (NP (INTJ (UH Oh)) (NP (NNP Jesus) (NNP Chri-)))) (. !)))
45501,"(1,)",Jean !,"[Jean/NNP, !/.]",(ROOT (FRAG (NP (NNP Jean)) (. !)))
45501,"(2,)",What ?,"[What/WDT, ?/.]",(ROOT (FRAG (WHNP (WDT What)) (. ?)))
45501,"(3,)","Here 's your breakfast , come on !","[Here/RB, 's/POS, your/PRP$, breakfast/NN, ,/,, come/VBN, on/IN, !/.]","(ROOT (S (NP (NP (RB Here)) (POS 's) (NP (PRP$ your) (NN breakfast)) (, ,)) (VP (VBN come) (PP (IN on))) (. !)))"
45501,"(4,)",Come on get up !,"[Come/VB, on/IN, get/VB, up/RB, !/.]",(ROOT (S (VP (VB Come) (PP (IN on) (S (VP (VB get) (ADVP (RB up)))))) (. !)))
45501,"(5, 6, 7, 8)","It 's after nine , it must be about  twenty past to half nine  here 's your breakfast cu- Christ get out the way , get out !","[It/PRP, 's/VBZ, after/IN, nine/CD, ,/,, it/PRP, must/MD, be/VB, about/RB, twenty/CD, past/IN, to/TO, half/JJ, nine/CD, here/RB, 's/POS, your/PRP$, breakfast/NN, cu-/NN, Christ/NNP, get/VB, out/RP, the/DT, way/NN, ,/,, get/VB, out/RP, !/.]","(ROOT (S (S (NP (PRP It)) (VP (VBZ 's) (PP (IN after) (NP (CD nine))))) (, ,) (NP (PRP it)) (VP (VP (MD must) (VP (VB be) (NP (NP (RB about) (CD twenty)) (PP (IN past) (PP (TO to) (NP (JJ half) (CD nine)))) (ADVP (RB here))) (S (NP (POS 's))))) (NP (NP (PRP$ your) (NN breakfast) (NN cu-)) (SBAR (S (NP (NNP Christ)) (VP (VP (VB get) (PRT (RP out)) (NP (DT the) (NN way))) (, ,) (VP (VB get) (PRT (RP out)))))))) (. !)))"
45501,"(9,)",Bloody dog !,"[Bloody/JJ, dog/NN, !/.]",(ROOT (NP (JJ Bloody) (NN dog) (. !)))
45501,"(10,)",Jean !,"[Jean/NNP, !/.]",(ROOT (FRAG (NP (NNP Jean)) (. !)))
45501,"(11, 12, 13, 14, 15, 16, 17)", I got you cornflakes  toast  I didn 't do an egg  you 've had enough    was round there  left another tape  tape recorder .,"[I/PRP, got/VBD, you/PRP, cornflakes/NNS, toast/NN, I/PRP, didn/VBP, 't/PRP, do/VB, an/DT, egg/NN, you/PRP, 've/VBP, had/VBN, enough/RB, was/VBD, round/JJ, there/EX, left/VBD, another/DT, tape/NN, tape/NN, recorder/NN, ./.]",(ROOT (S (NP (PRP I)) (VP (VBD got) (NP (PRP you)) (NP (NP (NNS cornflakes) (NN toast)) (SBAR (S (NP (PRP I)) (VP (VBP didn) (S (NP (PRP 't)) (VP (VB do) (NP (NP (DT an) (NN egg)) (SBAR (S (NP (PRP you)) (VP (VBP 've) (VP (VBN had) (NP (NP (RB enough)) (SBAR (S (VP (VBD was) (ADJP (JJ round) (SBAR (S (NP (EX there)) (VP (VBD left) (NP (DT another) (NN tape) (NN tape) (NN recorder)))))))))))))))))))))) (. .)))
45501,"(18,)",What ,[What/WDT],(ROOT (FRAG (WHNP (WDT What))))
45501,"(19, 20)",She 'll be round on f- excuse me !,"[She/PRP, 'll/MD, be/VB, round/JJ, on/IN, f-/JJ, excuse/NN, me/PRP, !/.]",(ROOT (S (NP (PRP She)) (VP (MD 'll) (VP (VB be) (ADJP (JJ round) (PP (IN on) (NP (NP (JJ f-) (NN excuse)) (NP (PRP me))))))) (. !)))
