4601,"(0,)",Press that down to make it sto- stay .,"[Press/NN, that/WDT, down/RB, to/TO, make/VB, it/PRP, sto-/JJ, stay/NN, ./.]",(ROOT (S (VP (NN Press) (SBAR (WHNP (WDT that)) (S (ADVP (RB down)) (VP (TO to) (VP (VB make) (NP (PRP it) (JJ sto-) (NN stay))))))) (. .)))
4601,"(1,)","Right , do you want your story then ?","[Right/NN, ,/,, do/VBP, you/PRP, want/VB, your/PRP$, story/NN, then/RB, ?/.]","(ROOT (S (NP (NN Right)) (, ,) (VP (VBP do) (S (NP (PRP you)) (VP (VB want) (NP (PRP$ your) (NN story)) (ADVP (RB then))))) (. ?)))"
4601,"(2,)",Yes ?,"[Yes/UH, ?/.]",(ROOT (INTJ (UH Yes) (. ?)))
4601,"(3,)",Hmm ?,"[Hmm/NN, ?/.]",(ROOT (FRAG (NP (NN Hmm)) (. ?)))
4601,"(4,)","Hmm The Spider Affair , alright ?","[Hmm/RB, The/DT, Spider/NN, Affair/NN, ,/,, alright/NNP, ?/.]","(ROOT (NP (NP (ADVP (RB Hmm)) (DT The) (NN Spider)) (NP (NP (NN Affair)) (, ,) (NP (NNP alright))) (. ?)))"
4601,"(5, 6)", Knock it off .,"[Knock/VB, it/PRP, off/RP, ./.]",(ROOT (S (VP (VB Knock) (NP (PRP it)) (PRT (RP off))) (. .)))
4601,"(7,)",  The first lesson that aft-  leave it alone and just forget about it hmm ?,"[The/DT, first/JJ, lesson/NN, that/WDT, aft-/JJ, leave/NN, it/PRP, alone/RB, and/CC, just/RB, forget/VB, about/IN, it/PRP, hmm/RB, ?/.]",(ROOT (NP (NP (NP (DT The) (JJ first) (NN lesson)) (NP (WDT that) (JJ aft-) (NN leave))) (SBAR (S (NP (PRP it)) (ADVP (RB alone) (CC and) (RB just)) (VP (VB forget) (PP (IN about) (NP (PRP it))) (ADVP (RB hmm))))) (. ?)))
4601,"(8,)", The first lesson that afternoon was mental arithmetic .,"[The/DT, first/JJ, lesson/NN, that/DT, afternoon/NN, was/VBD, mental/JJ, arithmetic/NN, ./.]",(ROOT (S (NP (DT The) (JJ first) (NN lesson)) (NP (DT that) (NN afternoon)) (VP (VBD was) (NP (JJ mental) (NN arithmetic))) (. .)))
4601,"(9,)","The girls groaned over this , except the quick ones like Irene who delighted in it , but it meant that there was no need for anyone to open the desk because it was all oral work .","[The/DT, girls/NNS, groaned/VBD, over/IN, this/DT, ,/,, except/IN, the/DT, quick/JJ, ones/NNS, like/IN, Irene/NNP, who/WP, delighted/VBD, in/IN, it/PRP, ,/,, but/CC, it/PRP, meant/VBD, that/IN, there/EX, was/VBD, no/DT, need/NN, for/IN, anyone/NN, to/TO, open/VB, the/DT, desk/NN, because/IN, it/PRP, was/VBD, all/DT, oral/JJ, work/NN, ./.]","(ROOT (S (S (NP (DT The) (NNS girls)) (VP (VBD groaned) (PP (IN over) (NP (DT this))) (, ,) (PP (IN except) (NP (NP (DT the) (JJ quick) (NNS ones)) (PP (IN like) (NP (NNP Irene))) (SBAR (WHNP (WP who)) (S (VP (VBD delighted) (PP (IN in) (NP (PRP it)))))))))) (, ,) (CC but) (S (NP (PRP it)) (VP (VBD meant) (SBAR (IN that) (S (NP (EX there)) (VP (VBD was) (NP (NP (DT no) (NN need)) (PP (IN for) (NP (NN anyone))) (S (VP (TO to) (VP (VB open) (NP (DT the) (NN desk)) (SBAR (IN because) (S (NP (PRP it)) (VP (VBD was) (NP (DT all) (JJ oral) (NN work)))))))))))))) (. .)))"
4601,"(10,)",Miss Potts was lenient with the girls for it was a very hot afternoon .,"[Miss/NNP, Potts/NNP, was/VBD, lenient/JJ, with/IN, the/DT, girls/NNS, for/IN, it/PRP, was/VBD, a/DT, very/RB, hot/JJ, afternoon/NN, ./.]",(ROOT (S (NP (NNP Miss) (NNP Potts)) (VP (VBD was) (ADJP (JJ lenient) (PP (IN with) (NP (DT the) (NNS girls)))) (SBAR (IN for) (S (NP (PRP it)) (VP (VBD was) (NP (DT a) (ADJP (RB very) (JJ hot)) (NN afternoon)))))) (. .)))
4601,"(11,)",Daryl was glad that Miss Potts was not as exacting as usual for arithmetic was not her strong point especially mental arithmetic .,"[Daryl/NNP, was/VBD, glad/JJ, that/IN, Miss/NNP, Potts/NNP, was/VBD, not/RB, as/IN, exacting/VBG, as/RB, usual/JJ, for/IN, arithmetic/NN, was/VBD, not/RB, her/PRP$, strong/JJ, point/NN, especially/RB, mental/JJ, arithmetic/NN, ./.]",(ROOT (S (NP (NNP Daryl)) (VP (VBD was) (ADJP (JJ glad)) (SBAR (IN that) (S (NP (NNP Miss) (NNP Potts)) (VP (VBD was) (RB not) (PP (IN as) (S (VP (VBG exacting) (ADJP (RB as) (JJ usual)) (SBAR (IN for) (S (NP (NN arithmetic)) (VP (VBD was) (RB not) (NP (PRP$ her) (JJ strong) (NN point) (ADJP (RB especially) (JJ mental)) (NN arithmetic)))))))))))) (. .)))
4601,"(12,)",The next lesson to be taken my mam- was to be taken by Mademoiselle Dupont .,"[The/DT, next/JJ, lesson/NN, to/TO, be/VB, taken/VBN, my/PRP$, mam-/NN, was/VBD, to/TO, be/VB, taken/VBN, by/IN, Mademoiselle/NNP, Dupont/NNP, ./.]",(ROOT (S (NP (DT The) (JJ next) (NN lesson) (S (VP (TO to) (VP (VB be) (VP (VBN taken) (NP (PRP$ my) (NN mam-))))))) (VP (VBD was) (S (VP (TO to) (VP (VB be) (VP (VBN taken) (PP (IN by) (NP (NNP Mademoiselle) (NNP Dupont)))))))) (. .)))
