46415,"(0,)",Hello Sam,"[Hello/UH, Sam/NNP]",(ROOT (INTJ (UH Hello) (NNP Sam)))
46415,"(1,)","I , I want to talk to you about er the conversation I had with Alec  > yesterday , he seems to be inundated with having to get details about   on his er , all his paperwork and so on , and he seems to be inundated and he sounded a bit low , quite frankly , to me yesterday on the phone that he was getting inundated with all this","[I/PRP, ,/,, I/PRP, want/VBP, to/TO, talk/VB, to/TO, you/PRP, about/IN, er/NN, the/DT, conversation/NN, I/PRP, had/VBD, with/IN, Alec/NNP, >/JJR, yesterday/NN, ,/,, he/PRP, seems/VBZ, to/TO, be/VB, inundated/VBN, with/IN, having/VBG, to/TO, get/VB, details/NNS, about/RB, on/IN, his/PRP$, er/NN, ,/,, all/PDT, his/PRP$, paperwork/NN, and/CC, so/RB, on/IN, ,/,, and/CC, he/PRP, seems/VBZ, to/TO, be/VB, inundated/VBN, and/CC, he/PRP, sounded/VBD, a/DT, bit/NN, low/JJ, ,/,, quite/RB, frankly/RB, ,/,, to/TO, me/PRP, yesterday/NN, on/IN, the/DT, phone/NN, that/IN, he/PRP, was/VBD, getting/VBG, inundated/VBN, with/IN, all/PDT, this/DT]","(ROOT (S (S (NP (PRP I)) (PRN (, ,) (S (NP (PRP I)) (VP (VBP want) (S (VP (TO to) (VP (VB talk) (PP (TO to) (NP (NP (PRP you)) (PP (IN about) (NP (NN er))))) (NP (NP (DT the) (NN conversation)) (SBAR (S (NP (PRP I)) (VP (VBD had) (S (PP (IN with) (NP (NNP Alec))) (NP (JJR >) (NN yesterday)))))))))))) (, ,)) (NP (PRP he)) (VP (VBZ seems) (S (VP (TO to) (VP (VB be) (VP (VBN inundated) (PP (IN with) (S (VP (VBG having) (S (VP (TO to) (VP (VB get) (NP (NNS details)) (PP (RB about) (IN on) (NP (NP (PRP$ his) (NN er)) (, ,) (NP (PDT all) (PRP$ his) (NN paperwork)))))))))))))))) (CC and) (ADVP (RB so) (IN on)) (, ,) (CC and) (S (S (NP (PRP he)) (VP (VBZ seems) (S (VP (TO to) (VP (VB be) (VP (VBN inundated))))))) (CC and) (S (NP (PRP he)) (VP (VBD sounded) (ADJP (ADJP (NP (DT a) (NN bit)) (JJ low)) (, ,) (ADJP (RB quite) (RB frankly))) (, ,) (PP (TO to) (NP (PRP me))) (NP (NN yesterday)) (PP (IN on) (NP (NP (DT the) (NN phone)) (SBAR (IN that) (S (NP (PRP he)) (VP (VBD was) (VP (VBG getting) (S (VP (VBN inundated) (PP (IN with) (NP (PDT all) (DT this))))))))))))))))"
46415,"(2,)","Mm , mm","[Mm/NN, ,/,, mm/NN]","(ROOT (NP (NP (NN Mm)) (, ,) (NP (NN mm))))"
46415,"(3,)",work .,"[work/NN, ./.]",(ROOT (NP (NN work) (. .)))
46415,"(4,)",I said I 'm quite sure there must be something that could be done computer-wise,"[I/PRP, said/VBD, I/PRP, 'm/VBP, quite/RB, sure/JJ, there/EX, must/MD, be/VB, something/NN, that/WDT, could/MD, be/VB, done/VBN, computer-wise/JJ]",(ROOT (S (NP (PRP I)) (VP (VBD said) (SBAR (S (NP (PRP I)) (VP (VBP 'm) (ADJP (RB quite) (JJ sure) (SBAR (S (NP (EX there)) (VP (MD must) (VP (VB be) (NP (NP (NN something)) (SBAR (WHNP (WDT that)) (S (VP (MD could) (VP (VB be) (VP (VBN done) (S (ADJP (JJ computer-wise))))))))))))))))))))
46415,"(5,)",Right,[Right/NN],(ROOT (NP (NN Right)))
46415,"(6,)","but he sort of pooh-poohed it and sort of said well you know , we 're getting a bit to old for all this modern sophistication of computers and so on , well I said well quite frankly I am not totally in agreement with you , because as you probably know Clyde  > was looking into a program which will could alleviate a lot","[but/CC, he/PRP, sort/RB, of/IN, pooh-poohed/JJ, it/PRP, and/CC, sort/NN, of/IN, said/VBD, well/RB, you/PRP, know/VBP, ,/,, we/PRP, 're/VBP, getting/VBG, a/DT, bit/NN, to/TO, old/JJ, for/IN, all/PDT, this/DT, modern/JJ, sophistication/NN, of/IN, computers/NNS, and/CC, so/RB, on/IN, ,/,, well/RB, I/PRP, said/VBD, well/RB, quite/RB, frankly/RB, I/PRP, am/VBP, not/RB, totally/RB, in/IN, agreement/NN, with/IN, you/PRP, ,/,, because/IN, as/IN, you/PRP, probably/RB, know/VBP, Clyde/NNP, >/JJR, was/VBD, looking/VBG, into/IN, a/DT, program/NN, which/WDT, will/MD, could/MD, alleviate/VB, a/DT, lot/NN]","(ROOT (S (S (CC but) (NP (PRP he)) (ADVP (ADVP (RB sort) (PP (IN of) (NP (NP (JJ pooh-poohed)) (NP (PRP it))))) (CC and) (ADVP (NN sort) (IN of))) (VP (VBD said) (ADVP (RB well)) (SBAR (S (NP (PRP you)) (VP (VBP know)))))) (, ,) (S (NP (PRP we)) (VP (VBP 're) (VP (VBG getting) (NP (DT a) (NN bit) (S (VP (TO to) (VP (ADJP (JJ old)) (PP (IN for) (NP (NP (PDT all) (DT this) (JJ modern) (NN sophistication)) (PP (IN of) (NP (NNS computers)))))))))))) (CC and) (S (ADVP (RB so) (IN on)) (, ,) (ADVP (RB well)) (NP (PRP I)) (VP (VBD said) (S (ADVP (RB well) (RB quite)) (ADVP (RB frankly)) (NP (PRP I)) (VP (VBP am) (RB not) (ADJP (RB totally) (PP (IN in) (NP (NP (NN agreement)) (PP (IN with) (NP (PRP you)))))) (, ,) (SBAR (IN because) (S (SBAR (IN as) (S (NP (PRP you)) (ADVP (RB probably)) (VP (VBP know) (S (NP (NNP Clyde)) (ADJP (JJR >)))))) (VP (VBD was) (VP (VBG looking) (PP (IN into) (NP (NP (DT a) (NN program)) (SBAR (WHNP (WDT which)) (S (VP (MD will) (VP (MD could) (VP (VB alleviate) (NP (DT a) (NN lot)))))))))))))))))))"
46415,"(7,)","Yes I know , I know","[Yes/UH, I/PRP, know/VBP, ,/,, I/PRP, know/VBP]","(ROOT (NP (S (S (INTJ (UH Yes)) (NP (PRP I)) (VP (VBP know))) (, ,) (NP (PRP I)) (VP (VBP know)))))"
46415,"(8,)","of the work , that I do , but I","[of/IN, the/DT, work/NN, ,/,, that/IN, I/PRP, do/VBP, ,/,, but/CC, I/PRP]","(ROOT (SBAR (PP (IN of) (NP (DT the) (NN work))) (, ,) (IN that) (S (NP (PRP I)) (VP (VP (VBP do)) (, ,) (CC but) (VP (NP (PRP I)))))))"
46415,"(9,)",yes it 's on the  ,"[yes/UH, it/PRP, 's/VBZ, on/IN, the/DT]",(ROOT (SINV (FRAG (INTJ (UH yes))) (VP (ADVP (PRP it)) (VP (VBZ 's) (PP (IN on)))) (NP (DT the))))
46415,"(10,)","would tell you right here and now , er I 'm still retaining my bible you know the book","[would/MD, tell/VB, you/PRP, right/RB, here/RB, and/CC, now/RB, ,/,, er/NN, I/PRP, 'm/VBP, still/RB, retaining/VBG, my/PRP$, bible/NNP, you/PRP, know/VBP, the/DT, book/NN]","(ROOT (SINV (VP (MD would) (VP (VB tell) (NP (PRP you)) (ADVP (RB right) (RB here) (CC and) (RB now)) (, ,) (NP (NP (NN er)) (SBAR (S (NP (PRP I)) (VP (VBP 'm) (ADVP (RB still)) (VP (VBG retaining) (NP (NP (PRP$ my) (NNP bible)) (SBAR (S (NP (PRP you)) (VP (VBP know)))))))))))) (NP (DT the) (NN book))))"
46415,"(11,)","Yeah , yes , yes","[Yeah/UH, ,/,, yes/UH, ,/,, yes/UH]","(ROOT (INTJ (INTJ (UH Yeah)) (, ,) (INTJ (UH yes) (, ,) (UH yes))))"
46415,"(12,)","that I have downstairs , because it 's , if it was to be computerized , it would be a massive great bloody great volume","[that/IN, I/PRP, have/VBP, downstairs/RB, ,/,, because/IN, it/PRP, 's/VBZ, ,/,, if/IN, it/PRP, was/VBD, to/TO, be/VB, computerized/JJ, ,/,, it/PRP, would/MD, be/VB, a/DT, massive/JJ, great/JJ, bloody/JJ, great/JJ, volume/NN]","(ROOT (SBAR (IN that) (S (NP (PRP I)) (VP (VBP have) (S (ADVP (RB downstairs)) (, ,) (SBAR (IN because) (S (NP (PRP it)) (VP (VBZ 's) (, ,) (SBAR (IN if) (S (NP (PRP it)) (VP (VBD was) (S (VP (TO to) (VP (VB be) (ADJP (JJ computerized))))))))))) (, ,) (NP (PRP it)) (VP (MD would) (VP (VB be) (NP (DT a) (JJ massive) (JJ great) (JJ bloody) (JJ great) (NN volume)))))))))"
46415,"(13,)",Yes,[Yes/UH],(ROOT (INTJ (UH Yes)))
46415,"(14,)",and I would be carrying this around and it just wouldn 't be feasible,"[and/CC, I/PRP, would/MD, be/VB, carrying/VBG, this/DT, around/RB, and/CC, it/PRP, just/RB, wouldn/VBP, 't/PRP, be/VB, feasible/JJ]",(ROOT (PRN (CC and) (S (S (NP (PRP I)) (VP (MD would) (VP (VB be) (VP (VBG carrying) (NP (DT this)) (ADVP (RB around)))))) (CC and) (S (NP (PRP it)) (ADVP (RB just)) (VP (VBP wouldn) (S (NP (PRP 't)) (VP (VB be) (ADJP (JJ feasible)))))))))
46415,"(15,)","Quite , right","[Quite/RB, ,/,, right/NN]","(ROOT (NP (NP (RB Quite)) (, ,) (NP (NN right))))"
46415,"(16,)",so he said that apparently whenever he came back to B S H he was told by Neville roughly about eighteen hundred acres would be sort of his target,"[so/IN, he/PRP, said/VBD, that/IN, apparently/RB, whenever/WRB, he/PRP, came/VBD, back/RB, to/TO, B/NN, S/NNS, H/NN, he/PRP, was/VBD, told/VBN, by/IN, Neville/NNP, roughly/RB, about/IN, eighteen/CD, hundred/CD, acres/NNS, would/MD, be/VB, sort/NN, of/IN, his/PRP$, target/NN]",(ROOT (SBAR (IN so) (S (NP (PRP he)) (VP (VBD said) (SBAR (IN that) (S (SBAR (ADVP (RB apparently)) (WHADVP (WRB whenever)) (S (NP (PRP he)) (VP (VBD came) (ADVP (RB back) (PP (TO to) (NP (NN B) (NNS S)))) (NP (NP (NN H)) (SBAR (S (NP (PRP he)) (VP (VBD was) (VP (VBN told) (PP (IN by) (NP (NP (NNP Neville) (RB roughly)) (PP (IN about) (NP (CD eighteen) (CD hundred) (NNS acres))))))))))))) (VP (MD would) (VP (VB be) (NP (NP (NN sort)) (PP (IN of) (NP (PRP$ his) (NN target))))))))))))
46415,"(17,)","Target , right","[Target/NN, ,/,, right/NN]","(ROOT (NP (NP (NN Target)) (, ,) (NP (NN right))))"
46415,"(18,)","and it 's , it 's multiplied by about three or four times that you see","[and/CC, it/PRP, 's/VBZ, ,/,, it/PRP, 's/VBZ, multiplied/VBN, by/IN, about/IN, three/CD, or/CC, four/CD, times/NNS, that/IN, you/PRP, see/VBP]","(ROOT (PRN (CC and) (S (NP (PRP it)) (VP (VBZ 's) (, ,) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (VP (VBN multiplied) (PP (IN by) (IN about) (NP (NP (CD three) (CC or) (CD four) (NNS times)) (SBAR (IN that) (S (NP (PRP you)) (VP (VBP see))))))))))))))"
46415,"(19,)","Oh right , right , right","[Oh/UH, right/RB, ,/,, right/NN, ,/,, right/NN]","(ROOT (NP (NP (UH Oh) (RB right)) (, ,) (NP (NN right)) (, ,) (ADVP (NN right))))"
46415,"(20,)","so consequently he 's getting inundated , he really is apparently under pressure","[so/RB, consequently/RB, he/PRP, 's/VBZ, getting/VBG, inundated/VBN, ,/,, he/PRP, really/RB, is/VBZ, apparently/RB, under/IN, pressure/NN]","(ROOT (S (S (ADVP (RB so)) (ADVP (RB consequently)) (NP (PRP he)) (VP (VBZ 's) (VP (VBG getting) (S (VP (VBN inundated)))))) (, ,) (NP (PRP he)) (ADVP (RB really)) (VP (VBZ is) (ADVP (RB apparently)) (PP (IN under) (NP (NN pressure))))))"
46415,"(21,)","Mm , mm , right","[Mm/NN, ,/,, mm/NN, ,/,, right/NN]","(ROOT (NP (NP (NN Mm)) (, ,) (NP (NN mm)) (, ,) (ADVP (NN right))))"
46415,"(22,)",so this is why I raised the very conversation about it,"[so/RB, this/DT, is/VBZ, why/WRB, I/PRP, raised/VBD, the/DT, very/RB, conversation/NN, about/IN, it/PRP]",(ROOT (ADJP (RB so) (SBAR (S (NP (DT this)) (VP (VBZ is) (SBAR (WHADVP (WRB why)) (S (NP (PRP I)) (VP (VBD raised) (NP (NP (DT the) (RB very) (NN conversation)) (PP (IN about) (NP (PRP it))))))))))))
46415,"(23,)","Right , right","[Right/NN, ,/,, right/NN]","(ROOT (NP (NP (NN Right)) (, ,) (NP (NN right))))"
46415,"(24,)","and er , I said well look I 'll have a word with the erm , with and see if he can think of anything that might","[and/CC, er/NN, ,/,, I/PRP, said/VBD, well/RB, look/VB, I/PRP, 'll/MD, have/VB, a/DT, word/NN, with/IN, the/DT, erm/NN, ,/,, with/IN, and/CC, see/VB, if/IN, he/PRP, can/MD, think/VB, of/IN, anything/NN, that/WDT, might/MD]","(ROOT (PRN (CC and) (S (NP (NN er)) (, ,) (NP (PRP I)) (VP (VBD said) (RB well) (VP (VB look) (SBAR (S (NP (PRP I)) (VP (MD 'll) (VP (VP (VB have) (NP (DT a) (NN word)) (PP (IN with) (NP (DT the) (NN erm))) (, ,) (PP (IN with))) (CC and) (VP (VB see) (SBAR (IN if) (S (NP (PRP he)) (VP (MD can) (VP (VB think) (PP (IN of) (NP (NP (NN anything)) (SBAR (WHNP (WDT that)) (S (VP (MD might))))))))))))))))))))"
46415,"(25,)",Yes alleviate the point,"[Yes/RB, alleviate/VB, the/DT, point/NN]",(ROOT (S (ADVP (RB Yes)) (VP (VB alleviate) (NP (DT the) (NN point)))))
46415,"(26,)","all things in mind that are possible on er , on er , on er computer , and he said that he hadn 't much time to think about it and said well look , maybe over Easter","[all/DT, things/NNS, in/IN, mind/NN, that/WDT, are/VBP, possible/JJ, on/IN, er/NN, ,/,, on/IN, er/NN, ,/,, on/IN, er/NN, computer/NN, ,/,, and/CC, he/PRP, said/VBD, that/IN, he/PRP, hadn/VBP, 't/PRP, much/JJ, time/NN, to/TO, think/VB, about/IN, it/PRP, and/CC, said/VBD, well/RB, look/VB, ,/,, maybe/RB, over/IN, Easter/NNP]","(ROOT (S (S (NP (DT all) (NNS things)) (PP (IN in) (NP (NP (NN mind)) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (ADJP (JJ possible) (PP (IN on) (NP (NN er)))) (PRN (, ,) (PP (IN on) (NP (NN er))) (, ,)) (PP (IN on) (NP (NN er) (NN computer))))))))) (, ,) (CC and) (S (NP (PRP he)) (VP (VP (VBD said) (SBAR (IN that) (S (NP (PRP he)) (VP (VBP hadn) (NP (PRP 't)) (NP (JJ much) (NN time)) (S (VP (TO to) (VP (VB think) (PP (IN about) (NP (PRP it)))))))))) (CC and) (VP (VBD said) (RB well) (VP (VB look) (, ,) (ADVP (RB maybe)) (PP (IN over) (NP (NNP Easter)))))))))"
46415,"(27,)",Mm,[Mm/NN],(ROOT (NP (NN Mm)))
46415,"(28,)",put down on a piece of paper what essentials you want done,"[put/VB, down/RP, on/IN, a/DT, piece/NN, of/IN, paper/NN, what/WDT, essentials/NNS, you/PRP, want/VBP, done/VBN]",(ROOT (S (VP (VB put) (PRT (RP down)) (PP (IN on) (NP (NP (DT a) (NN piece)) (PP (IN of) (NP (NN paper))))) (SBAR (WHNP (WDT what) (NNS essentials)) (S (NP (PRP you)) (VP (VBP want) (ADJP (VBN done))))))))
46415,"(29,)",Right,[Right/NN],(ROOT (NP (NN Right)))
46415,"(30,)",and what things that you 're liable to get asked,"[and/CC, what/WP, things/NNS, that/IN, you/PRP, 're/VBP, liable/JJ, to/TO, get/VB, asked/VBN]",(ROOT (FRAG (CC and) (NP (NP (WP what)) (SBAR (S (NP (NP (NNS things)) (SBAR (IN that) (S (NP (PRP you)) (VP (VBP 're) (ADJP (JJ liable) (S (VP (TO to) (VP (VB get))))))))) (VP (VBN asked)))))))
46415,"(31,)","Right , mm , mm","[Right/NN, ,/,, mm/NN, ,/,, mm/NN]","(ROOT (FRAG (NP (NP (NN Right)) (, ,) (NP (NN mm)) (, ,) (NP (NN mm)))))"
