4816,"(0, 1)","Hey , come on  what 's the matter ?","[Hey/UH, ,/,, come/VBN, on/IN, what/WP, 's/VBZ, the/DT, matter/NN, ?/.]","(ROOT (S (S (INTJ (UH Hey)) (, ,) (S (VP (VBN come) (PP (IN on)))) (NP (WP what)) (VP (VBZ 's) (NP (DT the) (NN matter)))) (. ?)))"
4816,"(2,)",  .,[./.],(ROOT (NP (. .)))
4816,"(3,)","Well , alright , well look it 's no good doing it if your just going to get upset .","[Well/RB, ,/,, alright/JJ, ,/,, well/RB, look/VB, it/PRP, 's/VBZ, no/DT, good/JJ, doing/VBG, it/PRP, if/IN, your/PRP$, just/RB, going/VBG, to/TO, get/VB, upset/VBN, ./.]","(ROOT (S (INTJ (RB Well)) (, ,) (NP (JJ alright)) (, ,) (ADVP (RB well)) (VP (VB look) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (ADJP (DT no) (JJ good)) (S (VP (VBG doing) (NP (PRP it)) (PP (IN if) (NP (PRP$ your) (RB just))) (VP (VBG going) (S (VP (TO to) (VP (VB get) (ADJP (VBN upset)))))))))))) (. .)))"
4816,"(4,)",What 's the matter ?,"[What/WP, 's/VBZ, the/DT, matter/NN, ?/.]",(ROOT (SBARQ (WHNP (WP What)) (SQ (VBZ 's) (NP (DT the) (NN matter))) (. ?)))
4816,"(5,)",Well I can 't leave it like this can I ?,"[Well/RB, I/PRP, can/MD, 't/PRP, leave/VB, it/PRP, like/IN, this/DT, can/MD, I/PRP, ?/.]",(ROOT (SINV (S (ADVP (RB Well)) (NP (PRP I)) (VP (MD can) (NP (PRP 't)) (S (VP (VB leave) (NP (PRP it)) (PP (IN like) (NP (DT this))))))) (VP (MD can)) (NP (PRP I)) (. ?)))
4816,"(6,)","Shhhh , well look , that 's very difficult to put on isn 't it .","[Shhhh/NNP, ,/,, well/RB, look/VB, ,/,, that/DT, 's/VBZ, very/RB, difficult/JJ, to/TO, put/VB, on/RP, isn/NN, 't/PRP, it/PRP, ./.]","(ROOT (S (NP (NNP Shhhh)) (, ,) (S (ADVP (RB well)) (VP (VB look))) (, ,) (NP (DT that)) (VP (VBZ 's) (ADJP (RB very) (JJ difficult)) (S (VP (TO to) (VP (VB put) (PRT (RP on)) (NP (NP (NN isn)) (NP (NP (PRP 't)) (NP (PRP it)))))))) (. .)))"
4816,"(7,)","Yes , but when I put some   back , back packed .","[Yes/UH, ,/,, but/CC, when/WRB, I/PRP, put/VBD, some/DT, back/RB, ,/,, back/RB, packed/VBN, ./.]","(ROOT (S (INTJ (UH Yes)) (, ,) (NP (CC but)) (ADVP (WRB when)) (VP (ADVP (PRP I)) (VBD put) (NP (DT some)) (ADVP (RB back)) (, ,) (PP (RB back) (ADJP (VBN packed)))) (. .)))"
4816,"(8,)",Well then your better putting it back to the back place first .,"[Well/RB, then/RB, your/PRP$, better/JJR, putting/VBG, it/PRP, back/RB, to/TO, the/DT, back/JJ, place/NN, first/RB, ./.]",(ROOT (FRAG (ADVP (RB Well)) (NP (NP (RB then)) (SBAR (S (NP (PRP$ your) (JJR better)) (VP (VBG putting) (NP (PRP it)) (ADVP (RB back) (PP (TO to) (NP (DT the) (JJ back) (NN place)))) (ADVP (RB first)))))) (. .)))
4816,"(9,)", there as well .,"[there/EX, as/RB, well/RB, ./.]",(ROOT (S (NP (EX there)) (VP (ADVP (RB as) (RB well))) (. .)))
4816,"(10,)","Right , now you want to put that on again .","[Right/NN, ,/,, now/RB, you/PRP, want/VBP, to/TO, put/VB, that/DT, on/IN, again/RB, ./.]","(ROOT (S (NP (NN Right)) (, ,) (ADVP (RB now)) (NP (PRP you)) (VP (VBP want) (S (VP (TO to) (VP (VB put) (NP (DT that)) (PP (IN on) (ADVP (RB again))))))) (. .)))"
4816,"(11,)",I know .,"[I/PRP, know/VBP, ./.]",(ROOT (S (NP (PRP I)) (VP (VBP know)) (. .)))
4816,"(12,)","It 's alright , cos it 's very , that 's very difficult  .","[It/PRP, 's/VBZ, alright/JJ, ,/,, cos/NN, it/PRP, 's/VBZ, very/RB, ,/,, that/DT, 's/VBZ, very/RB, difficult/JJ, ./.]","(ROOT (S (NP (PRP It)) (VP (VBZ 's) (ADJP (JJ alright)) (, ,) (NP (NP (NN cos)) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (ADVP (RB very) (VP (, ,) (S (NP (NP (DT that)) (SBAR (S (VP (VBZ 's) (ADJP (RB very) (JJ difficult)))))))))))))) (. .)))"
4816,"(13,)","I can do that holding the edge actually , have to hold the tall side .","[I/PRP, can/MD, do/VB, that/DT, holding/VBG, the/DT, edge/NN, actually/RB, ,/,, have/VBP, to/TO, hold/VB, the/DT, tall/JJ, side/NN, ./.]","(ROOT (S (NP (PRP I)) (VP (MD can) (VP (VB do) (SBAR (S (NP (NP (DT that)) (VP (VBG holding) (NP (DT the) (NN edge)) (ADVP (RB actually)))) (, ,) (VP (VBP have) (S (VP (TO to) (VP (VB hold) (NP (DT the) (JJ tall) (NN side)))))))))) (. .)))"
4816,"(14,)","Right , put them in the , doesn 't even fit on very well .","[Right/NN, ,/,, put/VBD, them/PRP, in/IN, the/DT, ,/,, doesn/NNP, 't/PRP, even/RB, fit/VBP, on/IN, very/RB, well/RB, ./.]","(ROOT (S (NP (NN Right)) (, ,) (VP (VBD put) (NP (PRP them)) (PP (IN in) (NP (NP (DT the)) (, ,) (NP (NP (NNP doesn)) (SBAR (S (NP (PRP 't)) (ADVP (RB even)) (VP (VBP fit) (PP (IN on) (ADVP (RB very) (RB well)))))))))) (. .)))"
4816,"(15,)","Oh no ,  .","[Oh/UH, no/DT, ,/,, ./.]","(ROOT (S (VP (NP (INTJ (UH Oh)) (NP (DT no) (, ,)))) (. .)))"
4816,"(16,)",I can 't see what I 'm doing even .,"[I/PRP, can/MD, 't/PRP, see/VB, what/WP, I/PRP, 'm/VBP, doing/VBG, even/RB, ./.]",(ROOT (S (NP (PRP I)) (VP (MD can) (NP (PRP 't)) (S (VP (VB see) (SBAR (WHNP (WP what)) (S (NP (PRP I)) (VP (VBP 'm) (VP (VBG doing) (ADVP (RB even))))))))) (. .)))
4816,"(17,)",I mean that 's a silly place to put it Amy .,"[I/PRP, mean/VBP, that/DT, 's/VBZ, a/DT, silly/JJ, place/NN, to/TO, put/VB, it/PRP, Amy/NNP, ./.]",(ROOT (S (NP (PRP I)) (VP (VBP mean) (SBAR (S (NP (DT that)) (VP (VBZ 's) (NP (DT a) (JJ silly) (NN place) (S (VP (TO to) (VP (VB put) (S (NP (PRP it)) (NP (NNP Amy))))))))))) (. .)))
4816,"(18,)",I can 't find any where else to put it  .,"[I/PRP, can/MD, 't/PRP, find/VB, any/DT, where/WRB, else/RB, to/TO, put/VB, it/PRP, ./.]",(ROOT (S (NP (PRP I)) (VP (MD can) (NP (PRP 't)) (S (VP (VB find) (NP (NP (DT any)) (SBAR (WHADVP (WRB where)) (S (NP (RB else)) (VP (TO to) (VP (VB put) (NP (PRP it)))))))))) (. .)))
4816,"(19,)","Well why don 't you put it on the table or on the little table , it doesn 't even fit on that shelf , does it ?","[Well/RB, why/WRB, don/NNP, 't/PRP, you/PRP, put/VBP, it/PRP, on/IN, the/DT, table/NN, or/CC, on/IN, the/DT, little/JJ, table/NN, ,/,, it/PRP, doesn/VBD, 't/PRP, even/RB, fit/VBP, on/IN, that/DT, shelf/NN, ,/,, does/VBZ, it/PRP, ?/.]","(ROOT (SINV (S (ADVP (RB Well)) (SBAR (WHADVP (WRB why) (NP (NP (NNP don)) (NP (PRP 't)))) (S (NP (PRP you)) (VP (VBP put) (NP (PRP it)) (PP (PP (IN on) (NP (DT the) (NN table))) (CC or) (PP (IN on) (NP (DT the) (JJ little) (NN table))))))) (, ,) (NP (PRP it)) (VP (VBD doesn) (SBAR (S (NP (PRP 't)) (ADVP (RB even)) (VP (VBP fit) (PP (IN on) (NP (DT that) (NN shelf)))))))) (, ,) (VP (VBZ does)) (NP (PRP it)) (. ?)))"
4816,"(20,)",It 's too big .,"[It/PRP, 's/VBZ, too/RB, big/JJ, ./.]",(ROOT (S (NP (PRP It)) (VP (VBZ 's) (ADJP (RB too) (JJ big))) (. .)))
