69801,"(0,)",Mustn 't forget these .,"[Mustn/JJ, 't/PRP, forget/VB, these/DT, ./.]",(ROOT (S (ADJP (JJ Mustn) (SBAR (S (NP (PRP 't)) (VP (VB forget) (NP (DT these)))))) (. .)))
69801,"(1,)","Oh , your glass- where 've you , have you picked your glasses up ?","[Oh/UH, ,/,, your/PRP$, glass-/NN, where/WRB, 've/VBP, you/PRP, ,/,, have/VBP, you/PRP, picked/VBN, your/PRP$, glasses/NNS, up/RP, ?/.]","(ROOT (S (INTJ (UH Oh)) (, ,) (NP (PRP$ your) (NN glass-)) (SBAR (WHADVP (WRB where)) (S (VP (VBP 've) (NP (PRP you))))) (, ,) (VP (VBP have) (NP (NP (PRP you)) (VP (VBN picked) (NP (PRP$ your) (NNS glasses)) (PRT (RP up))))) (. ?)))"
69801,"(2,)",Got me glasses up yes,"[Got/VBD, me/PRP, glasses/VBZ, up/RP, yes/RB]",(ROOT (SINV (VP (VBD Got) (SBAR (S (NP (PRP me)) (VP (VBZ glasses) (PRT (RP up)))))) (NP (RB yes))))
69801,"(3,)",Seeing as you frequently forget them,"[Seeing/VBG, as/IN, you/PRP, frequently/RB, forget/VBP, them/PRP]",(ROOT (S (VP (VBG Seeing) (SBAR (IN as) (S (NP (PRP you)) (ADVP (RB frequently)) (VP (VBP forget) (NP (PRP them))))))))
69801,"(4,)","do you want some posters for Gordon and Adam , well I can only lend you a couple of ones , but those might do if she turns them over","[do/VB, you/PRP, want/VBP, some/DT, posters/NNS, for/IN, Gordon/NNP, and/CC, Adam/NNP, ,/,, well/RB, I/PRP, can/MD, only/RB, lend/VB, you/PRP, a/DT, couple/NN, of/IN, ones/NNS, ,/,, but/CC, those/DT, might/MD, do/VB, if/IN, she/PRP, turns/VBZ, them/PRP, over/IN]","(ROOT (S (VP (VB do) (SBAR (S (S (S (NP (PRP you)) (VP (VBP want) (NP (NP (DT some) (NNS posters)) (PP (IN for) (NP (NNP Gordon) (CC and) (NNP Adam)))))) (, ,) (ADVP (RB well)) (S (NP (PRP I)) (VP (MD can) (ADVP (RB only)) (VP (VB lend) (NP (PRP you)) (NP (NP (DT a) (NN couple)) (PP (IN of) (NP (NNS ones)))))))) (, ,) (CC but) (S (NP (DT those)) (VP (MD might) (VP (VB do) (SBAR (IN if) (S (NP (PRP she)) (VP (VBZ turns) (NP (PRP them)) (PP (IN over)))))))))))))"
69801,"(5,)",What ?,"[What/WDT, ?/.]",(ROOT (FRAG (WHNP (WDT What)) (. ?)))
69801,"(6,)","those there , cos those are the ones I had for the European elections","[those/DT, there/EX, ,/,, cos/NNP, those/DT, are/VBP, the/DT, ones/NNS, I/PRP, had/VBD, for/IN, the/DT, European/JJ, elections/NNS]","(ROOT (FRAG (NP (NP (DT those)) (SBAR (S (NP (EX there)) (, ,) (NP (NP (NNP cos)) (SBAR (S (NP (DT those)) (VP (VBP are) (NP (DT the) (NNS ones)))))) (NP (PRP I)) (VP (VBD had) (PP (IN for) (NP (DT the) (JJ European) (NNS elections)))))))))"
69801,"(7,)",Oh,[Oh/UH],(ROOT (INTJ (UH Oh)))
69801,"(8,)",So did you say the yellow leaves on this umbrella tree are due to,"[So/RB, did/VBD, you/PRP, say/VBP, the/DT, yellow/JJ, leaves/NNS, on/IN, this/DT, umbrella/NN, tree/NN, are/VBP, due/JJ, to/TO]",(ROOT (SINV (RB So) (VP (VBD did) (SBAR (S (NP (PRP you)) (VP (VBP say))))) (NP (NP (DT the) (JJ yellow) (NNS leaves)) (PP (IN on) (NP (NP (DT this) (NN umbrella) (NN tree)) (SBAR (S (VP (VBP are) (ADJP (JJ due) (PP (TO to)))))))))))
69801,"(9,)","If they 're not , if they don 't , if it doesn 't get sufficient light , the leaves turn all green","[If/IN, they/PRP, 're/VBP, not/RB, ,/,, if/IN, they/PRP, don/VBP, 't/PRP, ,/,, if/IN, it/PRP, doesn/VBD, 't/PRP, get/VB, sufficient/JJ, light/NN, ,/,, the/DT, leaves/NNS, turn/VBP, all/DT, green/JJ]","(ROOT (S (SBAR (IN If) (S (NP (PRP they)) (VP (VBP 're) (RB not)))) (, ,) (SBAR (IN if) (S (NP (PRP they)) (VP (VBP don) (NP (PRP 't))))) (, ,) (SBAR (IN if) (S (NP (PRP it)) (VP (VBD doesn) (S (NP (PRP 't)) (VP (VB get) (NP (JJ sufficient) (NN light))))))) (, ,) (NP (DT the) (NNS leaves)) (VP (VBP turn) (S (NP (DT all)) (ADJP (JJ green))))))"
69801,"(10,)","Green , right , so in actual , so that would","[Green/JJ, ,/,, right/JJ, ,/,, so/RB, in/IN, actual/JJ, ,/,, so/IN, that/DT, would/MD]","(ROOT (FRAG (NP (NP (JJ Green)) (, ,) (ADJP (ADJP (JJ right)) (PRN (, ,) (ADVP (RB so) (PP (IN in) (ADJP (JJ actual)))) (, ,)))) (SBAR (IN so) (S (NP (DT that)) (VP (MD would))))))"
