71101,"(0,)",Where are you going ?,"[Where/WRB, are/VBP, you/PRP, going/VBG, ?/.]",(ROOT (SBARQ (WHADVP (WRB Where)) (SQ (VBP are) (NP (PRP you)) (VP (VBG going))) (. ?)))
71101,"(1,)","I 'm going off on me walkabouts , gonna visit all me old mates","[I/PRP, 'm/VBP, going/VBG, off/RP, on/IN, me/PRP, walkabouts/NNS, ,/,, gonna/NNP, visit/VB, all/DT, me/PRP, old/JJ, mates/NNS]","(ROOT (S (NP (PRP I)) (VP (VBP 'm) (VP (VBG going) (PRT (RP off)) (PP (IN on) (NP (PRP me) (NNS walkabouts))) (, ,) (S (NP (NNP gonna)) (VP (VB visit) (NP (DT all) (ADJP (NP (PRP me)) (JJ old)) (NNS mates))))))))"
71101,"(2,)","Mm , mm","[Mm/NN, ,/,, mm/NN]","(ROOT (NP (NP (NN Mm)) (, ,) (NP (NN mm))))"
71101,"(3,)",and er have a good time apart from the fact I was camping at,"[and/CC, er/NN, have/VBP, a/DT, good/JJ, time/NN, apart/RB, from/IN, the/DT, fact/NN, I/PRP, was/VBD, camping/VBG, at/IN]",(ROOT (FRAG (CC and) (NP (NP (NN er)) (SBAR (S (VP (VBP have) (NP (DT a) (JJ good) (NN time)) (ADVP (RB apart)) (PP (IN from) (NP (NP (DT the) (NN fact)) (SBAR (S (NP (PRP I)) (VP (VBD was) (VP (VBG camping) (PP (IN at))))))))))))))
71101,"(4,)",,[],X
71101,"(5, 6)", so I 'm going off on the Mo- on the Tuesday  still be knackered after the,"[so/IN, I/PRP, 'm/VBP, going/VBG, off/RP, on/IN, the/DT, Mo-/NN, on/IN, the/DT, Tuesday/NNP, still/RB, be/VB, knackered/VBN, after/IN, the/DT]",(ROOT (SBAR (IN so) (S (NP (PRP I)) (VP (VBP 'm) (VP (VBG going) (PRT (RP off)) (PP (IN on) (NP (NP (DT the) (NN Mo-)) (PP (IN on) (NP (DT the) (NNP Tuesday))))) (S (ADVP (RB still)) (VP (VB be) (VP (VBN knackered) (PP (IN after) (NP (DT the)))))))))))
71101,"(7,)",Just after the disabled games,"[Just/RB, after/IN, the/DT, disabled/JJ, games/NNS]",(ROOT (PP (RB Just) (IN after) (NP (DT the) (JJ disabled) (NNS games))))
71101,"(8,)","disabled games , that 's a Tuesday , this , that 's , the day after Bank Holiday , setting off , er nine o 'clock in the morning","[disabled/JJ, games/NNS, ,/,, that/DT, 's/VBZ, a/DT, Tuesday/NNP, ,/,, this/DT, ,/,, that/DT, 's/VBZ, ,/,, the/DT, day/NN, after/IN, Bank/NN, Holiday/NN, ,/,, setting/VBG, off/RP, ,/,, er/NN, nine/CD, o/NN, 'clock/NN, in/IN, the/DT, morning/NN]","(ROOT (FRAG (NP (NP (JJ disabled) (NNS games)) (, ,) (SBAR (WHNP (DT that)) (S (VP (VBZ 's) (NP (NP (NP (DT a) (NNP Tuesday)) (, ,) (NP (DT this)) (, ,) (SBAR (WHNP (DT that)) (S (VP (VBZ 's) (, ,) (PP (NP (DT the) (NN day)) (IN after) (NP (NN Bank) (NN Holiday))) (, ,) (VP (VBG setting) (PRT (RP off))))))) (, ,) (NP (NP (NN er) (CD nine) (NN o) (NN 'clock)) (PP (IN in) (NP (DT the) (NN morning)))))))))))"
71101,"(9,)",This the Tuesday ?,"[This/DT, the/DT, Tuesday/NNP, ?/.]",(ROOT (FRAG (NP (DT This)) (NP (DT the) (NNP Tuesday)) (. ?)))
71101,"(10,)",Yeah,[Yeah/UH],(ROOT (INTJ (UH Yeah)))
71101,"(11,)",Yeah,[Yeah/UH],(ROOT (INTJ (UH Yeah)))
