7201,"(0,)",Can you read this one ?,"[Can/MD, you/PRP, read/VB, this/DT, one/CD, ?/.]",(ROOT (SQ (MD Can) (NP (PRP you)) (VP (VB read) (NP (DT this) (CD one))) (. ?)))
7201,"(1,)",Which one ?,"[Which/WDT, one/CD, ?/.]",(ROOT (FRAG (WHNP (WDT Which) (NP (CD one))) (. ?)))
7201,"(2,)",Dummy .,"[Dummy/NN, ./.]",(ROOT (NP (NN Dummy) (. .)))
7201,"(3,)",Which one 's that ?,"[Which/WDT, one/PRP, 's/VBZ, that/IN, ?/.]",(ROOT (SBARQ (WHNP (WDT Which) (NP (PRP one))) (SQ (VBZ 's) (ADJP (IN that))) (. ?)))
7201,"(4,)",Ah Paddington Bear .,"[Ah/NN, Paddington/NN, Bear/NN, ./.]",(ROOT (NP (NP (NN Ah)) (NP (NN Paddington) (NN Bear)) (. .)))
7201,"(5,)",Paddington Bear at Christmas time .,"[Paddington/NNP, Bear/NNP, at/IN, Christmas/NNP, time/NNP, ./.]",(ROOT (NP (NP (NNP Paddington) (NNP Bear)) (PP (IN at) (NP (NNP Christmas) (NNP time))) (. .)))
7201,"(6,)",And it 's got lots and lots of letters .,"[And/CC, it/PRP, 's/VBZ, got/VBN, lots/NNS, and/CC, lots/NNS, of/IN, letters/NNS, ./.]",(ROOT (S (CC And) (NP (PRP it)) (VP (VBZ 's) (VP (VBN got) (NP (NP (NNS lots) (CC and) (NNS lots)) (PP (IN of) (NP (NNS letters)))))) (. .)))
7201,"(7,)",It has .,"[It/PRP, has/VBZ, ./.]",(ROOT (S (NP (PRP It)) (VP (VBZ has)) (. .)))
7201,"(8,)",Well would you like me to get you some breakfast first ?,"[Well/RB, would/MD, you/PRP, like/VB, me/PRP, to/TO, get/VB, you/PRP, some/DT, breakfast/NN, first/RB, ?/.]",(ROOT (FRAG (ADJP (RB Well)) (S (MD would) (NP (PRP you)) (VP (VB like) (S (NP (PRP me)) (VP (TO to) (VP (VB get) (NP (PRP you)) (ADVP (NP (DT some) (NN breakfast)) (RB first))))))) (. ?)))
7201,"(9,)",Erm nice drink .,"[Erm/NNP, nice/JJ, drink/NN, ./.]",(ROOT (NP (NP (NNP Erm)) (NP (JJ nice) (NN drink)) (. .)))
7201,"(10,)",A nice drink .,"[A/DT, nice/JJ, drink/NN, ./.]",(ROOT (NP (DT A) (JJ nice) (NN drink) (. .)))
7201,"(11,)",Mm mm,"[Mm/NN, mm/NN]",(ROOT (NP (NN Mm) (NN mm)))
