73907,"(0,)",Who was that ?,"[Who/WP, was/VBD, that/IN, ?/.]",(ROOT (SBARQ (WHNP (WP Who)) (SQ (VBD was) (ADJP (IN that))) (. ?)))
73907,"(1,)",Jane >,"[Jane/NNP, >/JJR]",(ROOT (NP (NP (NNP Jane)) (NP (JJR >))))
73907,"(2,)",What she want ?,"[What/WP, she/PRP, want/VB, ?/.]",(ROOT (SBARQ (WHNP (WP What)) (SQ (NP (PRP she)) (VP (VB want))) (. ?)))
73907,"(3, 4, 5)","I don 't know if you remember but ages ago , round about October time she borrowed some stuff for the Brownies , for erm , for Sian , Sian was going camping and she hadn 't got shorts or anything , so she borrowed it off me , I was thinking of Stacey starting , I wanted the t- I 'm not bothered about the shorts , but I want the T-shirt and I 'm just gonna get Stacey the culottes  and she can wear her shorts and the cardigan with it  buy , when she first starts and then we could , Deana 's moving up to Guides this , so she can have that sweatshirt of er , I mean they 're nine pound","[I/PRP, don/VBP, 't/PRP, know/VB, if/IN, you/PRP, remember/VBP, but/CC, ages/NNS, ago/RB, ,/,, round/NN, about/IN, October/NNP, time/NN, she/PRP, borrowed/VBD, some/DT, stuff/NN, for/IN, the/DT, Brownies/NNS, ,/,, for/IN, erm/NN, ,/,, for/IN, Sian/NNP, ,/,, Sian/NNP, was/VBD, going/VBG, camping/NN, and/CC, she/PRP, hadn/VBP, 't/PRP, got/VBD, shorts/NNS, or/CC, anything/NN, ,/,, so/IN, she/PRP, borrowed/VBD, it/PRP, off/IN, me/PRP, ,/,, I/PRP, was/VBD, thinking/VBG, of/IN, Stacey/NNP, starting/VBG, ,/,, I/PRP, wanted/VBD, the/DT, t-/NN, I/PRP, 'm/VBP, not/RB, bothered/VBN, about/IN, the/DT, shorts/NNS, ,/,, but/CC, I/PRP, want/VBP, the/DT, T-shirt/NNS, and/CC, I/PRP, 'm/VBP, just/RB, gonna/NNP, get/VB, Stacey/NNP, the/DT, culottes/NNS, and/CC, she/PRP, can/MD, wear/VB, her/PRP$, shorts/NNS, and/CC, the/DT, cardigan/NN, with/IN, it/PRP, buy/VB, ,/,, when/WRB, she/PRP, first/RB, starts/VBZ, and/CC, then/RB, we/PRP, could/MD, ,/,, Deana/NNP, 's/POS, moving/VBG, up/RB, to/TO, Guides/NNS, this/DT, ,/,, so/IN, she/PRP, can/MD, have/VB, that/DT, sweatshirt/NN, of/IN, er/NN, ,/,, I/PRP, mean/VBP, they/PRP, 're/VBP, nine/CD, pound/NN]","(ROOT (S (NP (PRP I)) (VP (VBP don) (S (NP (PRP 't)) (VP (VB know) (SBAR (S (SBAR (IN if) (S (NP (PRP you)) (VP (VBP remember) (SBAR (S (S (CC but) (S (ADVP (NP (NNS ages)) (RB ago)) (, ,) (NP (NP (NN round)) (PP (IN about) (NP (NNP October) (NN time))) (SBAR (S (NP (PRP she)) (VP (VBD borrowed) (NP (NP (DT some) (NN stuff)) (PP (IN for) (NP (DT the) (NNS Brownies)))) (, ,) (PP (IN for) (NP (NN erm))) (, ,) (PP (IN for) (NP (NNP Sian) (, ,) (NNP Sian))))))) (VP (VBD was) (VP (VBG going) (NP (NN camping))))) (CC and) (S (NP (PRP she)) (VP (VBP hadn) (SBAR (S (NP (PRP 't)) (VP (VBD got) (NP (NNS shorts) (CC or) (NN anything)))))))) (, ,) (IN so) (S (NP (PRP she)) (VP (VBD borrowed) (NP (PRP it)) (PP (IN off) (NP (PRP me))))) (, ,) (S (NP (PRP I)) (VP (VBD was) (VP (VBG thinking) (PP (IN of) (NP (NP (NNP Stacey)) (VP (VBG starting))))))) (, ,) (S (NP (PRP I)) (VP (VBD wanted) (NP (NP (DT the) (NN t-)) (SBAR (S (NP (PRP I)) (VP (VBP 'm) (RB not) (VP (VBN bothered) (PP (IN about) (NP (DT the) (NNS shorts)))))))))) (, ,) (CC but) (S (NP (PRP I)) (VP (VBP want) (NP (DT the) (NNS T-shirt)))) (CC and) (S (NP (PRP I)) (VP (VBP 'm) (ADVP (RB just)) (NP (NP (NNP gonna)) (S (S (VP (VB get) (S (NP (NNP Stacey)) (NP (DT the) (NNS culottes))))) (CC and) (S (NP (PRP she)) (VP (MD can) (VP (VB wear) (NP (NP (PRP$ her) (NNS shorts)) (CC and) (NP (DT the) (NN cardigan)))))))) (SBAR (IN with) (S (NP (PRP it)) (VP (VB buy)))) (, ,) (SBAR (WHADVP (WRB when)) (S (NP (PRP she)) (ADVP (RB first)) (VP (VBZ starts)))))) (CC and) (RB then) (S (NP (PRP we)) (VP (MD could)))))))) (, ,) (S (NP (NNP Deana) (POS 's)) (VP (VBG moving) (ADVP (RB up) (PP (TO to) (NP (NNS Guides)))) (NP (DT this)))) (, ,) (IN so) (S (NP (PRP she)) (VP (MD can) (VP (VB have) (NP (NP (DT that) (NN sweatshirt)) (PP (IN of) (NP (NN er))))))) (, ,) (S (NP (PRP I)) (VP (VBP mean) (SBAR (S (NP (PRP they)) (VP (VBP 're) (NP (CD nine) (NN pound))))))))))))))"
73907,"(6,)",Mm .,"[Mm/NN, ./.]",(ROOT (NP (NN Mm) (. .)))
73907,"(7,)","it 's no good buying another one , she 's not gonna need it in the summer is she ?","[it/PRP, 's/VBZ, no/DT, good/JJ, buying/NN, another/DT, one/CD, ,/,, she/PRP, 's/VBZ, not/RB, gonna/VB, need/VB, it/PRP, in/IN, the/DT, summer/NN, is/VBZ, she/PRP, ?/.]","(ROOT (S (S (NP (PRP it)) (VP (VBZ 's) (NP (NP (DT no) (JJ good) (NN buying)) (NP (DT another) (CD one))))) (, ,) (NP (PRP she)) (VP (VBZ 's) (RB not) (S (VP (VB gonna) (VP (VB need) (NP (PRP it))))) (SBAR (IN in) (S (NP (DT the) (NN summer)) (VP (VBZ is) (NP (PRP she)))))) (. ?)))"
73907,"(8,)","I 've cooked these steaks too long , trying to get them brown .","[I/PRP, 've/VBP, cooked/VBN, these/DT, steaks/NNS, too/RB, long/RB, ,/,, trying/VBG, to/TO, get/VB, them/PRP, brown/JJ, ./.]","(ROOT (S (NP (PRP I)) (VP (VBP 've) (VP (VBN cooked) (NP (DT these) (NNS steaks)) (ADVP (RB too) (RB long)) (, ,) (S (VP (VBG trying) (S (VP (TO to) (VP (VB get) (NP (PRP them) (JJ brown))))))))) (. .)))"
73907,"(9,)",Will you do me a favour and keep the receipt and everything for that C D and the bag that it 's in ?,"[Will/MD, you/PRP, do/VB, me/PRP, a/DT, favour/NN, and/CC, keep/VB, the/DT, receipt/NN, and/CC, everything/NN, for/IN, that/DT, C/NN, D/NN, and/CC, the/DT, bag/NN, that/IN, it/PRP, 's/VBZ, in/IN, ?/.]",(ROOT (SQ (MD Will) (NP (PRP you)) (VP (VP (VB do) (S (NP (PRP me)) (NP (DT a) (NN favour)))) (CC and) (VP (VB keep) (NP (DT the) (NN receipt) (CC and) (NN everything)) (PP (IN for) (NP (NP (DT that) (NN C) (NN D)) (CC and) (NP (DT the) (NN bag)))) (SBAR (IN that) (S (NP (PRP it)) (VP (VBZ 's) (PP (IN in))))))) (. ?)))
73907,"(10, 11, 12, 13, 14)","Sandy must be having company , pulled the blind down     I think that 's why they 've been good about the parking this week , cos I mean Irene 's pulled her car , we saw Irene pull her car in  was you here when she  I saw her get in it , it must of been teatime yesterday","[Sandy/NNP, must/MD, be/VB, having/VBG, company/NN, ,/,, pulled/VBD, the/DT, blind/JJ, down/IN, I/PRP, think/VBP, that/DT, 's/VBZ, why/WRB, they/PRP, 've/VBP, been/VBN, good/JJ, about/IN, the/DT, parking/NN, this/DT, week/NN, ,/,, cos/NN, I/PRP, mean/VBP, Irene/NNP, 's/POS, pulled/VBD, her/PRP, car/NN, ,/,, we/PRP, saw/VBD, Irene/NNP, pull/VB, her/PRP$, car/NN, in/IN, was/VBD, you/PRP, here/RB, when/WRB, she/PRP, I/PRP, saw/VBD, her/PRP, get/VB, in/IN, it/PRP, ,/,, it/PRP, must/MD, of/IN, been/VBN, teatime/NN, yesterday/NN]","(ROOT (S (NP (NNP Sandy)) (VP (MD must) (VP (VB be) (VP (VP (VBG having) (NP (NN company))) (, ,) (VP (VBD pulled) (SBAR (S (NP (NP (DT the) (ADJP (JJ blind) (PP (IN down) (SBAR (S (NP (PRP I)) (VP (VBP think) (SBAR (S (NP (DT that)) (VP (VBZ 's) (SBAR (WHADVP (WRB why)) (S (NP (PRP they)) (VP (VBP 've) (VP (VBN been) (ADJP (JJ good) (PP (IN about) (NP (NP (NP (DT the) (NN parking)) (NP (DT this) (NN week))) (, ,) (NP (NP (NN cos)) (SBAR (S (NP (PRP I)) (VP (VBP mean) (SBAR (S (NP (NNP Irene) (POS 's)) (VP (VBD pulled) (NP (PRP her)))))))))))))))))))))))) (NN car)) (PRN (, ,) (S (NP (PRP we)) (VP (VBD saw) (S (NP (NNP Irene)) (VP (VB pull) (NP (PRP$ her) (NN car)) (PP (IN in)))))))) (VP (VBD was) (NP (PRP you)) (ADVP (RB here)))))) (SBAR (WHADVP (WRB when)) (S (NP (PRP she)) (PRN (S (NP (PRP I)) (VP (VBD saw) (S (NP (PRP her)) (VP (VB get) (PP (IN in) (NP (PRP it))))))) (, ,)) (NP (PRP it)) (VP (MD must) (PP (IN of)) (VP (VBN been) (NP (NN teatime) (NN yesterday)))))))))))"
73907,"(15,)",No .,"[No/DT, ./.]",(ROOT (FRAG (NP (DT No)) (. .)))
73907,"(16,)","she got in it , pulled it forward and put it in .","[she/PRP, got/VBD, in/IN, it/PRP, ,/,, pulled/VBD, it/PRP, forward/RB, and/CC, put/VB, it/PRP, in/IN, ./.]","(ROOT (S (NP (PRP she)) (VP (VP (VBD got) (PP (IN in) (NP (PRP it)))) (, ,) (VP (VBD pulled) (NP (PRP it)) (ADVP (RB forward))) (CC and) (VP (VB put) (NP (PRP it)) (PP (IN in)))) (. .)))"
