74301,"(0,)",Like what,"[Like/IN, what/WDT]",(ROOT (PP (IN Like) (WHNP (WDT what))))
74301,"(1,)",Well they,"[Well/RB, they/PRP]",(ROOT (FRAG (ADVP (RB Well)) (NP (PRP they))))
74301,"(2,)",eh ?,"[eh/UH, ?/.]",(ROOT (INTJ (UH eh) (. ?)))
74301,"(3,)",these the stuff not coming,"[these/DT, the/DT, stuff/NN, not/RB, coming/VBG]",(ROOT (S (NP (DT these) (DT the) (NN stuff)) (VP (RB not) (S (VP (VBG coming))))))
74301,"(4,)","I know , it 's a damn nuisance","[I/PRP, know/VBP, ,/,, it/PRP, 's/VBZ, a/DT, damn/NN, nuisance/NN]","(ROOT (S (NP (PRP I)) (VP (VBP know) (, ,) (SBAR (S (NP (PRP it)) (VP (VBZ 's) (NP (DT a) (NN damn) (NN nuisance))))))))"
74301,"(5,)","though , there 's quite a low in 't it ? ,","[though/RB, ,/,, there/EX, 's/VBZ, quite/RB, a/DT, low/JJ, in/IN, 't/PRP, it/PRP, ?/., ,/,]","(ROOT (S (ADVP (RB though)) (, ,) (NP (EX there)) (VP (VBZ 's) (NP (NP (NP (RB quite) (DT a) (JJ low)) (PP (IN in) (FRAG (NP (PRP 't)) (NP (PRP it)) (. ?)))) (, ,)))))"
74301,"(6,)","I mean how long did it take that washer a week , if that","[I/PRP, mean/VBP, how/WRB, long/RB, did/VBD, it/PRP, take/VB, that/DT, washer/NN, a/DT, week/NN, ,/,, if/IN, that/DT]","(ROOT (S (NP (PRP I)) (VP (VBP mean) (SBAR (SBARQ (WHADVP (WRB how) (RB long)) (SQ (VBD did) (NP (PRP it)) (VP (VB take) (NP (DT that) (NN washer)) (NP (DT a) (NN week)) (, ,) (SBAR (IN if) (FRAG (NP (DT that)))))))))))"
74301,"(7,)",was under,"[was/VBD, under/IN]",(ROOT (FRAG (VP (VBD was) (ADVP (IN under)))))
74301,"(8, 9)",and that bit in there  from the album is exactly the same equipment,"[and/CC, that/DT, bit/NN, in/IN, there/RB, from/IN, the/DT, album/NN, is/VBZ, exactly/RB, the/DT, same/JJ, equipment/NN]",(ROOT (FRAG (CC and) (NP (NP (DT that)) (SBAR (S (NP (NP (NN bit)) (PP (IN in) (NP (NP (RB there)) (PP (IN from) (NP (DT the) (NN album)))))) (VP (VBZ is) (ADVP (RB exactly)) (NP (DT the) (JJ same) (NN equipment))))))))
74301,"(10,)","yeah I know , actually if it 'd been different equipment I would have cancelled it and said oh sod it , but it 's not , it 's same equipment , so you might as well wait for it","[yeah/UH, I/PRP, know/VBP, ,/,, actually/RB, if/IN, it/PRP, 'd/MD, been/VBN, different/JJ, equipment/NN, I/PRP, would/MD, have/VB, cancelled/VBN, it/PRP, and/CC, said/VBD, oh/NN, sod/NN, it/PRP, ,/,, but/CC, it/PRP, 's/VBZ, not/RB, ,/,, it/PRP, 's/VBZ, same/JJ, equipment/NN, ,/,, so/RB, you/PRP, might/MD, as/RB, well/RB, wait/VB, for/IN, it/PRP]","(ROOT (FRAG (S (S (S (INTJ (UH yeah)) (NP (PRP I)) (VP (VBP know))) (, ,) (ADVP (RB actually)) (S (SBAR (IN if) (S (NP (PRP it)) (VP (MD 'd) (VP (VBN been) (NP (JJ different) (NN equipment)))))) (NP (PRP I)) (VP (VP (MD would) (VP (VB have) (VP (VBN cancelled) (NP (PRP it))))) (CC and) (VP (VBD said) (S (NP (NN oh) (NN sod)) (NP (PRP it))))))) (, ,) (CC but) (S (NP (PRP it)) (VP (VBZ 's) (RB not)) (PRN (, ,) (S (NP (PRP it)) (VP (VBZ 's) (NP (JJ same) (NN equipment)))) (, ,)) (SBAR (RB so) (S (NP (PRP you)) (VP (MD might) (ADVP (RB as) (RB well)) (VP (VB wait) (PP (IN for) (NP (PRP it)))))))))))"
74301,"(11,)","yeah , but if it hasn 't come by next Tuesday Arthur you 're not re-ordering , forget about it love","[yeah/UH, ,/,, but/CC, if/IN, it/PRP, hasn/VBD, 't/PRP, come/VBN, by/IN, next/JJ, Tuesday/NNP, Arthur/NNP, you/PRP, 're/VBP, not/RB, re-ordering/VBG, ,/,, forget/VB, about/IN, it/PRP, love/VBP]","(ROOT (S (INTJ (UH yeah)) (, ,) (ADVP (CC but)) (SBAR (IN if) (S (NP (PRP it)) (VP (VBD hasn) (S (NP (PRP 't)) (VP (VBN come) (PP (IN by) (NP (JJ next) (NNP Tuesday) (NNP Arthur))))) (SBAR (S (NP (PRP you)) (VP (VBP 're) (RB not) (VP (VBG re-ordering)))))))) (, ,) (NP (NP (VB forget)) (PP (IN about) (NP (PRP it)))) (VP (VBP love))))"
74301,"(12,)",well I 'm not bothered love,"[well/RB, I/PRP, 'm/VBP, not/RB, bothered/VBN, love/NN]",(ROOT (ADJP (RB well) (SBAR (S (NP (PRP I)) (VP (VBP 'm) (RB not) (NP (VBN bothered) (NN love)))))))
74301,"(13, 14)","because we 'll have the cash , we 'll go and buy  he said all you need is your amplifier and that didn 't he ?","[because/IN, we/PRP, 'll/MD, have/VB, the/DT, cash/NN, ,/,, we/PRP, 'll/MD, go/VB, and/CC, buy/VB, he/PRP, said/VBD, all/DT, you/PRP, need/VBP, is/VBZ, your/PRP$, amplifier/NN, and/CC, that/IN, didn/NN, 't/PRP, he/PRP, ?/.]","(ROOT (SINV (S (SBAR (IN because) (S (NP (PRP we)) (VP (MD 'll) (VP (VB have) (NP (DT the) (NN cash)))))) (, ,) (NP (PRP we)) (VP (MD 'll) (VP (VB go) (CC and) (VB buy) (NP (PRP he))))) (VP (VBD said) (SBAR (SBAR (WHNP (DT all)) (S (NP (PRP you)) (VP (VBP need) (SBAR (S (VP (VBZ is) (NP (PRP$ your) (NN amplifier)))))))) (CC and) (FRAG (SBAR (IN that) (S (NP (NN didn)) (NP (PRP 't))))))) (NP (PRP he)) (. ?)))"
74301,"(15,)",,[],X
