76303,"(0,)",Right .,"[Right/NN, ./.]",(ROOT (INTJ (NN Right) (. .)))
76303,"(1,)",Now you said you were gonna tell me what 's happened on the news so far .,"[Now/RB, you/PRP, said/VBD, you/PRP, were/VBD, gonna/NNP, tell/VB, me/PRP, what/WP, 's/VBZ, happened/VBN, on/IN, the/DT, news/NN, so/RB, far/RB, ./.]",(ROOT (S (ADVP (RB Now)) (NP (PRP you)) (VP (VBD said) (SBAR (S (NP (PRP you)) (VP (VBD were) (S (NP (NNP gonna)) (VP (VB tell) (NP (PRP me)) (SBAR (WHNP (WP what)) (S (VP (VBZ 's) (VP (VBN happened) (PP (IN on) (NP (DT the) (NN news))) (ADVP (RB so) (RB far)))))))))))) (. .)))
76303,"(2, 3, 4)",Three people have er been killed in a railway accident after their  their car  ran into the side of a train .,"[Three/CD, people/NNS, have/VBP, er/NN, been/VBN, killed/VBN, in/IN, a/DT, railway/NN, accident/NN, after/IN, their/PRP$, their/PRP$, car/NN, ran/VBD, into/IN, the/DT, side/NN, of/IN, a/DT, train/NN, ./.]",(ROOT (S (S (NP (CD Three) (NNS people)) (VP (VBP have) (NP (NP (NN er)) (VP (VBN been) (VP (VBN killed) (PP (IN in) (NP (DT a) (NN railway) (NN accident))) (PP (IN after) (NP (PRP$ their)))))))) (NP (PRP$ their) (NN car)) (VP (VBD ran) (PP (IN into) (NP (NP (DT the) (NN side)) (PP (IN of) (NP (DT a) (NN train)))))) (. .)))
76303,"(5,)",Oh dear !,"[Oh/UH, dear/RB, !/.]",(ROOT (S (VP (NP (INTJ (UH Oh)) (NP (RB dear)))) (. !)))
76303,"(6, 7, 8, 9, 10, 11)",Wh- which is about er  which  is about er  open  er  the day after tomorrow .,"[Wh-/NN, which/WDT, is/VBZ, about/IN, er/NN, which/WDT, is/VBZ, about/IN, er/NN, open/JJ, er/NN, the/DT, day/NN, after/IN, tomorrow/NN, ./.]",(ROOT (S (NP (NP (NN Wh-)) (SBAR (WHNP (WDT which)) (S (VP (VBZ is) (PP (IN about) (NP (NP (NN er)) (SBAR (WHNP (WDT which)) (S (VP (VBZ is) (PP (IN about) (NP (NN er)))))))))))) (VP (JJ open) (NP (NP (NN er)) (NP (DT the) (NN day))) (PP (IN after) (NP (NN tomorrow)))) (. .)))
76303,"(12, 13)",What 's open  the day after tomorrow ?,"[What/WP, 's/VBZ, open/JJ, the/DT, day/NN, after/IN, tomorrow/NN, ?/.]",(ROOT (SBARQ (WHNP (WP What)) (SQ (VBZ 's) (NP (JJ open) (DT the) (NN day)) (PP (IN after) (NP (NN tomorrow)))) (. ?)))
76303,"(14,)",The level crossing .,"[The/DT, level/NN, crossing/VBG, ./.]",(ROOT (NP (NP (DT The) (NN level)) (VP (VBG crossing)) (. .)))
76303,"(15,)",Oh it 's closed now is it ?,"[Oh/UH, it/PRP, 's/VBZ, closed/VBN, now/RB, is/VBZ, it/PRP, ?/.]",(ROOT (S (S (INTJ (UH Oh)) (NP (PRP it)) (VP (VBZ 's) (VP (VBN closed)))) (NP (RB now)) (VP (VBZ is) (NP (PRP it))) (. ?)))
76303,"(16,)","No , they 're going to open it .","[No/DT, ,/,, they/PRP, 're/VBP, going/VBG, to/TO, open/VB, it/PRP, ./.]","(ROOT (S (NP (DT No)) (, ,) (NP (PRP they)) (VP (VBP 're) (VP (VBG going) (S (VP (TO to) (VP (VB open) (NP (PRP it))))))) (. .)))"
76303,"(17,)",It 's new .,"[It/PRP, 's/VBZ, new/JJ, ./.]",(ROOT (S (NP (PRP It)) (VP (VBZ 's) (ADJP (JJ new))) (. .)))
76303,"(18,)",Aha .,"[Aha/NNP, ./.]",(ROOT (FRAG (NP (NNP Aha)) (. .)))
