swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,caller,utterance_index,subutterance_index,text,pos,trees,ptb_treenumbers
sw08utt/sw_0896_4814.utt,4/sw4814,4814,0,qy^d,B,1,1,"<Clicking> {D So } interesting political trends or events, {F huh? } /","So/UH interesting/JJ political/JJ trends/NNS or/CC events/NNS ,/, huh/UH ?/.","(ROOT (S (VP (PP (NP (UH So)) (NP (NP (JJ interesting) (JJ political) (NNS trends)) (VP (PP (CC or) (NP (NNS events))) (, ,) (NP (UH huh)))))) (. ?)))",
sw08utt/sw_0896_4814.utt,4/sw4814,4814,1,b,A,2,1,Uh-huh. /,Uh-huh/UH ./.,(ROOT (INTJ (UH Uh-huh) (. .))),
sw08utt/sw_0896_4814.utt,4/sw4814,4814,2,sv,B,3,1,"{D Well, } <laughter> I guess the, {F uh, } most interesting one that's, {F uh, } going on right now, from my perspective, is this, {F uh, } phenomena of, {F uh, } {F uh, } Ross Perot.  /","Well/UH ,/, I/PRP guess/VBP the/DT ,/, uh/UH ,/, most/RBS interesting/JJ one/CD that/WDT 's/BES ,/, uh/UH ,/, going/VBG on/RP right/RB now/RB ,/, from/IN my/PRP$ perspective/NN ,/, is/VBZ this/DT ,/, uh/UH ,/, phenomena/NNS of/IN ,/, uh/UH ,/, uh/UH ,/, Ross/NNP Perot/NNP ./.","(ROOT (S (INTJ (UH Well)) (, ,) (NP (PRP I)) (VP (VBP guess) (SBAR (WHNP (NP (DT the)) (PRN (, ,) (INTJ (UH uh)) (, ,))) (S (NP (NP (ADJP (RBS most) (JJ interesting)) (NX (NX (NP (CD one)) (SBAR (WHNP (WDT that)) (S (VP (BES 's))))) (PRN (, ,) (INTJ (UH uh)) (, ,)))) (VP (VBG going) (PRT (RP on)) (ADVP (ADVP (RB right) (RB now)) (PRN (, ,) (PP (IN from) (NP (PRP$ my) (NN perspective))) (, ,))))) (VP (VBZ is) (NP (NP (ADJP (DT this) (PRN (, ,) (INTJ (UH uh)) (, ,))) (NNS phenomena)) (PP (IN of) (PRN (, ,) (INTJ (UH uh) (, ,) (UH uh)) (, ,)) (NP (NNP Ross) (NNP Perot)))))))) (. .)))",
sw08utt/sw_0896_4814.utt,4/sw4814,4814,3,sd,B,3,2,"{F Uh, } caught his interview last night with David Frost  /","Uh/UH ,/, caught/VBD his/PRP$ interview/NN last/JJ night/NN with/IN David/NNP Frost/NNP","(ROOT (SINV (FRAG (INTJ (UH Uh))) (, ,) (VP (VBD caught)) (NP (NP (PRP$ his) (NN interview)) (NP (JJ last) (NN night)) (PP (IN with) (NP (NNP David)))) (NNP Frost)))",
sw08utt/sw_0896_4814.utt,4/sw4814,4814,4,sd,B,3,3,{C and } # it was # --,and/CC it/PRP was/VBD --/:,"(ROOT (S (S (CC and) (NP (PRP it)) (VP (VBD was) (NP (NP (DT the)) (, ,) (NP (NP (DT the) (JJ first) (NN time)) (SBAR (S (NP (PRP I)) (VP (VBD had)))))))) (, ,) (NP (PRP you)) (VP (VP (VBP know)) (, ,) (VP (VBN heard) (PRN (, ,) (INTJ (UH uh)) (, ,))) (S (NP (NP (PRP$ his) (NNS views)) (VP (VBN expressed) (PP (IN by) (NP (PRP himself))))))) (. .)))",
sw08utt/sw_0896_4814.utt,4/sw4814,4814,5,b,A,4,1,# Uh-huh. # /,Uh-huh/UH ./.,(ROOT (INTJ (UH Uh-huh) (. .))),
sw08utt/sw_0896_4814.utt,4/sw4814,4814,6,+,B,5,1,"-- [ the, + the ] first time I had, {D you know, } heard, {F uh, } his views expressed by himself.  /","--/: the/DT ,/, the/DT first/JJ time/NN I/PRP had/VBD ,/, you/PRP know/VBP ,/, heard/VBN ,/, uh/UH ,/, his/PRP$ views/NNS expressed/VBN by/IN himself/PRP ./.","(ROOT (S (S (CC and) (NP (PRP it)) (VP (VBD was) (NP (NP (DT the)) (, ,) (NP (NP (DT the) (JJ first) (NN time)) (SBAR (S (NP (PRP I)) (VP (VBD had)))))))) (, ,) (NP (PRP you)) (VP (VP (VBP know)) (, ,) (VP (VBN heard) (PRN (, ,) (INTJ (UH uh)) (, ,))) (S (NP (NP (PRP$ his) (NNS views)) (VP (VBN expressed) (PP (IN by) (NP (PRP himself))))))) (. .)))",
sw08utt/sw_0896_4814.utt,4/sw4814,4814,7,sd,B,5,2,I had heard other people talk about what they thought he believed in. /,I/PRP had/VBD heard/VBN other/JJ people/NNS talk/VBP about/IN what/WP they/PRP thought/VBD he/PRP believed/VBD in/IN ./.,(ROOT (S (NP (PRP I)) (VP (VBD had) (VP (VBN heard) (SBAR (S (NP (JJ other) (NNS people)) (VP (VBP talk) (PP (IN about) (SBAR (WHNP (WP what)) (S (NP (PRP they)) (VP (VBD thought) (SBAR (S (NP (PRP he)) (VP (VBD believed) (PP (IN in)))))))))))))) (. .))),
sw08utt/sw_0896_4814.utt,4/sw4814,4814,8,b,A,6,1,Uh-huh. /,Uh-huh/UH ./.,(ROOT (INTJ (UH Uh-huh) (. .))),
sw08utt/sw_0896_4814.utt,4/sw4814,4814,9,sd,B,7,1,"{C But } the whole phenomena of him coming out of, {F uh, } literally nowhere and no party.  {F Uh, } at least, no apparent party support on either side <swallowing> # is # --","But/CC the/DT whole/JJ phenomena/NNS of/IN him/PRP coming/VBG out/IN of/IN ,/, uh/UH ,/, literally/RB nowhere/RB and/CC no/DT party/NN ./. Uh/UH ,/, at/IN least/JJS ,/, no/DT apparent/JJ party/NN support/NN on/IN either/DT side/NN is/VBZ --/:","(ROOT (FRAG (CC But) (NP (NP (DT the) (JJ whole) (NNS phenomena)) (SBAR (S (PP (IN of) (S (NP (PRP him)) (VP (VBG coming) (PRT (IN out)) (PP (IN of) (PRN (, ,) (INTJ (UH uh)) (, ,)) (NP (NP (ADVP (RB literally) (RB nowhere))) (CC and) (NP (DT no) (NN party))))))))) (. .)) (SBAR (S (FRAG (INTJ (UH Uh)) (, ,) (ADVP (IN at) (JJS least))) (, ,) (NP (NP (DT no) (JJ apparent) (NN party) (NN support)) (PP (IN on) (NP (DT either) (NN side)))) (VP (VBZ is) (ADJP (RB pretty) (JJ interesting))))) (. .)))",
